"date","tow.id","swept.area","swept.area.method"
"2021-07-17","GP354F",2650,"model"
"2021-07-17","GP351F",2576,"model"
"2021-07-17","GP353F",5780,"model"
"2021-07-17","GP352F",2692,"model"
"2021-07-17","GP350F",2327,"model"
"2021-07-17","GP346F",2874,"average"
"2021-07-17","GP342F",2061,"model"
"2021-07-17","GP334F",1876,"model"
"2021-07-17","GP323F",1936,"model"
"2021-07-17","GP325F",2356,"model"
"2021-07-17","GP335F",2184,"model"
"2021-07-17","GP344F",2221,"average"
"2021-07-17","GP341F",2392,"model"
"2021-07-18","GP331F",2416,"model"
"2021-07-18","GP326F",2145,"model"
"2021-07-18","GP315A1",2584,"model"
"2021-07-18","GP324A1",2150,"model"
"2021-07-18","GP320F",2320,"model"
"2021-07-18","GP312F",2452,"average"
"2021-07-18","GP313F",3042,"model"
"2021-07-19","GP303F",2508,"model"
"2021-07-19","GP287F",2144,"model"
"2021-07-19","GP290F",2590,"model"
"2021-07-19","GP295F",2709,"model"
"2021-07-19","GP316F",2550,"average"
"2021-07-19","GP293F",2332,"model"
"2021-07-19","GP282F",2711,"model"
"2021-07-19","GP273F",2558,"model"
"2021-07-19","GP260F",2256,"model"
"2021-07-19","GP269F",2566,"model"
"2021-07-19","GP251F",2244,"average"
"2021-07-20","GP250F",2770,"model"
"2021-07-20","GP235F",1934,"model"
"2021-07-20","GP237A3",2411,"model"
"2021-07-20","GP207A1",2503,"average"
"2021-07-20","GP208F",2395,"average"
"2021-07-21","GP156F",1436,"model"
"2021-07-21","GP134F",2196,"model"
"2021-07-21","GP139F",2322,"average"
"2021-07-21","GP121F",2390,"average"
"2021-07-21","GP142F",2233,"average"
"2021-07-21","GP122F",2290,"average"
"2021-07-21","GP109F",2271,"average"
"2021-07-21","GP120F",1815,"model"
"2021-07-22","GP098F",2130,"model"
"2021-07-22","GP081F",2185,"model"
"2021-07-22","GP085F",2315,"model"
"2021-07-22","GP072F",2659,"model"
"2021-07-22","GP078F",2746,"average"
"2021-07-22","GP107F",2823,"average"
"2021-07-22","GP083A1",1954,"model"
"2021-07-22","GP096F",2990,"average"
"2021-07-22","GP112F",2984,"model"
"2021-07-23","GP115F",3223,"model"
"2021-07-23","GP103F",3193,"model"
"2021-07-23","GP130A1",2276,"model"
"2021-07-23","GP152F",2382,"model"
"2021-07-23","GP138F",2768,"model"
"2021-07-23","GP165A1",1679,"model"
"2021-07-23","GP166F",1512,"model"
"2021-07-23","GP187F",1809,"model"
"2021-07-23","GP203F",2971,"model"
"2021-07-24","GP181F",2587,"model"
"2021-07-24","GP180F",2496,"model"
"2021-07-24","GP153F",2666,"model"
"2021-07-24","GP169F",2946,"model"
"2021-07-24","GP185F",3045,"model"
"2021-07-24","GP201F",2756,"model"
"2021-07-24","GP227F",1248,"model"
"2021-07-24","GP230F",2692,"model"
"2021-07-24","GP249A2",2019,"model"
"2021-07-24","GP243F",2089,"model"
"2021-07-24","GP261F",1984,"model"
"2021-07-24","GP257F",1814,"model"
"2021-07-25","GP211F",2049,"model"
"2021-07-25","GP199F",1971,"model"
"2021-07-25","GP219F",2151,"model"
"2021-08-02","GP268F",2994,"model"
"2021-08-02","GP259F",3016,"model"
"2021-08-02","GP263F",3388,"model"
"2021-08-02","GP245F",2784,"model"
"2021-08-02","GP248F",3423,"model"
"2021-08-02","GP265F",2651,"model"
"2021-08-02","GP240F",2195,"model"
"2021-08-02","GP226F",2618,"model"
"2021-08-02","GP233F",2531,"model"
"2021-08-02","GP220F",2671,"average"
"2021-08-02","GP234F",2773,"average"
"2021-08-03","GP214A2",3456,"model"
"2021-08-03","GP192F",2451,"model"
"2021-08-03","GP189F",2637,"model"
"2021-08-03","GP197A2",2608,"model"
"2021-08-03","GP202A1",2637,"model"
