 03082000 F     3 0140001 1 67.19***** 12.55* 1 ** **00000000 *1***1**** LL 00480174 00610326 131 * 78 ****       A. HEBERT/S. ALBERT   ***** *                
 03082000 F     3 0140002 1 63.26***** ****** 1 ** **00000000 2****21*** LL 00480174 00610326 131 **** ****       A. HEBERT/S. ALBERT   ***** *                
 03082000 F     3 0140003 1 55.04*****  8.87* 1 ** **00000000 **11****** LL 00480174 00610326 131 **** ****       A. HEBERT/S. ALBERT   ***** *                
 03082000 F     3 0140004 1 42.50*****  6.77* 1 ** **00000000 ********** LL 00480174 00610326 131 **** ****       A. HEBERT/S. ALBERT   ***** *                
 03082000 F     3 0140005 1 36.69*****  5.30* 1 ** **00000000 ********** LL 00480174 00610326 131 **** ****       A. HEBERT/S. ALBERT   ***** *                
 03082000 F     3 0140006 1 26.47*****  3.57* 1 ** **00000000 ********** LL 00480174 00610326 131 **** ****       A. HEBERT/S. ALBERT   ***** *                
 03082000 F     3 0140007 1 24.26*****  3.36* 1 ** **00000000 ********** LL 00480174 00610326 131 **** ****       A. HEBERT/S. ALBERT   ***** *                
 03082000 F     3 0140008 1 26.04*****  3.77* 1 ** **00000000 ********** LL 00480174 00610326 131 **** ****       A. HEBERT/S. ALBERT   ***** *                
 03082000 F     3 0140009 1 23.53*****  3.43* 1 ** **00000000 ********** LL 00480174 00610326 131 **** ****       A. HEBERT/S. ALBERT   ***** *                
 03082000 F     3 0140010 1 19.05*****  3.33* 1 ** **00000000 ********** LL 00480174 00610326 131 **** ****       A. HEBERT/S. ALBERT   ***** *                
 03082000 F     3 0140011 1 18.12*****  2.31* 1 ** **00000000 ********** LL 00480174 00610326 131 **** ****       A. HEBERT/S. ALBERT   ***** *                
 03082000 F     3 0140012 1 18.81*****  2.64* 1 ** **00000000 ********** LL 00480174 00610326 131 **** ****       A. HEBERT/S. ALBERT   ***** *                
 03082000 F     3 0140013 2 18.45 5.78 ****** 1  1 **00000000 ********** LL 00480174 00610326 131 **** ****       A. HEBERT/S. ALBERT   ***** *                
 03082000 F     3 0140014 2 23.97 8.48 ****** 1  1 **00000000 ********** LL 00480174 00610326 131 **** ****       A. HEBERT/S. ALBERT   ***** *                
 03082000 F     3 0140015 2 32.6714.35 ****** 1  1 **00000000 ********** LL 00480174 00610326 131 **** ****       A. HEBERT/S. ALBERT   ***** *                
 03082000 F     3 0140016 2 25.7710.29 ****** 1  1 **00000000 ********** LL 00480174 00610326 131 **** ****       A. HEBERT/S. ALBERT   ***** *                
 03082000 F     3 0140017 2 24.03 8.45 ****** 1  1 **00000000 ********** LL 00480174 00610326 131 **** ****       A. HEBERT/S. ALBERT   ***** *                
