 10082001 12    3 0020029 1 31.62*****  4.432 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020030 1 32.04*****  4.282 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020031 1 26.12*****  3.232 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020032 1 30.31*****  4.312 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020033 1 30.18*****  4.262 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020034 1 32.62*****  4.652 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020035 1 31.59*****  4.842 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020036 1 34.10*****  4.922 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020037 1 32.92*****  4.532 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020038 1 31.20*****  4.352 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020039 1 33.24*****  4.742 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020040 1 30.72*****  4.262 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020041 1 31.11*****  4.052 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020042 1 28.97*****  4.152 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020043 1 33.27***** *****2 1 ** **00000000 1****1**** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020044 1 27.50*****  3.702 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020045 1 28.73*****  4.062 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020046 1 24.26*****  3.332 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020047 1 26.86*****  3.922 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020048 1 29.32*****  2.832 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020049 1 32.52*****  4.072 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020050 1 37.00*****  4.482 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020051 1 34.65*****  4.602 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020052 1 22.84*****  2.962 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020053 1 24.65*****  3.492 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020054 1 24.11*****  3.522 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020055 1 30.49*****  4.572 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020056 1 23.99*****  3.712 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020057 1 87.47***** *****2 3 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020058 2 37.9018.20 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020059 2 35.5915.95 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020060 2 35.6916.26 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020061 2 32.3013.02 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020062 2 30.2012.88 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020063 2 37.2916.62 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020064 2 44.3521.70 *****2 1  3 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020065 2 34.7615.81 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020066 2 32.6714.02 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020067 2 32.7313.98 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020068 2 36.4816.20 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020069 2 34.4715.13 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020070 2 40.0419.82 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020071 2 36.4816.87 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020072 2 29.9712.60 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020073 2 31.9813.84 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020074 2 32.8013.96 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020075 2 32.7514.37 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020076 2 36.4315.78 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020077 2 33.3414.83 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020078 2 31.2213.53 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020079 2 32.5213.69 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020080 2 34.1613.59 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020081 2 29.5813.37 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020082 2 26.01 9.97 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020083 2 30.9912.87 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020084 2 30.5812.52 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020085 2 29.8411.85 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020086 2 30.6411.94 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020087 2 30.5312.49 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020088 2 29.8712.73 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020089 2 28.0312.01 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020090 2 29.8112.34 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020091 2 27.3011.12 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020092 2 24.1310.27 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020093 2 22.32 8.59 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020094 2 33.5213.11 *****2 1  1 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020095 2 45.6121.41 *****2 1  2 **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
 10082001 12    3 0020096 1 24.44*****  3.392 1 ** **00000000 ********** LL 00484352 00632997  92 **** ****       S.ALBERT/D.GIARD      ***** *                
