 05092008 12    3 0050001 1 87.28***** 21.19* 3M** **00000000 1*****1*** LL 04728221 06408675  30 * 68 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050002 1 79.93***** 17.75* 5 ** **00000000 *1******** LL 04728221 06408675  30 * 63 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050003 1 77.33***** 17.90* 5 ** **00000000 *********1 LL 04728221 06408675  30 * 44 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050004 1 70.37***** 13.99* 3M** **00000000 *1******** LL 04728221 06408675  30 * 62 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050005 1 78.10***** 15.99* 3M** **00000000 ***1****** LL 04728221 06408675  30 * 61 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050006 1 76.51***** 17.24* 5 ** **00000000 *******1** LL 04728221 06408675  30 * 60 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050007 1 67.81***** 13.59* 3M** **00000000 **1****2** LL 04728221 06408675  30 * 58 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050008 1 67.35***** 11.12* 1 ** **00000000 ********** LL 04728221 06408675  30 * 60 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050009 1 62.78*****  9.78* 1 ** **00000000 ********** LL 04728221 06408675  30 * 48 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050010 1 63.76***** 10.52* 1 ** **00000000 ********** LL 04728221 06408675  30 * 60 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050011 1 58.96*****  9.69* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050012 1 55.14*****  8.58* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050013 1 66.74***** 10.53* 1 ** **00000000 ********** LL 04728221 06408675  30 * 54 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050014 1 62.63***** 10.12* 1 ** **00000000 ********** LL 04728221 06408675  30 * 55 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050015 1 62.21***** 10.66* 1 ** **00000000 ********** LL 04728221 06408675  30 * 47 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050016 1 51.23*****  8.12* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050017 1 68.55***** 13.79* 1 ** **00000000 ******1*** LL 04728221 06408675  30 * 70 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050018 1 49.56*****  7.24* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050019 1 44.17*****  6.27* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050020 1 61.90***** 10.86* 1 ** **00000000 ********** LL 04728221 06408675  30 * 46 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050021 1 60.74*****  9.99* 1 ** **00000000 ********** LL 04728221 06408675  30 * 56 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050022 1 52.78*****  8.90* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050023 1 61.03*****  9.97* 1 ** **00000000 ********** LL 04728221 06408675  30 * 54 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050024 1 60.41***** 10.14* 1 ** **00000000 ********** LL 04728221 06408675  30 * 57 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050025 1 62.45*****  9.99* 1 ** **00000000 1********* LL 04728221 06408675  30 * 54 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050026 1 51.81*****  7.85* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050027 1 51.12*****  7.90* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050028 1 54.07*****  8.55* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050029 1 48.03*****  7.62* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050030 1 42.38*****  5.17* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050031 1 52.58*****  7.99* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050032 1 53.49*****  8.83* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050033 1 46.15*****  6.95* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050034 1 50.96*****  7.99* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050035 1 60.05***** 10.03* 1 ** **00000000 ********** LL 04728221 06408675  30 * 53 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050036 1 56.90*****  9.08* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050037 1 49.56*****  7.86* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050038 1 48.89*****  7.22* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050039 1 48.07*****  7.28* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050040 1 44.61*****  7.36* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050041 1 46.76*****  6.84* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050042 1 46.39*****  7.13* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050043 1 51.34*****  7.89* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050044 1 56.58*****  8.96* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050045 1 45.28*****  6.73* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050046 1 53.47*****  8.02* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050047 1 47.21*****  7.32* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050048 1 60.66*****  9.61* 1 ** **00000000 ********** LL 04728221 06408675  30 * 50 ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050049 1 47.02*****  6.80* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050050 1 46.38*****  7.09* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050051 1 44.59*****  6.89* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050052 1 49.20*****  7.45* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050053 1 50.92*****  7.12* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050054 1 46.61*****  7.38* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050055 1 48.45*****  7.14* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050056 1 44.02*****  5.96* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050057 1 45.54*****  6.97* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050058 1 50.91*****  7.95* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050059 1 53.05*****  8.39* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050060 1 43.91*****  6.80* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050061 1 53.31*****  8.26* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050062 1 41.11*****  6.09* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050063 1 42.49*****  6.81* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050064 1 39.35*****  5.76* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050065 1 44.78*****  7.08* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050066 1 49.53*****  7.40* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050067 1 47.04*****  6.84* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050068 1 41.71*****  6.15* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050069 1 44.21*****  6.66* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050070 1 48.96*****  7.76* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050071 1 38.93*****  5.80* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050072 1 44.74*****  6.98* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050073 1 44.44*****  6.88* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050074 1 41.49*****  6.06* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050075 1 40.50*****  4.49* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050076 1 21.11*****  2.98* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050077 1 20.76*****  2.83* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050078 1 19.42*****  2.55* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050079 1 21.99*****  2.70* 1 ** **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050080 2 52.2026.93 ****** 1  3 **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050081 2 55.7629.61 ****** 1  3 **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050082 2 56.3929.38 ****** 1  3 **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050083 2 50.6624.96 ****** 1  3 **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
 05092008 12    3 0050084 2 53.0827.50 ****** 1  3 **00000000 ********** LL 04728221 06408675  30 **** ****       J. CHIASSON/S. ALBERT ***** *                
