 13082008 E     3 0070001 1116.10***** 29.43* 4 ** **00000000 **1*1****1 LL 04831497 06306929 118 * 83 ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070002 1 87.25***** 20.27* 3M** **00000000 ********** LL 04831497 06306929 118 * 68 ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070003 1 68.39***** 13.08* 3M** **00000000 *1*****1** LL 04831497 06306929 118 * 68 ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070004 1 68.90***** 14.28* 4 ** **00000000 *****1**1* LL 04831497 06306929 118 * 50 ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070005 1 67.47***** 13.55* 1 ** **00000000 *******1** LL 04831497 06306929 118 * 63 ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070006 1 63.04***** 15.88* 1 ** **00000000 ******1*** LL 04831497 06306929 118 * 63 ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070007 1 63.26***** 12.62* 3 ** **00000000 ********** LL 04831497 06306929 118 * 62 ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070008 1 67.50***** 13.99* 3M** **00000000 ******1*** LL 04831497 06306929 118 * 65 ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070009 1 59.25***** 10.73* 1 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070010 1 70.72***** 14.13* 1 ** **00000000 ********** LL 04831497 06306929 118 * 68 ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070011 1 56.38***** 10.19* 1 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070012 1 63.10***** 10.29* 1 ** **00000000 ********** LL 04831497 06306929 118 * 58 ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070013 1 63.85***** 12.97* 5 ** **00000000 ********** LL 04831497 06306929 118 * 60 ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070014 1 54.20***** 10.33* 3 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070015 1 48.45*****  7.34* 1 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070016 1 50.26*****  7.80* 1 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070017 1 51.01*****  7.88* 1 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070018 1 50.42*****  7.55* 1 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070019 1 45.46*****  6.71* 1 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070020 1 37.01*****  5.46* 1 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070021 1 37.15*****  5.19* 1 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070022 1 35.77*****  4.84* 1 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070023 1 34.59*****  4.68* 1 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070024 1 38.72*****  5.67* 1 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070025 1 35.79*****  4.77* 1 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070026 1 36.96*****  5.37* 1 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070027 1 33.63*****  4.49* 1 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
 13082008 E     3 0070028 1 37.01*****  5.18* 1 ** **00000000 ********** LL 04831497 06306929 118 **** ****       J. CHIASSON/S. ALBERT ***** *                
