 17082008 12    3 0100037 1 37.26*****  5.40* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100038 1 44.18*****  6.72* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100039 1 41.93*****  6.06* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100040 1 37.41*****  5.42* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100041 1 37.32*****  5.36* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100042 1 53.17*****  8.23* 1 ** **00000000 ***1****** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100043 1 52.02*****  7.95* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100044 1 37.19*****  5.66* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100045 1 43.79*****  6.96* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100046 1 39.41*****  5.72* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100047 1 46.85*****  7.18* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100048 1 37.70*****  5.72* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100049 1 36.43*****  5.31* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100050 1 33.95*****  5.05* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
