 17092008 12    3 0030001 1107.29***** 26.61* 1 ** **00000000 **1******* LL 04731954 06209402  26 * 56 ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030002 1115.56***** 30.97* 1 ** **00000000 ********** LL 04731954 06209402  26 * 51 ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030003 1 92.25***** 17.48* 1 ** **00000000 ********** LL 04731954 06209402  26 * 50 ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030004 1 84.22***** 18.21* 1 ** **00000000 ********** LL 04731954 06209402  26 * 66 ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030005 1 84.88***** 18.32* 1 ** **00000000 *****2**** LL 04731954 06209402  26 * 68 ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030006 1 85.12***** 15.59* 1 ** **00000000 ********** LL 04731954 06209402  26 * 58 ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030007 1 93.34***** 23.27* 1 ** **00000000 1*******1* LL 04731954 06209402  26 * 62 ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030008 1106.12***** 26.06* 1 ** **00000000 ********** LL 04731954 06209402  26 * 58 ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030009 1 82.34***** 13.95* 1 ** **00000000 ********** LL 04731954 06209402  26 * 46 ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030010 1 82.64***** 16.18* 1 ** **00000000 ********** LL 04731954 06209402  26 * 52 ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030011 1 55.82*****  8.75* 1 ** **00000000 ********** LL 04731954 06209402  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030012 1 58.90***** ****** 1 ** **00000000 1**1*1**** LL 04731954 06209402  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030013 1 85.05***** 15.15* 1 ** **00000000 ********** LL 04731954 06209402  26 * 50 ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030014 1 73.25***** 14.65* 5 ** **00000000 1*****1*** LL 04731954 06209402  26 * 44 ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030015 1 90.71***** 21.72* 5 ** **00000000 *1******** LL 04731954 06209402  26 * 54 ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030016 1 55.58*****  8.37* 1 ** **00000000 ********** LL 04731954 06209402  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030017 1 47.13*****  6.71* 1 ** **00000000 ********** LL 04731954 06209402  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030018 1 45.95*****  7.19* 1 ** **00000000 ********** LL 04731954 06209402  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030019 1 44.07*****  6.87* 1 ** **00000000 ********** LL 04731954 06209402  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030020 1 43.70*****  6.43* 1 ** **00000000 ********** LL 04731954 06209402  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030021 1 42.59*****  6.38* 1 ** **00000000 ********** LL 04731954 06209402  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030022 1 38.87*****  5.46* 1 ** **00000000 ********** LL 04731954 06209402  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030023 1 41.09*****  5.77* 1 ** **00000000 ********** LL 04731954 06209402  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030024 1 37.35*****  5.45* 1 ** **00000000 ********** LL 04731954 06209402  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030025 1 54.63*****  8.81* 1 ** **00000000 ********** LL 04731954 06209402  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030026 1 43.59*****  6.66* 1 ** **00000000 ********** LL 04731954 06209402  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 17092008 12    3 0030027 1 38.44*****  5.35* 1 ** **00000000 ********** LL 04731954 06209402  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
