 15082008 12    3 0050001 1107.37***** 23.10* 3 ** **00000000 *1******** LL 04803654 06246493  46 * 78 ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050002 1 90.90***** 21.31* 3M** **00000000 ****1***1* LL 04803654 06246493  46 * 69 ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050003 1 99.47***** 21.76* 1 ** **00000000 *********1 LL 04803654 06246493  46 * 50 ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050004 1 85.50***** 18.03* 1 ** **00000000 ********** LL 04803654 06246493  46 * 55 ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050005 1 81.67***** 18.17* 3 ** **00000000 ********** LL 04803654 06246493  46 * 57 ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050006 1 71.22***** 15.98* 3M** **00000000 **1**2**** LL 04803654 06246493  46 * 64 ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050007 1 85.29***** 19.32* 5 ** **00000000 *1****1*** LL 04803654 06246493  46 * 54 ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050008 1 66.17***** 15.02* 5 ** **00000000 **1*1****1 LL 04803654 06246493  46 * 62 ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050009 1 69.17***** 11.71* 1 ** **00000000 ********** LL 04803654 06246493  46 * 49 ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050010 1 53.10***** 10.77* 1 ** **00000000 *1****1*** LL 04803654 06246493  46 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050011 1 57.44***** 10.82* 3M** **00000000 ********** LL 04803654 06246493  46 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050012 1 48.86*****  7.69* 1 ** **00000000 ********** LL 04803654 06246493  46 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050013 1 47.79*****  7.06* 1 ** **00000000 ********** LL 04803654 06246493  46 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050014 1 46.89*****  7.58* 1 ** **00000000 ********** LL 04803654 06246493  46 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050015 1 48.29*****  7.77* 1 ** **00000000 ********** LL 04803654 06246493  46 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050016 1 43.02*****  6.79* 1 ** **00000000 ********** LL 04803654 06246493  46 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050017 1 56.50***** 10.73* 1 ** **00000000 ********** LL 04803654 06246493  46 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050018 1 50.78*****  9.68* 1 ** **00000000 ********** LL 04803654 06246493  46 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 15082008 12    3 0050019 1 46.41*****  7.04* 1 ** **00000000 ********** LL 04803654 06246493  46 **** ****       J.CHIASSON/S.ALBERT   ***** *                
