 22092008 19    3 0100027 1 41.02*****  5.84* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100028 1 43.70*****  6.62* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100029 1 48.92*****  7.66* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100030 1 39.29*****  5.28* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100031 1 35.29*****  5.28* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100032 1 37.37*****  5.78* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100033 1 39.02*****  5.49* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100034 1 42.65*****  6.38* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100035 1 35.81*****  5.05* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100036 1 34.24*****  4.71* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100037 1 37.46*****  5.32* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100038 1 33.91*****  4.61* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100039 1 35.75*****  4.60* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
