 17082008 12    3 0030027 1 29.35*****  4.06* 1 ** **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030028 1 29.09*****  4.07* 1 ** **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030029 1 28.33*****  4.03* 1 ** **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030030 1 26.19*****  3.37* 1 ** **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030031 1 26.58*****  3.64* 1 ** **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030032 1 19.16*****  2.62* 1 ** **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030033 2 43.1628.56 ****** 2 ** 2400000000 ****11111* LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030034 2 44.6822.53 ****** 1  3 **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030035 2 38.7317.92 ****** 1  2 **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030036 2 43.5521.81 ****** 1  3 **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030037 2 37.3417.02 ****** 1  1 **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030038 2 38.3617.01 ****** 1  1 **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030039 2 33.7714.95 ****** 1  1 **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030040 2 36.5417.08 ****** 1  1 **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030041 2 34.2315.09 ****** 1  1 **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030042 2 34.9915.41 ****** 1  2 **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030043 2 35.2215.89 ****** 1  1 **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030044 2 32.8114.66 ****** 1  1 **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030045 2 27.4611.84 ****** 1  1 **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030046 2 30.6717.10 ****** 1  1 **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0030047 2 27.4010.91 ****** 1  1 **00000000 ********** LL 04751845 06302048  39 **** ****       J. CHIASSON/S. ALBERT ***** *               
