 20072008 12    3 0040001 1115.49***** 31.82* 4 ** **00000000 ********** LL 04659200 06233977  35 * 74 ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040002 1 86.60***** 18.69* 4 ** **00000000 ******11** LL 04659200 06233977  35 * 57 ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040003 1 38.61*****  5.84* 1 ** **00000000 ********** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040004 1 40.56*****  5.95* 1 ** **00000000 ********** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040005 1 39.38*****  6.30* 1 ** **00000000 ********** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040006 1 35.95*****  5.79* 1 ** **00000000 ********** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040007 1 37.09*****  5.50* 1 ** **00000000 ********** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040008 2 65.5845.87 ****** 5 ** 1200000000 ********** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040009 2 66.5344.63 ****** 5 ** 1400000000 *******1** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040010 2 71.5948.78 ****** 5 ** 2400000000 **1******* LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040011 2 66.4646.56 ****** 5 ** 2400000000 *11***1*** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040012 2 72.7948.80 ****** 5 ** 2400000000 ***1****** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040013 2 55.8741.02 ****** 5 ** 1400000000 *1*******1 LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040014 2 53.9835.73 ****** 5 ** 2400000000 ******1*** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040015 2 66.2244.28 ****** 5 ** 2400000000 ********** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040016 2 54.1836.19 ****** 5 ** 1400000000 ********** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040017 2 52.1036.51 ****** 5 ** 1400000000 ****1*1*** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040018 2 69.8049.91 ****** 5 ** 1400000000 ****1***** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040019 2 74.8953.98 ****** 5 ** 1400000000 ********** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040020 2 77.8552.60 ****** 5 ** 1400000000 ********** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040021 2 63.2543.13 ****** 5 ** 2400000000 ******1*** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
 20072008 12    3 0040022 2 32.5413.19 ****** 1  1 **00000000 ********** LL 04659200 06233977  35 **** ****       J CHIASSON / S ALBERT ***** *                
