 07082008 12    3 0010001 1132.30***** 34.27* 1 ** **00000000 ********** LL 04657911 06132226  25 * 58 ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010002 1128.44***** 34.45* 1 ** **00000000 ********** LL 04657911 06132226  25 * 65 ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010003 1128.89***** 32.04* 1 ** **00000000 ********** LL 04657911 06132226  25 * 60 ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010004 1123.40***** 31.34* 1 ** **00000000 ********** LL 04657911 06132226  25 * 60 ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010005 1127.93***** 33.28* 1 ** **00000000 ***1****** LL 04657911 06132226  25 * 54 ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010006 1 84.04***** 16.98* 1 ** **00000000 ********** LL 04657911 06132226  25 * 53 ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010007 1 91.09***** 19.58* 3M** **00000000 *1******** LL 04657911 06132226  25 * 74 ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010008 1 85.83***** 17.64* 4 ** **00000000 *1******** LL 04657911 06132226  25 * 66 ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010009 1 67.45***** 13.83* 5 ** **00000000 **1******* LL 04657911 06132226  25 * 55 ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010010 1 64.49***** 10.14* 1 ** **00000000 ********** LL 04657911 06132226  25 * 54 ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010011 1 58.36*****  9.34* 1 ** **00000000 ********** LL 04657911 06132226  25 **** ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010012 1 59.55*****  9.28* 1 ** **00000000 ********** LL 04657911 06132226  25 **** ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010013 1 58.71*****  8.17* 1 ** **00000000 ********** LL 04657911 06132226  25 **** ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010014 1 58.51*****  8.78* 1 ** **00000000 ********** LL 04657911 06132226  25 **** ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010015 1 55.46*****  8.39* 1 ** **00000000 ********** LL 04657911 06132226  25 **** ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010016 1 53.80*****  7.85* 1 ** **00000000 ********** LL 04657911 06132226  25 **** ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010017 1 51.57*****  8.01* 1 ** **00000000 ********** LL 04657911 06132226  25 **** ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010018 1 50.32*****  7.60* 1 ** **00000000 ********** LL 04657911 06132226  25 **** ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010019 1 45.91*****  6.59* 1 ** **00000000 ********** LL 04657911 06132226  25 **** ****       J.CHIASSON / S.ALBERT ***** *                
 07082008 12    3 0010020 1 50.41*****  7.57* 1 ** **00000000 ********** LL 04657911 06132226  25 **** ****       J.CHIASSON / S.ALBERT ***** *                
