year	month	day	tow no	tow.id	Time.Logbook	loranx.logbook	lorany.logbook	door spread
1988	8	5	1	001		NA	NA	NA
1988	8	5	2	002		NA	NA	NA
1988	8	5	3	003		NA	NA	NA
1988	8	6	1	004		NA	NA	NA
1988	8	6	2	005		NA	NA	NA
1988	8	6	3	006		NA	NA	NA
1988	8	6	4	007		NA	NA	NA
1988	8	6	5	008		NA	NA	NA
1988	8	6	6	009		NA	NA	NA
1988	8	6	7	010		NA	NA	NA
1988	8	7	1	011		NA	NA	NA
1988	8	7	2	012		NA	NA	NA
1988	8	7	3	013		NA	NA	NA
1988	8	7	4	014		NA	NA	NA
1988	8	7	5	015	16:10	15030.7	30302.6	NA
1988	8	7	5	015		15031.9	30303.3	NA
1988	8	7	6	016	17:30	15049.7	30258.5	NA
1988	8	7	6	016		15051.9	30299.5	NA
1988	8	7	7	017	18:30	15068.1	30370.4	NA
1988	8	7	7	017		15069.1	30372.5	NA
1988	8	9	1	018	7:00	14991.0	30207.7	NA
1988	8	9	1	018		14992.0	30207.4	NA
1988	8	9	2	019	8:00	14975.9	30157.4	NA
1988	8	9	2	019		14976.6	30157.6	NA
1988	8	9	3	020	9:00	14956.4	30093.9	NA
1988	8	9	3	020		14957.3	30093.1	NA
1988	8	9	4	021	10:30	14949.6	30010.2	NA
1988	8	9	4	021		14951.0	30012.9	NA
1988	8	9	5	022	11:45	14929.0	29926.0	NA
1988	8	9	5	022		14930.0	29927.0	NA
1988	8	9	6	023	12:25	14929.5	14929.6	NA
1988	8	9	6	023		29917.2	29913.4	NA
1988	8	9	7	024	14:00	14911.6	29827.1	NA
1988	8	9	7	024		14911.9	29825.3	NA
1988	8	9	8	025	15:55	14909.2	29767.2	NA
1988	8	9	8	025		14901.8	29764.3	NA
1988	8	9	9	026	17:30	14881.8	26644.0	NA
1988	8	9	9	026		14881.8	29639.7	NA
1988	8	9	10	027	18:15	14880.6	29609.5	NA
1988	8	9	10	027		14880.3	29603.4	NA
1988	8	9	11	028	19:15	14871.5	29525.8	NA
1988	8	9	11	028		14871.3	29528.3	NA
1988	8	9	12	029	20:00	14873.0	29519.7	NA
1988	8	9	12	029		14873.1	29515.0	NA
1988	8	9	13	030	20:50	14886.6	29515.6	NA
1988	8	9	13	030		14886.1	29518.5	NA
1988	8	9	14	031	21:20	14896.5	29584.3	NA
1988	8	9	14	031		14897.7	29584.8	NA
1988	8	10	1	032	7:00	14926.9	29679.1	NA
1988	8	10	1	032		14927.8	29677.9	NA
1988	8	10	2	033	8:15	14929.3	29730.5	NA
1988	8	10	2	033		14930.3	29727.3	NA
1988	8	10	3	034	9:25	14929.3	29730.5	NA
1988	8	10	3	034		14930.3	29727.3	NA
1988	8	10	4	035	10:45	14959.7	29819.3	NA
1988	8	10	4	035		14960.1	29816.4	NA
1988	8	11	1	036	8:30	14991.8	30307.8	NA
1988	8	11	1	036		14992.8	30302.0	NA
1988	8	11	2	037	10:00	14954.2	30240.9	NA
1988	8	11	2	037		14954.3	30239.8	NA
1988	8	11	3	038	11:50	14962.5	30325.3	NA
1988	8	11	3	038		14263.3	30322.9	NA
1988	8	11	4	039	NA	14990.9	30409.7	NA
1988	8	11	4	039		14991.7	30408.2	NA
1988	8	11	5	040	14:10	14996.7	30470.2	NA
1988	8	11	5	040		14996.5	30467.9	NA
1988	8	17	1	041	13:35	14981.2	30548.8	NA
1988	8	17	1	041		14982.5	30553.6	NA
1988	8	17	2	042	15:00	14966.8	30498.8	NA
1988	8	17	2	042		14967.9	30503.8	NA
1988	8	17	3	043	16:15	14955.2	30416.2	NA
