year	month	day	tow.id	tow.number	measurement	value	observation.number	
1988	8	5	002	2	doorspread	"20,4-20,8"	1	
1988	8	9	024	7	wingspread	7.5	1	
1988	8	9	025	8	wingspread	"6,4 a 9,2"	1	
1988	8	9	026	9	wingspread	5.9	1	
1988	8	9	026	9	wingspread	7.0	2	
1988	8	9	027	10	wingspread	"5,7-7,0"	1	
1988	8	10	033	2	wingspread	5.4	1	
1988	8	10	033	2	wingspread	"6,0-6,4"	2	
1988	8	10	034	3	wingspread	5.4	1	
1988	8	10	034	3	wingspread	"5,5-6,1"	2	
1988	8	11	036	1	wingspread	6.0	1	
1988	8	11	036	1	wingspread	"8,0-8,3"	2	
1988	8	11	038	3	wingspread	6.0	1	
1988	8	11	038	3	wingspread	9.3	2	
1988	8	11	039	4	wingspread	5.3	1	
1988	8	11	039	4	wingspread	"8,2-9,0"	2	
1988	8	11	040	5	wingspread	4.0	1	
1988	8	11	040	5	wingspread	"9,2-10,0"	2	
1988	8	17	042	2	wingspread	5.0	1	
1988	8	17	042	2	wingspread	6.3	2	
1988	8	17	042	2	wingspread	7.6	3	
1988	8	17	042	2	wingspread	9.3	4	
1988	10	8	145	1	wingspread	7.4	1	
1988	11	5	194	1	wingspread	3.8	1	
1988	11	5	194	1	wingspread	4.8	2	
1988	11	5	194	1	wingspread	5.1	3	
1988	11	5	194	1	wingspread	5.6	4	
1988	11	5	194	1	wingspread	5.6	5	
1988	11	5	194	1	wingspread	5.6	6	
1988	11	5	195	2	wingspread	4.3	1	
1988	11	5	195	2	wingspread	4.6	2	
1988	11	5	195	2	wingspread	5.8	3	
1988	11	5	195	2	wingspread	5.5	4	
1988	11	5	195	2	wingspread	5.5	5	
1988	11	5	195	2	wingspread	6.0	6	
1988	11	5	196	3	wingspread	3.8	1	
1988	11	5	196	3	wingspread	8.2	2	
1988	11	5	196	3	wingspread	5.1	3	
1988	11	5	196	3	wingspread	5.4	4	
1988	11	5	196	3	wingspread	7.3	5	
1988	11	5	196	3	wingspread	6.8	6	
1988	11	5	197	4	wingspread	4.0	1	
1988	11	5	197	4	wingspread	4.7	2	
1988	11	5	197	4	wingspread	4.9	3	
1988	11	5	197	4	wingspread	5.5	4	
1988	11	5	197	4	wingspread	4.8	5	
1988	11	5	197	4	wingspread	5.1	6	
1988	11	5	198	5	wingspread	4.4	1	
1988	11	5	198	5	wingspread	5.1	2	
1988	11	5	198	5	wingspread	4.9	3	
