 26081999 18    3 0060001 1106.66***** 28.40* 3 ** **00000000 ********** LC 00461337 00612836  28 * 83 ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060002 1 54.89*****  8.60* 1 ** **00000000 *****2**1* LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060003 1 37.13*****  5.32* 1 ** **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060004 1 29.33*****  4.27* 1 ** **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060005 1 29.46*****  4.33* 1 ** **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060006 1 18.83*****  2.82* 1 ** **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060007 1 21.32*****  3.07* 1 ** **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060008 1 44.59*****  6.89* 1 ** **00000000 ********11 LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060009 1 41.38*****  6.28* 1 ** **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060010 1 57.87*****  9.79* 1 ** **00000000 *********1 LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060011 1 42.57*****  6.77* 1 ** **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060012 1 22.21*****  3.04* 1 ** **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060013 1 20.99*****  2.95* 1 ** **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060014 1 34.41*****  5.12* 1 ** **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060015 1 27.54*****  3.93* 1 ** **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060016 1 23.98*****  3.45* 1 ** **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060017 1 22.58*****  3.05* 1 ** **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060018 1 20.79*****  2.88* 1 ** **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060019 1 21.86*****  2.89* 1 ** **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060020 1 44.53*****  6.93* 1 ** **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060021 2 22.43 8.17 ****** 1  1 **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060022 2 42.6419.65 ****** 1  1 **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060023 2 44.5820.89 ****** 1  1 **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060024 2 41.6318.96 ****** 1  1 **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060025 2 28.4611.59 ****** 1  1 **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060026 2 30.5612.07 ****** 1  1 **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060027 2 20.51 6.28 ****** 1  1 **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060028 2 40.6618.75 ****** 1  1 **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060029 2 29.7811.94 ****** 1  1 **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060030 2 30.0912.44 ****** 1  1 **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060031 2 29.7111.66 ****** 1  1 **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060032 2 20.99 7.36 ****** 1  1 **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** *                
 26081999 18    3 0060033 2 55.5130.72 ****** 1  2 **00000000 ********** LC 00461337 00612836  28 **** ****       ALLAIN H./STEPHANE A. ***** * 
