 15071997 12    3 0010001 1    86***** ****** 2 ** **00000000 ******1*** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** R1  L1 ARRACHER  
 15071997 12    3 0010002 1    76*****    17* 1 ** **00000000 **1*1**11* LC 014960.4 030328.1  43 * 64 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010003 1   120*****    29* 4 ** **00000000 ********** LC 014960.4 030328.1  43 * 83 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010004 1   115*****    28* 2 ** **00000000 *******1*1 LC 014960.4 030328.1  43 * 76 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010005 1   109*****    29* 3 ** **00000000 ******1*1* LC 014960.4 030328.1  43 * 78 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010006 1   134*****    33* 4 ** **00000000 *******1*1 LC 014960.4 030328.1  43 * 75 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010007 1   121*****    33* 3 ** **00000000 ********** LC 014960.4 030328.1  43 * 82 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010008 1    94*****    24* 3 ** **00000000 *******1** LC 014960.4 030328.1  43 * 63 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010009 1   105*****    26* 4 ** **00000000 ********** LC 014960.4 030328.1  43 * 83 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010010 1   112*****    27* 4 ** **00000000 ********** LC 014960.4 030328.1  43 * 63 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010011 1    61*****    10* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 52 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010012 1    65*****   9.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 58 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010013 1    54*****   9.5* 1 ** **00000000 ***11**11* LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010014 1    54*****    10* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010015 1    75*****    14* 1 ** **00000000 ***1****** LC 014960.4 030328.1  43 * 60 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010016 1    79*****    17* 2 ** **00000000 **1***1*** LC 014960.4 030328.1  43 * 70 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010017 1    66*****    11* 1 ** **00000000 *********1 LC 014960.4 030328.1  43 * 58 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010018 1    42*****   6.5* 1 ** **00000000 **11****** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010019 1    46*****     6* 1 ** **00000000 1********* LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010020 1    71*****    12* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 42 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010021 1    52*****     8* 1 ** **00000000 ******11** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010022 1    54*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010023 1    66*****    13* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 77 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010024 1    54*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010025 1    56*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010026 1    59*****    10* 1 ** **00000000 *****1**** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010027 1    54*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
