 01091997 19    3 0030001 1   131*****    33* 2 ** **00000000 *******1** LC 014491.3 029176.7  34 * 73 ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030002 1    28***** ****** 1 ** **00000000 ********** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030003 2    60   43 ****** 4 ** 1400000000 *********1 LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030004 2    53   34 ****** 4 ** 1400000000 **11*1**** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030005 2    68   52 ****** 5 ** 1100000000 11******1* LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030006 2    68   47 ****** 5 ** 1200000000 ****1***11 LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030007 2    72   51 ****** 4 ** 1400000000 ****1***** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030008 2    77   55 ****** 5 ** 1400000000 *******1** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030009 2    65   44 ****** 4 ** 1400000000 ********** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030010 2    60   40 ****** 5 ** *000000000 *1******** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030011 2    71   46 ****** 4 ** 1400000000 *********1 LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030012 2    67   47 ****** 5 ** 1400000000 ********** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030013 2    67   46 ****** 4 ** 1400000000 ********** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030014 2    64   44 ****** 4 ** 1400000000 ********** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030015 2    70   50 ****** 5 ** 1100000000 *1*****1** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030016 2    63   45 ****** 5 ** *000000000 *********1 LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030017 2    76   54 ****** 5 ** 2300000000 *1**1***11 LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030018 2    65   46 ****** 4 ** 1400000000 ***11**1** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030019 2    69   48 ****** 5 ** 1400000000 **1*****1* LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030020 2    66   47 ****** 4 ** 1400000000 ********** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030021 2    77   54 ****** 5 ** 1400000000 *1*****1** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030022 2    58   40 ****** 4 ** 1400000000 ********** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030023 2    68   48 ****** 4 ** 4400000000 ******1**2 LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030024 2    68   47 ****** 4 ** 2400000000 *****1**** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030025 2    63   44 ****** 4 ** 1400000000 ********** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030026 2    56   39 ****** 4 ** 1400000000 1**12**1*1 LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030027 2    68   47 ****** 4 ** 1400000000 ***1****** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030028 2    73   59 ****** 5 ** 1400000000 ******11** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030029 2    76   51 ****** 4 ** 2400000000 ***11***** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030030 2    70   48 ****** 5 ** 1300000000 ********** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
 01091997 19    3 0030031 2    20***** ****** 1  1 **00000000 ********** LC 014491.3 029176.7  34 **** ****       S. ALBERT/A. HEBERT   ***** *                
