 13071997 12    3 0140001 1   107*****    25* 1 ** **00000000 *******1** LC 014917.5 030147.5  45 * 53 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140002 1    72*****    12* 1 ** **00000000 ********** LC 014917.5 030147.5  45 * 59 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140003 1    82*****    17* 1 ** **00000000 ******1*** LC 014917.5 030147.5  45 * 67 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140004 1   102*****    24* 4 ** **00000000 ******1*** LC 014917.5 030147.5  45 * 84 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140005 1    96*****    19* 4 ** **00000000 ***1*1**** LC 014917.5 030147.5  45 * 82 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140006 1   115*****    30* 1 ** **00000000 ********** LC 014917.5 030147.5  45 * 50 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140007 1    88*****    22* 5 ** **00000000 **1***1*** LC 014917.5 030147.5  45 * 68 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140008 1   114*****    30* 2 ** **00000000 ******1*** LC 014917.5 030147.5  45 * 82 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140009 1    80*****    18* 2 ** **00000000 ********** LC 014917.5 030147.5  45 * 70 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140010 1    72***** ****** 4 ** **00000000 21***2**11 LC 014917.5 030147.5  45 **** ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140011 1   120*****    29* 4 ** **00000000 ********** LC 014917.5 030147.5  45 * 80 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140012 1    99*****    24* 2 ** **00000000 *****1**** LC 014917.5 030147.5  45 * 79 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140013 1    74*****    14* 1 ** **00000000 ********** LC 014917.5 030147.5  45 * 55 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140014 1    58*****    12* 3 ** **00000000 ********** LC 014917.5 030147.5  45 * 68 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140015 1    63*****    11* 1 ** **00000000 ********** LC 014917.5 030147.5  45 * 56 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140016 1    65*****    11* 1 ** **00000000 ********** LC 014917.5 030147.5  45 * 58 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140017 1    70*****    15* 2 ** **00000000 *1******** LC 014917.5 030147.5  45 * 74 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140018 1    54*****     9* 1 ** **00000000 ********** LC 014917.5 030147.5  45 **** ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140019 1    51*****     8* 1 ** **00000000 ******11** LC 014917.5 030147.5  45 **** ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140020 1    67*****    11* 1 ** **00000000 ********** LC 014917.5 030147.5  45 * 55 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140021 1    60*****     9* 1 ** **00000000 1*******11 LC 014917.5 030147.5  45 * 46 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140022 1    58*****     9* 1 ** **00000000 ********** LC 014917.5 030147.5  45 **** ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140023 1    61*****    10* 1 ** **00000000 ********** LC 014917.5 030147.5  45 * 50 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140024 1    54*****   9.5* 1 ** **00000000 ********** LC 014917.5 030147.5  45 **** ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140025 1    56*****     9* 1 ** **00000000 ********** LC 014917.5 030147.5  45 **** ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140026 1    51*****     8* 1 ** **00000000 ********** LC 014917.5 030147.5  45 **** ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140027 1    52*****     8* 1 ** **00000000 ********** LC 014917.5 030147.5  45 **** ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140028 1    53*****     8* 1 ** **00000000 ********** LC 014917.5 030147.5  45 **** ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140029 1    52*****     8* 1 ** **00000000 ********** LC 014917.5 030147.5  45 **** ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140030 1    52*****   8.5* 1 ** **00000000 ********** LC 014917.5 030147.5  45 **** ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140031 1    69*****    15* 2 ** **00000000 ****1***** LC 014917.5 030147.5  45 * 79 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140032 1    52*****     8* 1 ** **00000000 ********** LC 014917.5 030147.5  45 **** ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140033 1    69*****    12* 1 ** **00000000 ********** LC 014917.5 030147.5  45 * 60 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140034 1    73*****    15* 5 ** **00000000 ******11** LC 014917.5 030147.5  45 * 59 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140035 1    75*****    15* 5 ** **00000000 ********** LC 014917.5 030147.5  45 * 64 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140036 1    64*****    13* 1 ** **00000000 *****1**** LC 014917.5 030147.5  45 * 62 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140037 1    70*****    12* 1 ** **00000000 ********** LC 014917.5 030147.5  45 * 58 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140038 1    81*****    19* 2 ** **00000000 ********** LC 014917.5 030147.5  45 * 75 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140039 1    67*****    11* 1 ** **00000000 ********** LC 014917.5 030147.5  45 * 50 ****       S.ALBERT/A.HEBERT     ***** *                
 13071997 12    3 0140040 1    58*****   9.5* 1 ** **00000000 ********** LC 014917.5 030147.5  45 **** ****       S.ALBERT/A.HEBERT     ***** *                
