 06091996 19    3 0040001 1    93*****    17* 1 ** **00000000 ********** LC 014492.6 029177.3  36 * 62 ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040002 1    86*****    20* 2 ** **00000000 ********** LC 014492.6 029177.3  36 * 74 ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040003 1    74*****    17* 3 ** **00000000 ********** LC 014492.6 029177.3  36 * 66 ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040004 1    62*****    10* 1 ** **00000000 ********** LC 014492.6 029177.3  36 * 45 ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040005 2    59   39 ****** 4 ** 1400000000 *111**1*** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040006 2    77   52 ****** 4 ** 2400000000 *1******** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040007 2    73   46 ****** 5 ** *000000000 ***11***1* LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040008 2    65   46 ****** 4 ** 2400000000 ****1**1** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040009 2    61   45 ****** 5 ** 2400000000 ********** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040010 2    61   44 ****** 5 ** 1400000000 **2*1***** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040011 2    69   47 ****** 4 ** 2400000000 ********** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040012 2    65   43 ****** 4 ** *000000000 ***1111*11 LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040013 2    67   47 ****** 4 ** 1400000000 111*1***** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040014 2    68   48 ****** 5 ** 2400000000 *1**1**11* LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040015 2    73   48 ****** 5 ** 1400000000 ******1*** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040016 2    70   48 ****** 4 ** 2100000000 *1**1*11** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040017 2    69   48 ****** 4 ** 1400000000 ********** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040018 2    56   38 ****** 5 ** 1400000000 **1******* LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040019 2    62   42 ****** 5 ** 2100000000 *1*1**1**1 LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040020 2    57   41 ****** 5 ** 2400000000 *1****11** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040021 2    55   39 ****** 5 ** 2400000000 ********** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040022 2    55   39 ****** 5 ** 2400000000 **111***1* LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040023 2    64   44 ****** 5 ** 2200000000 **1*1**111 LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040024 2    66   44 ****** 4 ** 2400000000 ********** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040025 2    58   41 ****** 5 ** 2400000000 **1******* LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040026 2    60   41 ****** 5 ** 1400000000 ******1*** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040027 2    68   48 ****** 5 ** 2400000000 *********1 LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040028 2    69   51 ****** 5 ** 2400000000 ******11** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040029 2    63   46 ****** 4 ** *000000000 ****1*111* LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040030 2    69   48 ****** 5 ** 1400000000 ***1***11* LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040031 2    55   41 ****** 5 ** *000000000 **111**1** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040032 2    63   46 ****** 5 ** *000000000 **111*1*1* LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040033 2    51   35 ****** 5 ** 1400000000 ******1*** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040034 2    63   44 ****** 5 ** 2100000000 *1*******1 LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040035 2    70   45 ****** 5 ** 1400000000 **1******* LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040036 2    58   39 ****** 5 ** 1400000000 ********** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040037 2    69   46 ****** 5 ** 2400000000 1*****1*** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040038 2    67   49 ****** 5 ** 1400000000 *******11* LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040039 2    64   45 ****** 5 ** 1400000000 *1******** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040040 2    55   36 ****** 4 ** 1400000000 *1**1***11 LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040041 2    61   41 ****** 5 ** 1400000000 ****1***** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040042 2    65   44 ****** 5 ** 2400000000 *1**1***** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040043 2    69   49 ****** 4 ** 2400000000 ****1*1*** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040044 2    53   37 ****** 4 ** 2400000000 ********** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040045 2    58   42 ****** 5 ** 2200000000 *1*1***111 LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040046 2    64   44 ****** 5 ** 1400000000 ***11*1*** LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
 06091996 19    3 0040047 2    66   47 ****** 5 ** 2400000000 *********1 LC 014492.6 029177.3  36 **** ****       M.HEBERT/B.CAMBPELL   ***** *                
