 08101996 18    3 0090001 1   134*****    36* 2 ** **00000000 ********** LC 00144720 00291667  41 * 79 ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090041 2    65   44 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090042 2    74   49 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090043 2    73   51 ****** 3 ** 2400000000 ******1*** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090044 2    68   47 ****** 5 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090045 2    66   46 ****** 4 ** 1400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090046 2    70   48 ****** 4 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090047 2    66   46 ****** 3 ** 1400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090048 2    75   54 ****** 5 ** 2400000000 **1******* LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090049 2    73   50 ****** 4 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090050 2    65   45 ****** 4 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090051 2    79   55 ****** 1 ** 1400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090052 2    79   54 ****** 3 ** 2400000000 ****2***** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090053 2    67   45 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090054 2    67   46 ****** 3 ** 2400000000 *****1**** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090055 2    80   54 ****** 5 ** 1400000000 ***1****** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090056 2    71   50 ****** 4 ** 2400000000 *********1 LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090057 2    80   56 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090058 2    78   52 ****** 4 ** 1400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090059 2    76   51 ****** 1 ** 1400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090060 2    76   52 ****** 5 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090061 2    69   51 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090062 2    77   52 ****** 4 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090063 2    70   49 ****** 4 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090064 2    66   46 ****** 4 ** 1400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090065 2    69   48 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090066 2    70   46 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090067 2    69   44 ****** 3 ** 1400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090068 2    82   59 ****** 5 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090069 2    76   54 ****** 3 ** 2400000000 **11****** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090070 2    68   48 ****** 5 ** 2400000000 ****1***** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090071 2    69   49 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090072 2    66   46 ****** 3 ** 1400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090073 2    70   49 ****** 4 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090074 2    72   50 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090075 2    66   47 ****** 4 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090076 2    72   48 ****** 4 ** 2400000000 ****1***** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090077 2    70   50 ****** 1 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090078 2    77   52 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090079 2    74   49 ****** 1 ** 1400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090080 2    69   48 ****** 4 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090081 2    83   57 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090082 2    81   56 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090083 2    71   46 ****** 4 ** 2400000000 ****1***** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090084 2    69   47 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090085 2    70   46 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090086 2    73   49 ****** 4 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090087 2    82   53 ****** 3 ** 2400000000 *1******** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090088 2    73   51 ****** 4 ** 1400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090089 2    77   54 ****** 5 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090090 2    83   58 ****** 4 ** *000000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090091 2    69   45 ****** 3 ** 2100000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090092 2    80   55 ****** 5 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090093 2    74   50 ****** 4 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090094 2    76   54 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090095 2    83   55 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090096 2    78   57 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090097 2    67   46 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090098 2    80   54 ****** 3 ** 2400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090099 2    74   54 ****** 1 ** 1400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090100 2    86   58 ****** 4 ** 1400000000 1********* LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090101 2    83   55 ****** 3 ** 1400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
 08101996 18    3 0090102 2    70   50 ****** 1 ** 1400000000 ********** LC 00144720 00291667  41 **** ****       B.CAMPBELL/M.HEBERT   ***** *                
