 06091996 18    3 0030001 1    87*****    18* 5 ** **00000000 ********** LC 014477.5 029187.7  34 * 70 ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030002 1    82*****    19* 2 ** **00000000 ********** LC 014477.5 029187.7  34 * 71 ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030003 1   135*****    35* 1 ** **00000000 ****1***** LC 014477.5 029187.7  34 * 52 ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030004 2    67   44 ****** 4 ** 2400000000 *********1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030005 2    64   43 ****** 4 ** 1400000000 *1******** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030006 2    61   41 ****** 4 ** *000000000 *111**1**1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030007 2    74   53 ****** 5 ** 2400000000 ********** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030008 2    64   46 ****** 5 ** 2400000000 ***1**11*1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030009 2    58   44 ****** 5 ** 2400000000 ***1****** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030010 2    64   41 ****** 5 ** 2100000000 *11***1*11 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030011 2    64   43 ****** 5 ** 2400000000 *1****1*11 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030012 2    68   52 ****** 5 ** 2400000000 ****1****1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030013 2    72   50 ****** 5 ** 2400000000 *1*******1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030014 2    69   46 ****** 5 ** 2400000000 ********1* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
