year,cruise,set,card,Species,Fish#,Field,Old value,New Value,Added comments,
2019,140,68,5,,,latitude.end,46.0055,46.00583333,Wrong coordinate,
2019,140,98,5,,,latitude.end,46.14183333,46.142,Wrong coordinate,
2019,140,99,5,,,longitude.start,-62.29316667,-62.29333333,Wrong coordinate,
2019,140,100,5,,,longitude.start,-62.2945,-62.29466667,Wrong coordinate,
2019,140,100,5,,,longitude.end,-62.30333333,-62.3035,Wrong coordinate,
2019,140,102,5,,,longitude.end,-61.91733333,-61.9175,Wrong coordinate,
2019,140,103,5,,,longitude.end,-62.13183333,-62.132,Wrong coordinate,
2019,140,104,5,,,latitude.end,46.0395,46.03966667,Wrong coordinate,
2019,140,105,5,,,latitude.end,46.10616667,46.10633333,Wrong coordinate,
2019,140,106,5,,,latitude.end,46.13616667,46.13633333,Wrong coordinate,
2019,140,106,5,,,longitude.end,-62.23516667,-62.23533333,Wrong coordinate,
2019,140,6,5,,,latitude.start,46.45416667,46.4655,Wrong coordinate,
2019,140,6,5,,,longitude.start,-46.46566667,-64.15233333,Wrong coordinate,
2019,140,15,5,,,latitude.end,46.65633333,46.659,Wrong coordinate,
2019,140,26,5,,,latitude.start,46.9625,46.8625,Wrong coordinate,
2019,140,35,5,,,longitude.start,-64.8095,-63.8095,Wrong coordinate,
2019,140,47,5,,,longitude.start,-63.54966667,-63.383,Wrong coordinate,
2019,140,51,5,,,longitude.end,-62.3945,-63.3945,Wrong coordinate,
2019,140,53,5,,,latitude.start,45.95466667,45.95866667,Wrong coordinate,
2019,140,101,5,,,latitude.end,45.86383333,45.864,Wrong coordinate,
2019,140,101,5,,,longitude.end,-61.0175,-62.01766667,Wrong coordinate,
2019,140,2,5,,,speed,NA,2.5,missing speed,
2019,140,4,5,,,speed,NA,2.5,missing speed,
2019,140,6,5,,,speed,NA,2.5,missing speed,
2019,140,3,5,,,warp.out.port,NA,45,Missing warp ,
2019,140,3,5,,,warp.out.starboard,NA,45,Missing warp ,
2019,140,2,5,,,warp.out.port,NA,40,Missing warp ,
2019,140,2,5,,,warp.out.starboard,NA,40,Missing warp ,
2019,140,4,5,,,warp.out.starboard,NA,45,Missing warp ,
2019,140,5,5,,,warp.out.starboard,NA,46,Missing warp ,
2019,140,6,5,,,warp.out.starboard,NA,40,Missing warp ,
2019,140,7,5,,,warp.out.starboard,NA,45,Missing warp ,
2019,140,8,5,,,warp.out.starboard,NA,45,Missing warp ,
2019,140,9,5,,,warp.out.starboard,NA,45,Missing warp ,
2019,140,10,5,,,warp.out.starboard,NA,42,Missing warp ,
2019,140,11,5,,,warp.out.starboard,NA,45,Missing warp ,
2019,140,12,5,,,warp.out.starboard,NA,37,Missing warp ,
2019,140,13,5,,,warp.out.starboard,NA,41,Missing warp ,
2019,140,14,5,,,warp.out.starboard,NA,75,Missing warp ,
2019,140,15,5,,,warp.out.starboard,NA,51,Missing warp ,
2019,140,16,5,,,warp.out.starboard,NA,43,Missing warp ,
2019,140,17,5,,,warp.out.starboard,NA,44,Missing warp ,
2019,140,18,5,,,warp.out.starboard,NA,55,Missing warp ,
2019,140,19,5,,,warp.out.starboard,NA,67,Missing warp ,
2019,140,20,5,,,warp.out.starboard,NA,46,Missing warp ,
2019,140,21,5,,,warp.out.starboard,NA,71,Missing warp ,
2019,140,22,5,,,warp.out.starboard,NA,75,Missing warp ,
2019,140,23,5,,,warp.out.starboard,NA,71,Missing warp ,
2019,140,24,5,,,warp.out.starboard,NA,80,Missing warp ,
2019,140,25,5,,,warp.out.starboard,NA,83,Missing warp ,
2019,140,26,5,,,warp.out.starboard,NA,80,Missing warp ,
2019,140,27,5,,,warp.out.starboard,NA,51,Missing warp ,
2019,140,65,5,,,warp.out.starboard,NA,113,Missing warp ,
2019,140,66,5,,,warp.out.starboard,NA,57,Missing warp ,
2019,140,67,5,,,warp.out.starboard,NA,66,Missing warp ,
2019,140,68,5,,,warp.out.starboard,NA,71,Missing warp ,
2019,140,69,5,,,warp.out.starboard,NA,45,Missing warp ,
2019,140,70,5,,,warp.out.starboard,NA,56,Missing warp ,
2019,140,71,5,,,warp.out.starboard,NA,104,Missing warp ,
2019,140,72,5,,,warp.out.starboard,NA,55,Missing warp ,
2019,140,73,5,,,warp.out.starboard,NA,84,Missing warp ,
2019,140,74,5,,,warp.out.starboard,NA,70,Missing warp ,
2019,140,75,5,,,warp.out.starboard,NA,80,Missing warp ,
2019,140,76,5,,,warp.out.starboard,NA,104,Missing warp ,
2019,140,77,5,,,warp.out.starboard,NA,109,Missing warp ,
