 26072007 12    3 0070033 1 36.03*****  5.00* 1 ** **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070034 1 35.85*****  5.16* 1 ** **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070035 1 32.49*****  4.64* 1 ** **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070036 1 31.17*****  4.30* 1 ** **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070037 1 31.82*****  4.61* 1 ** **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070038 1 34.93*****  5.11* 1 ** **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070039 1 33.40*****  4.50* 1 ** **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070040 1 33.52*****  4.70* 1 ** **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070041 1 36.17*****  5.01* 1 ** **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070042 1 31.88*****  4.53* 1 ** **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070043 1 24.52*****  3.31* 1 ** **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070044 2 71.3550.74 ****** 4 ** 2400000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070045 2 51.9036.52 ****** 2 ** 2400000000 **11****** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070046 2 55.1037.05 ****** 2 ** 2400000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070047 2 52.2636.17 ****** 2 ** 2400000000 *********1 LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070048 2 47.6330.80 ****** 2 ** 2400000000 12**11**** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070049 2 48.5232.66 ****** 2 ** 2400000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070050 2 48.6534.21 ****** 2 ** 2400000000 **1******* LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070051 2 50.2125.03 ****** 1  3 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070052 2 48.9523.23 ****** 1  3 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070053 2 47.3421.97 ****** 1  3 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070054 2 49.9624.46 ****** 1  3 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070055 2 45.0220.92 ****** 1  3 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070056 2 43.3919.30 ****** 1  3 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070057 2 42.9620.09 ****** 1  2 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070058 2 37.5316.63 ****** 1  1 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070059 2 38.1216.81 ****** 1  1 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070060 2 36.7316.06 ****** 1  1 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070061 2 35.4016.45 ****** 1  1 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070062 2 35.5415.21 ****** 1  1 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070063 2 30.4712.25 ****** 1  1 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070064 2 36.2715.47 ****** 1  1 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070065 2 32.6213.91 ****** 1  1 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070066 2 40.8918.57 ****** 1  1 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070067 2 28.1211.16 ****** 1  1 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070068 2 38.8017.96 ****** 1  1 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070069 2 37.2416.16 ****** 1  1 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 26072007 12    3 0070070 2 30.7512.03 ****** 1  1 **00000000 ********** LL 04803443 06202230  35 **** ****       J.CHIASSON/S.ALBERT   ***** *                
