 20092007 12    3 0050001 1133.70***** 36.74* 4 ** **00000000 ********** LL 04708290 06116261  26 * 76 ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050002 1 85.45***** 19.78* 3M** **00000000 ***1***1** LL 04708290 06116261  26 * 74 ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050003 1 89.30***** 18.04* 5 ** **00000000 ******1*** LL 04708290 06116261  26 * 56 ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050004 1 77.72***** 17.28* 3M** **00000000 ********** LL 04708290 06116261  26 * 53 ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050005 1116.69***** 31.28* 1 ** **00000000 11******** LL 04708290 06116261  26 * 56 ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050006 1101.88***** 24.30* 1 ** **00000000 ****1***** LL 04708290 06116261  26 * 64 ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050007 1 76.62***** 16.07* 3M** **00000000 *********1 LL 04708290 06116261  26 * 57 ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050008 1110.07***** 27.60* 1 ** **00000000 1********* LL 04708290 06116261  26 * 69 ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050009 1 87.98***** 19.58* 1 ** **00000000 *1******** LL 04708290 06116261  26 * 80 ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050010 1 78.35***** 16.43* 3M** **00000000 ********** LL 04708290 06116261  26 * 71 ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050011 1 72.30***** 15.91* 5 ** **00000000 *******11* LL 04708290 06116261  26 * 66 ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050012 1 78.55***** 17.19* 3M** **00000000 2***1***1* LL 04708290 06116261  26 * 73 ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050013 1 62.12***** 12.98* 3M** **00000000 22**1***1* LL 04708290 06116261  26 * 55 ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050014 1 59.13*****  9.02* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050015 1 52.84*****  9.30* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050016 1 40.41*****  5.63* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050017 1 35.39*****  5.30* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050018 1 41.51*****  5.84* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050019 1 42.22*****  5.22* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050020 1 42.51*****  6.04* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050021 1 42.32*****  6.09* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050022 1 39.42*****  5.59* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050023 1 38.41*****  5.66* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050024 1 37.85*****  5.62* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050025 1 39.39*****  5.91* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050026 1 37.35*****  5.30* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050027 1 38.24*****  5.41* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050028 1 35.45*****  5.23* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050029 1 40.23*****  5.61* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050030 1 36.75*****  5.36* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050031 1 46.23*****  6.87* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050032 1 37.90*****  5.53* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050033 1 37.61*****  4.65* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050034 1 33.26*****  4.77* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050035 1 35.69*****  5.27* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 20092007 12    3 0050036 1 38.87*****  5.53* 1 ** **00000000 ********** LL 04708290 06116261  26 **** ****       J.CHIASSON/S.ALBERT   ***** *                
