 29072005 12    3 0060066 1 28.53***** ****** 1 ** **00000000 2****2**** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060067 1 28.14*****  3.31* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060068 1 27.65*****  3.84* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060069 1 25.80*****  3.57* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060070 1 26.05*****  3.38* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060071 1 27.31*****  3.88* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060072 1 23.80*****  3.42* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060073 1 28.02*****  3.80* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060074 1 26.14*****  4.11* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060075 1 24.34*****  3.28* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060076 1 27.67*****  4.04* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060077 1 24.64*****  3.47* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060078 1 27.93*****  3.96* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060079 1 22.97*****  3.49* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060080 1 26.62*****  3.70* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060081 1 32.61*****  4.23* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060082 1 25.08*****  3.64* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060083 1 22.20*****  3.23* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060084 1 26.03*****  4.04* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060085 1 27.98*****  3.82* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060086 1 30.96*****  4.41* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060087 1 26.27*****  3.51* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060088 1 28.62*****  4.04* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060089 1 26.07*****  3.61* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060090 1 26.08*****  3.53* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060091 1 28.61*****  4.26* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060092 1 27.57*****  4.42* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060093 1 24.93*****  3.34* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060094 1 26.71*****  3.00* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060095 1 28.91*****  4.05* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060096 1 26.86*****  3.90* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060097 1 23.04*****  2.72* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060098 1 18.57*****  2.73* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060099 1 20.74*****  2.92* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060100 1 27.08*****  3.97* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060101 1 18.22*****  2.15* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060102 1 29.17*****  4.21* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060103 1 26.34*****  3.97* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060104 1 27.03*****  3.83* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060105 1 23.23*****  2.79* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060106 1 19.43*****  2.98* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060107 1 18.55*****  2.82* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060108 1 18.25*****  2.70* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060109 1 20.77*****  3.03* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060110 1 19.00*****  2.92* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060111 1 22.67*****  3.06* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060112 1 23.83*****  3.59* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060113 1 19.83*****  3.11* 1 ** **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060114 2 33.9715.54 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060115 2 50.5032.82 ****** 2 ** 2400000000 1***1***** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060116 2 53.5436.01 ****** 2 ** 2400000000 *********1 LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060117 2 58.9530.64 ****** 1  3 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060118 2 44.2120.98 ****** 1  3 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060119 2 47.1923.00 ****** 1  3 **00000000 *********1 LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060120 2 33.9415.44 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
