 20092005 12    3 0080001 1 95.08***** 23.20* 4 ** **00000000 1********* LL 04622566 06121539  29 * 85 ****       STEPHANE A & BOBBY H  ***** *                
 20092005 12    3 0080002 1100.98***** 23.67* 4 ** **00000000 1********* LL 04622566 06121539  29 * 83 ****       STEPHANE A & BOBBY H  ***** *                
 20092005 12    3 0080003 1 47.64*****  7.65* 1 ** **00000000 ********** LL 04622566 06121539  29 **** ****       STEPHANE A & BOBBY H  ***** *                
 20092005 12    3 0080004 1 47.91*****  7.83* 1 ** **00000000 ********** LL 04622566 06121539  29 **** ****       STEPHANE A & BOBBY H  ***** *                
 20092005 12    3 0080005 1 58.22***** 10.02* 1 ** **00000000 **2******2 LL 04622566 06121539  29 **** ****       STEPHANE A & BOBBY H  ***** *                
 20092005 12    3 0080006 1 49.77*****  8.27* 1 ** **00000000 ******2*** LL 04622566 06121539  29 **** ****       STEPHANE A & BOBBY H  ***** *                
 20092005 12    3 0080007 1 38.27*****  6.09* 1 ** **00000000 ********** LL 04622566 06121539  29 **** ****       STEPHANE A & BOBBY H  ***** *                
 20092005 12    3 0080008 1 36.68*****  5.94* 1 ** **00000000 ********** LL 04622566 06121539  29 **** ****       STEPHANE A & BOBBY H  ***** *                
 20092005 12    3 0080009 1 20.43*****  3.09* 1 ** **00000000 ********** LL 04622566 06121539  29 **** ****       STEPHANE A & BOBBY H  ***** *                
 20092005 12    3 0080010 1 28.79*****  4.11* 1 ** **00000000 ********** LL 04622566 06121539  29 **** ****       STEPHANE A & BOBBY H  ***** *                
