 28082005 12    3 0020054 1 33.81*****  4.81* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020055 1 38.09*****  5.62* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020056 1 33.16*****  4.90* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020057 1 44.29*****  6.63* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020058 1 36.86*****  5.29* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020059 1 41.39*****  6.34* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020060 1 37.00*****  5.44* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020061 1 35.14*****  5.29* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020062 1 29.25*****  4.07* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020063 1 30.76*****  4.38* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020064 1 34.29*****  4.99* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020065 1 29.42*****  4.07* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020066 1 31.06*****  4.30* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020067 1 24.98*****  3.47* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020068 1 28.75*****  4.14* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020069 1 27.74*****  4.05* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020070 1 35.07*****  4.69* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020071 1 32.99*****  4.24* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020072 1 28.46*****  3.98* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020073 1 26.03*****  3.73* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020074 1 27.17*****  3.78* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020075 1 25.32*****  3.69* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020076 1 27.36*****  4.17* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020077 1 25.61*****  3.61* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020078 1 30.01*****  4.23* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020079 1 25.59*****  3.38* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020080 1 24.89*****  3.29* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020081 1 27.28*****  3.81* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
