 21072005 12    3 0150001 1 91.03***** 21.55* 2 ** **00000000 ********** LL 00481462 00621317  59 * 88 ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150002 1 35.31*****  4.99* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150003 1 27.11*****  3.95* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150004 1 28.01*****  4.01* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150005 1 27.15*****  4.11* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150006 1 28.39*****  3.97* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150007 1 25.97*****  3.71* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150008 1 35.28*****  5.32* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150009 1 34.23*****  5.42* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150010 1 21.52*****  3.05* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150011 1 28.49*****  3.87* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150012 1 26.60*****  4.08* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150013 1 21.21*****  2.70* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150014 1 19.24*****  2.58* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150015 1 20.20*****  3.19* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150016 1 29.39*****  4.58* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150017 1 24.80*****  3.64* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150018 1 32.32*****  4.68* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150019 1 33.71*****  4.40* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150020 1 18.80*****  2.87* 1 ** **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150021 2 50.2323.23 ****** 1  3 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150022 2 39.07 7.96 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150023 2 45.9021.37 ****** 1  3 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150024 2 38.6016.58 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150025 2 36.6116.15 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150026 2 29.6512.32 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150027 2 27.9010.90 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150028 2 28.1211.41 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150029 2 29.1712.28 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150030 2 31.1613.46 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150031 2 28.6412.15 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150032 2 20.37 7.91 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150033 2 32.5013.90 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150034 2 20.21 7.28 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150035 2 21.23 7.07 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150036 2 26.7110.54 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150037 2 26.25 9.33 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150038 2 20.19 7.62 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150039 2 23.99 9.34 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 12    3 0150040 2 19.00 6.38 ****** 1  1 **00000000 ********** LL 00481462 00621317  59 **** ****       STEPHANE & BOBBY H.   ***** *               
