 21072005 E     3 0140001 1121.65***** 32.61* 2 ** **00000000 ********** LL 00481611 00620795  67 * 88 ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0140002 1 32.06*****  4.93* 1 ** **00000000 ********** LL 00481611 00620795  67 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0140003 1 20.78*****  3.11* 1 ** **00000000 ********** LL 00481611 00620795  67 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0140004 1 27.99*****  3.97* 1 ** **00000000 ********** LL 00481611 00620795  67 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0140005 1 18.29*****  2.85* 1 ** **00000000 ********** LL 00481611 00620795  67 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0140006 1 19.38*****  2.60* 1 ** **00000000 ********** LL 00481611 00620795  67 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0140007 2 38.6217.91 ****** 1  3 **00000000 ********** LL 00481611 00620795  67 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0140008 2 29.4412.11 ****** 1  1 **00000000 ********** LL 00481611 00620795  67 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0140009 2 30.4213.10 ****** 1  1 **00000000 ********** LL 00481611 00620795  67 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0140010 2 25.48 9.50 ****** 1  1 **00000000 ********** LL 00481611 00620795  67 **** ****       STEPHANE & BOBBY H.   ***** *               
