 21072005 E     3 0160001 1 87.46***** 18.65* 2 ** **00000000 ********** LL 00482036 00622118 128 * 78 ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160002 1100.48***** 21.59* 2 ** **00000000 ********** LL 00482036 00622118 128 * 69 ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160003 1 84.79***** 15.27* 3 ** **00000000 ********** LL 00482036 00622118 128 * 66 ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160004 1 92.71***** 20.42* 4 ** **00000000 *********1 LL 00482036 00622118 128 * 77 ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160005 1 88.25***** 16.35* 2 ** **00000000 ********** LL 00482036 00622118 128 * 57 ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160006 1 75.92***** 11.75* 1 ** **00000000 ********** LL 00482036 00622118 128 * 63 ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160007 1 35.55*****  5.20* 1 ** **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160008 1 38.17*****  5.69* 1 ** **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160009 1 33.52*****  5.13* 1 ** **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160010 1 31.84*****  4.79* 1 ** **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160011 1 28.19*****  3.93* 1 ** **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160012 1 31.44*****  4.27* 1 ** **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160013 1 25.90*****  3.16* 1 ** **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160014 1 25.56*****  3.37* 1 ** **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160015 1 26.00*****  3.74* 1 ** **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160016 2 63.3943.68 ****** 2 ** 2400000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160017 2 58.7730.73 ****** 1  3 **00000000 *1******** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160018 2 59.5829.59 ****** 1  3 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160019 2 35.8517.15 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160020 2 32.5915.10 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160021 2 38.9317.90 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160022 2 28.1411.46 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160023 2 33.0615.22 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160024 2 25.09 9.23 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160025 2 35.6216.87 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160026 2 25.81 9.97 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160027 2 24.29 9.57 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160028 2 27.0810.41 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160029 2 32.3714.75 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160030 2 26.4911.37 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160031 2 25.4710.25 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160032 2 27.0610.59 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160033 2 23.82 8.51 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160034 2 31.0813.18 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160035 2 26.8710.49 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160036 2 24.27 9.58 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160037 2 24.36 9.60 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160038 2 25.94 9.99 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160039 2 32.8513.55 ****** 1  1 **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160040 1 24.01*****  3.77* 1 ** **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160041 1 27.69*****  3.76* 1 ** **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *                
 21072005 E     3 0160042 1 27.16*****  3.88* 1 ** **00000000 ********** LL 00482036 00622118 128 **** ****       STEPHANE & BOBBY H.   ***** *               
