 23072005 12    3 0100001 1111.52***** 27.24* 1 ** **00000000 ********** LL 04803201 06246160  47 * 51 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100002 1 92.45***** 22.51* 3 ** **00000000 *1******1* LL 04803201 06246160  47 * 82 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100003 1100.91***** 23.59* 3 ** **00000000 ********** LL 04803201 06246160  47 * 82 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100004 1 76.54***** 16.07* 2 ** **00000000 ********1* LL 04803201 06246160  47 * 74 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100005 1106.78***** 27.84* 1 ** **00000000 11**1****1 LL 04803201 06246160  47 * 47 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100006 1104.20***** 26.38* 4 ** **00000000 ****1***1* LL 04803201 06246160  47 * 80 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100007 1 97.88***** 17.91* 1 ** **00000000 ********** LL 04803201 06246160  47 * 58 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100008 1 87.08***** 16.10* 1 ** **00000000 ********** LL 04803201 06246160  47 * 58 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100009 1100.44***** 23.06* 1 ** **00000000 ********** LL 04803201 06246160  47 * 58 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100010 1 76.80***** 13.91* 2 ** **00000000 ****1***** LL 04803201 06246160  47 * 69 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100011 1101.75***** 25.27* 1 ** **00000000 ********** LL 04803201 06246160  47 * 68 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100012 1 92.05***** 17.02* 1 ** **00000000 ********** LL 04803201 06246160  47 * 64 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100013 1 85.27***** 21.10* 3M** **00000000 ********** LL 04803201 06246160  47 * 66 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100014 1105.71***** 26.30* 3 ** **00000000 ********** LL 04803201 06246160  47 * 90 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100015 1 91.62***** 21.78* 2 ** **00000000 *1**11**** LL 04803201 06246160  47 * 68 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100016 1 75.53***** 14.90* 2 ** **00000000 ********** LL 04803201 06246160  47 * 80 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100017 1 92.61***** 22.30* 2 ** **00000000 ********** LL 04803201 06246160  47 * 79 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100018 1 78.24***** 17.37* 2 ** **00000000 ********** LL 04803201 06246160  47 * 72 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100019 1 77.13***** 15.24* 4 ** **00000000 *1******** LL 04803201 06246160  47 * 76 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100020 1 77.15***** 17.16* 2 ** **00000000 *1**1***** LL 04803201 06246160  47 * 73 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100021 1 81.70***** 18.16* 2 ** **00000000 ********** LL 04803201 06246160  47 * 75 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100022 1 91.89***** 22.08* 4 ** **00000000 ********** LL 04803201 06246160  47 * 75 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100023 1 85.11***** 18.80* 3 ** **00000000 ********** LL 04803201 06246160  47 * 63 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100024 1 89.31***** ****** 3 ** **00000000 1****1**** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100025 1 93.03***** 21.04* 2 ** **00000000 *******1** LL 04803201 06246160  47 * 82 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100026 1 82.47***** 17.46* 2 ** **00000000 ********** LL 04803201 06246160  47 * 72 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100027 1 54.74***** 10.71* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100028 1 72.74***** 13.93* 2 ** **00000000 ********** LL 04803201 06246160  47 * 78 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100029 1 76.96***** 16.97* 2 ** **00000000 ***1**1**1 LL 04803201 06246160  47 * 70 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100030 1 89.58***** 21.38* 3 ** **00000000 ****1**1** LL 04803201 06246160  47 * 81 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100031 1 73.03***** 14.73* 2 ** **00000000 ********** LL 04803201 06246160  47 * 70 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100032 1 66.97***** 11.92* 2 ** **00000000 ****1***** LL 04803201 06246160  47 * 60 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100033 1 71.85***** 11.97* 1 ** **00000000 ********** LL 04803201 06246160  47 * 58 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100034 1 73.22***** 16.61* 2 ** **00000000 1**1****1* LL 04803201 06246160  47 * 75 ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100035 1 52.77***** 10.75* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100036 1 35.15*****  4.96* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100037 1 41.19*****  5.78* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100038 1 49.55*****  7.64* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100039 1 36.97*****  5.70* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100040 1 74.44*****  5.54* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100041 1 33.67*****  4.67* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100042 1 22.20*****  2.65* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100043 1 18.80*****  2.51* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100044 1 19.57*****  2.60* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100045 1 37.40*****  5.48* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100046 1 37.28*****  5.41* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100047 1 32.92*****  4.70* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100048 1 20.55*****  2.16* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100049 1 22.67*****  3.62* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100050 1 19.58*****  2.55* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100051 1 21.47*****  3.11* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100052 1 21.34*****  3.25* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100053 1 18.71*****  2.67* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100054 1 21.67*****  3.23* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100055 1 18.08*****  2.66* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100056 1 15.27*****  2.13* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100057 1 18.94*****  3.48* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100058 1 14.00*****  2.49* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100059 1 12.77*****  1.89* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100060 1 13.39*****  2.01* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100061 1 10.40*****  1.47* 1 ** **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100062 2 41.3220.06 ****** 1  3 **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100063 2 37.5518.14 ****** 1  1 **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100064 2 41.2119.80 ****** 1  3 **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100065 2 40.6718.95 ****** 1  3 **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100066 2 42.5220.16 ****** 1  3 **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100067 2 43.0221.65 ****** 1  3 **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100068 2 39.7419.30 ****** 1  3 **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100069 2 39.6519.41 ****** 1  3 **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100070 2 43.3920.32 ****** 1  3 **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
 23072005 12    3 0100071 2 44.6922.10 ****** 1  3 **00000000 ********** LL 04803201 06246160  47 **** ****       STEPHANE & BOBBY H    ***** *                
