year,month,day,tow no,tow.id,Time.Logbook,loranx.logbook,lorany.logbook,door spread,wing.spread,hauteur
1989,8,15,1,001,7:30,15078.8,30698.0,NA,NA,NA
1989,8,15,1,001,,15079.3,30695.7,NA,NA,NA
1989,8,15,2,002,8:45,15086.0,30759.6,NA,NA,NA
1989,8,15,2,002,,15086.3,30759.9,NA,NA,NA
1989,8,15,3,003,10:00,15102.0,30827.5,NA,NA,NA
1989,8,15,3,003,,15102.1,30825.7,NA,NA,NA
1989,8,15,4,004,11:15,15088.3,30864.4,NA,NA,NA
1989,8,15,4,004,,15088.8,30862.1,NA,NA,NA
1989,8,15,5,005,12:30,15105.6,30924.0,NA,NA,NA
1989,8,15,5,005,,15105.8,30922.0,NA,NA,NA
1989,8,15,6,006,14:00,15100.7,30990.8,NA,NA,NA
1989,8,15,6,006,,15099.4,30990.6,NA,NA,NA
1989,8,16,1,007,7:30,15140.5,31195.7,NA,NA,NA
1989,8,16,1,007,,15141.3,31197.0,NA,NA,NA
1989,8,16,2,008,9:00,15127.94,31090.82,NA,NA,NA
1989,8,16,2,008,,15128.1,31089.20,NA,NA,NA
1989,8,16,3,009,10:30,15110.5,31028.2,NA,NA,NA
1989,8,16,3,009,,151111.0,31028.2,NA,NA,NA
1989,8,17,1,010,9:30,15097.7,30731.4,NA,NA,NA
1989,8,17,2,011,11:00,15092.3,30666.9,NA,NA,NA
1989,8,17,2,011,,15091.3,30667.6,NA,NA,NA
1989,8,17,3,012,12:15,15082.8,30590.1,NA,NA,NA
1989,8,17,3,012,,15081.9,30591.3,NA,NA,NA
1989,8,17,4,013,13:30,NA,NA,NA,NA,NA
1989,8,18,1,014,7:30,15067.3,30369.6,NA,NA,NA
1989,8,18,1,014,,15065.9,30367.5,NA,NA,NA
1989,8,18,2,015,8:30,15049.6,30297.9,NA,NA,NA
1989,8,18,2,015,,15048.8,30298.0,NA,NA,NA
1989,8,18,3,016,9:45,15031.4,30302.8,NA,NA,NA
1989,8,18,3,016,,15030.4,30301.6,NA,NA,NA
1989,8,18,4,017,11:00,15018.8,30348.4,NA,NA,NA
1989,8,18,4,017,,15018.1,30346.9,NA,NA,NA
1989,8,18,5,018,13:00,15035.7,30360.0,NA,NA,NA
1989,8,18,5,018,,15037.3,30357.3,NA,NA,NA
1989,8,18,6,019,14:00,15057.8,30419.9,NA,NA,NA
1989,8,18,6,019,,15057.6,30417.4,NA,NA,NA
1989,8,18,7,020,15:00,15067.9,30445.4,NA,NA,NA
1989,8,18,7,020,,15067.9,30444.0,NA,NA,NA
1989,8,19,1,021,8:30,15097.0,30454.6,NA,NA,NA
1989,8,19,1,021,,15095.6,30452.0,NA,NA,NA
1989,8,20,1,022,7:15,15094.4,30411.0,NA,NA,NA
1989,8,20,1,022,,15095.1,30409.7,NA,NA,NA
1989,8,20,2,023,8:45,15108.1,30409.6,NA,NA,NA
1989,8,20,2,023,,15108.6,30410.7,NA,NA,NA
1989,8,20,3,024,12:30,15129.7,30468.3,NA,NA,NA
1989,8,20,3,024,,15130.8,30470.2,NA,NA,NA
1989,8,21,1,025,7:45,15077.0,30304.4,NA,NA,NA
1989,8,21,1,025,,15077.3,30303.3,NA,NA,NA
1989,8,21,2,026,8:30,15076.9,30262.4,NA,NA,NA
1989,8,21,2,026,,15072.0,30259.9,NA,NA,NA
1989,8,21,3,027,10:15,15047.7,30171.2,NA,NA,NA
1989,8,21,3,027,,15047.9,30169.4,NA,NA,NA
1989,8,21,4,028,11:00,15036.2,30120.1,NA,NA,NA
1989,8,21,4,028,,15036.5,30119.5,NA,NA,NA
1989,8,21,5,029,NA,15087.7,30249.2,NA,NA,NA
1989,8,21,5,029,,15087.9,30247.8,NA,NA,NA
1989,8,21,6,030,15:30,15094.9,30321.9,NA,NA,NA
1989,8,21,6,030,,15095.1,30320.1,NA,NA,NA
1989,8,22,1,031,7:00,15077.9,30357.0,NA,NA,NA
1989,8,22,1,031,,15077.5,30358.3,NA,NA,NA
1989,8,22,2,032,9:30,15083.1,30526.0,NA,NA,NA
1989,8,22,2,032,,15083.1,30531.4,NA,NA,NA
1989,8,22,3,033,10:15,15070.9,30506.6,NA,NA,NA
1989,8,22,3,033,,15070.6,30509.6,NA,NA,NA
1989,8,23,1,034,7:00,NA,NA,NA,NA,NA
1989,8,23,2,035,9:00,14992.6,30307.1,NA,NA,NA
1989,8,23,2,035,,14992.4,30309.6,NA,NA,NA
1989,8,23,3,036,10:30,14991.7,30206.3,NA,NA,NA
1989,8,23,3,036,,14991.9,30209.3,NA,NA,NA
1989,8,23,4,037,12:00,14979.6,30158.6,NA,NA,NA
1989,8,23,4,037,,14976.9,30161.2,NA,NA,NA
1989,8,23,5,038,13:00,14954.8,30098.7,NA,NA,NA
