 05101994 12    3 0130001 1    44***** ****** 1 ** **00000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130002 1    87*****    20* 5 ** **00000000 *1******** LC 014671.9 029733.1  40 * 60 ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130003 1    94*****    20* 4 ** **00000000 ********** LC 014671.9 029733.1  40 * 72 ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130004 1   118*****    30* 3 ** **00000000 ********** LC 014671.9 029733.1  40 * 85 ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130005 1    94*****    20* 3 ** **00000000 *11******* LC 014671.9 029733.1  40 * 82 ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130006 1    92*****    22* 2 ** **00000000 ********** LC 014671.9 029733.1  40 * 94 ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130007 1   109***** ****** 2 ** **00000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130008 1    85*****    18* 4 ** **00000000 ********** LC 014671.9 029733.1  40 * 69 ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130009 1    69*****    16* 4 ** **00000000 ********** LC 014671.9 029733.1  40 * 67 ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130010 1    95*****    22* 2 ** **00000000 ********** LC 014671.9 029733.1  40 * 73 ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130011 1    68*****    14* 5 ** **00000000 *********1 LC 014671.9 029733.1  40 * 58 ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130012 2    63   42 ****** 4 ** 3400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130013 2    75   51 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130014 2    66   43 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130015 2    61   43 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130016 2    66   45 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130017 2    64   45 ****** 4 ** 2400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
