 14071994 12    3 0010001 1   120*****    33* 1 ** **00000000 ********** LC 015092.0 030583.1  50 * 49 ****       C. ALBERT/A. HEBERT   ***** *                
 14071994 12    3 0010002 1    82*****    17* 4 ** **00000000 ********** LC 015092.0 030583.1  50 * 70 ****       C. ALBERT/A. HEBERT   ***** *                
 14071994 12    3 0010003 1    89*****    16* 5 ** **00000000 ******1*** LC 015092.0 030583.1  50 * 62 ****       C. ALBERT/A. HEBERT   ***** *                
 14071994 12    3 0010004 1    80*****    17* 4 ** **00000000 *1******** LC 015092.0 030583.1  50 * 70 ****       C. ALBERT/A. HEBERT   ***** *                
 14071994 12    3 0010005 1    82*****    18* 4 ** **00000000 ***1****** LC 015092.0 030583.1  50 * 75 ****       C. ALBERT/A. HEBERT   ***** *                
 14071994 12    3 0010006 1    88*****    17* 5 ** **00000000 *****1*1** LC 015092.0 030583.1  50 * 48 ****       C. ALBERT/A. HEBERT   ***** *                
 14071994 12    3 0010007 1   115*****    30* 3 ** **00000000 ********** LC 015092.0 030583.1  50 * 85 ****       C. ALBERT/A. HEBERT   ***** *                
 14071994 12    3 0010008 1    93*****    22* 4 ** **00000000 ******1*** LC 015092.0 030583.1  50 * 68 ****       C. ALBERT/A. HEBERT   ***** *                
 14071994 12    3 0010009 1   112*****    30* 4 ** **00000000 ********** LC 015092.0 030583.1  50 * 90 ****       C. ALBERT/A. HEBERT   ***** *                
 14071994 12    3 0010010 1    84*****    19* 4 ** **00000000 ***1****11 LC 015092.0 030583.1  50 * 79 ****       C. ALBERT/A. HEBERT   ***** *                
 14071994 12    3 0010011 1    91*****    22* 5 ** **00000000 *********1 LC 015092.0 030583.1  50 * 62 ****       C. ALBERT/A. HEBERT   ***** *                
 14071994 12    3 0010012 1   113*****    30* 4 ** **00000000 ********** LC 015092.0 030583.1  50 * 90 ****       C. ALBERT/A. HEBERT   ***** *                
 14071994 12    3 0010013 1    98*****    24* 3 ** **00000000 *1*1****** LC 015092.0 030583.1  50 * 90 ****       C. ALBERT/A. HEBERT   ***** *                
 14071994 12    3 0010014 1    85*****    15* 4 ** **00000000 *******111 LC 015092.0 030583.1  50 * 82 ****       C. ALBERT/A. HEBERT   ***** *                
 14071994 12    3 0010015 1    85*****    15* 3 ** **00000000 ********** LC 015092.0 030583.1  50 * 64 ****       C. ALBERT/A. HEBERT   ***** *                
