 08081994 12    3 0110001 1    61*****    13* 5 ** **00000000 *1**1***** LC 014886.0 029610.1  47 * 61 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110041 2    59   40 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110042 2    48   32 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110043 2    52   35 ****** 3 ** 2400000000 ****1***** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110044 2    46   32 ****** 3 ** 2400000000 *******1** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110045 2    44   28 ****** 3 ** 2400000000 **1******* LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110046 2    52   34 ****** 3 ** 2400000000 *1******** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110047 2    54   37 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110048 2    47   30 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110049 2    62   41 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110050 2    55   37 ****** 3 ** 1400000000 *********1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110051 2    57   38 ****** 3 ** 1400000000 ****1***** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110052 2    64   43 ****** 3 ** 2400000000 ***1****1* LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110053 2    44   30 ****** 3 ** 1400000000 *******1** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110054 2    53   36 ****** 3 ** 2400000000 *1******** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110055 2    62   40 ****** 3 ** 1400000000 *******1** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110056 2    57   38 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110057 2    52   35 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110058 2    51   34 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110059 2    51   35 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110060 2    45   30 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110061 2    59   42 ****** 3 ** 2400000000 1****1**** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110062 2    50   37 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110063 2    64   43 ****** 3 ** 1400000000 ********1* LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110064 2    57   38 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110065 2    53   35 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110066 2    46   32 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110067 2    45   30 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110068 2    60   40 ****** 3 ** 2400000000 *********1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110069 2    61   42 ****** 3 ** 1400000000 ***1****** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110070 2    60   41 ****** 3 ** 1400000000 *********1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110071 2    58   40 ****** 3 ** 1400000000 **1******* LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110072 2    54   37 ****** 3 ** 1400000000 *******1** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110073 2    59   41 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110074 2    54   36 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110075 2    46   32 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110076 2    49   32 ****** 3 ** 2400000000 ********1* LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110077 2    47   31 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110078 2    54   36 ****** 3 ** 2400000000 ********1* LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110079 2    60   40 ****** 3 ** 2200000000 11****1*1* LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110080 2    48   34 ****** 3 ** 2400000000 *******1*1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110081 2    60   42 ****** 3 ** 2400000000 ******1*** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110082 2    64   42 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110083 2    50   32 ****** 3 ** 2400000000 *********1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110084 2    50   35 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110085 2    42   30 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110086 2    56   37 ****** 3 ** 1400000000 *1******** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110087 2    49   32 ****** 3 ** 2400000000 **1******* LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110088 2    57   38 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110089 2    60   38 ****** 3 ** 2400000000 *********1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110090 2    49   34 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110091 2    55   37 ****** 3 ** 1400000000 ******1*** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110092 2    48   31 ****** 3 ** 2400000000 *****1*1** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110093 2    58   39 ****** 3 ** 1400000000 ******1*** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110094 2    58   40 ****** 3 ** 1400000000 ******1*** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110095 2    51   33 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110096 2    56   38 ****** 3 ** 1400000000 ******1**1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110097 2    46   31 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110098 2    53   36 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110099 2    67   46 ****** 3 ** 2400000000 ******1*** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110100 2    59   40 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110101 2    64   44 ****** 3 ** 2400000000 *********1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110102 2    52   39 ****** 3 ** 2400000000 **1******1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110103 2    60   41 ****** 3 ** 2400000000 ******1**1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110104 2    58   39 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110105 2    53   34 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110106 2    52   33 ****** 3 ** 2400000000 1*****1*1* LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110107 2    50   32 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110108 2    48   33 ****** 3 ** 2400000000 *********1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110109 2    59   38 ****** 3 ** 1400000000 *1****1**1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110110 2    56   37 ****** 3 ** 2400000000 11*1****** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110111 2    56   38 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110112 2    49   33 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110113 2    57   38 ****** 3 ** 1400000000 *****11*** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110114 2    52   35 ****** 3 ** 2400000000 ***1****1* LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
