 09081994 12    3 0070001 1   120*****    27* 1 ** **00000000 ******1*** LC 014882.9 029878.5  44 * 51 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070002 1   117*****    28* 3 ** **00000000 ********** LC 014882.9 029878.5  44 * 76 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070003 1   110*****    29* 3 ** **00000000 *1******** LC 014882.9 029878.5  44 * 76 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070004 1   121*****    32* 3 ** **00000000 ****1***1* LC 014882.9 029878.5  44 * 83 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070005 1   100*****    24* 3 ** **00000000 ***11****1 LC 014882.9 029878.5  44 * 84 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070006 1   101*****    23* 3 ** **00000000 *****11**1 LC 014882.9 029878.5  44 * 73 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070007 1   103*****    25* 1 ** **00000000 ********1* LC 014882.9 029878.5  44 * 60 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070008 1    96*****    18* 2 ** **00000000 ********** LC 014882.9 029878.5  44 * 70 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070009 1   113*****    27* 3 ** **00000000 ********** LC 014882.9 029878.5  44 * 80 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070010 1   106*****    22* 1 ** **00000000 ********** LC 014882.9 029878.5  44 * 60 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070011 1    98*****    18* 1 ** **00000000 ********** LC 014882.9 029878.5  44 * 66 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070012 1    99*****    18* 1 ** **00000000 ********** LC 014882.9 029878.5  44 * 65 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070013 1   114*****    29* 3 ** **00000000 **6******* LC 014882.9 029878.5  44 * 79 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070014 1   105*****    26* 1 ** **00000000 ********** LC 014882.9 029878.5  44 * 61 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070015 1   104*****    28* 1 ** **00000000 ********** LC 014882.9 029878.5  44 * 63 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070016 1    97*****    17* 1 ** **00000000 ****1***** LC 014882.9 029878.5  44 * 62 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070017 1   112*****    28* 3 ** **00000000 ********** LC 014882.9 029878.5  44 * 63 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070018 1   112*****    27* 3 ** **00000000 ********** LC 014882.9 029878.5  44 * 74 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070019 1    92*****    19* 4 ** **00000000 *1******** LC 014882.9 029878.5  44 * 69 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070020 1    96*****    24* 4 ** **00000000 **1******* LC 014882.9 029878.5  44 * 84 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070021 1    82*****    18* 4 ** **00000000 ********** LC 014882.9 029878.5  44 * 68 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070022 1    95*****    18* 1 ** **00000000 ********** LC 014882.9 029878.5  44 * 58 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070023 1   102*****    24* 3 ** **00000000 **1******* LC 014882.9 029878.5  44 * 84 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070024 1    98*****    19* 3 ** **00000000 *********1 LC 014882.9 029878.5  44 * 68 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070025 1    67*****    14* 5 ** **00000000 ****1***** LC 014882.9 029878.5  44 * 50 ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070026 1    38***** ****** 1 ** **00000000 ****2***** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070027 2    59   38 ****** 4 ** 1400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070028 2    60   40 ****** 4 ** 1400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070029 2    62   45 ****** 4 ** 1400000000 ******1**1 LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070030 2    62   42 ****** 4 ** 1400000000 *1******** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070031 2    63   43 ****** 4 ** 1400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070032 2    58   37 ****** 4 ** 1400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070033 2    62   41 ****** 4 ** 1400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070034 2    62   41 ****** 4 ** 2400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070035 2    70   47 ****** 4 ** 1400000000 ****1***** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070036 2    63   42 ****** 4 ** 1400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070037 2    62   42 ****** 4 ** 1400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070038 2    50   37 ****** 4 ** 2400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070039 2    58   37 ****** 4 ** 2400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070040 2    64   44 ****** 4 ** 2400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070041 2    58   39 ****** 4 ** 1400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070042 2    59   40 ****** 4 ** 1400000000 *1******** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070043 2    61   42 ****** 4 ** 1400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070044 2    59   39 ****** 4 ** 1400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070045 2    66   45 ****** 4 ** 2400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070046 2    68   43 ****** 4 ** 1400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070047 2    60   42 ****** 4 ** 2400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
 09081994 12    3 0070048 2    65   45 ****** 4 ** 1400000000 ********** LC 014882.9 029878.5  44 **** ****       A. HEBERT/C. ALBERT   ***** *                
