 27081994 19    3 0100001 1   109*****    25* 4 ** **00000000 1********1 LC 014492.9 029056.3  43 * 79 ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100002 1   118*****    29* 4 ** **00000000 ********** LC 014492.9 029056.3  43 * 81 ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100003 1    82*****    20* 5 ** **00000000 1********* LC 014492.9 029056.3  43 * 46 ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100004 1    80*****    17* 4 ** **00000000 *1******** LC 014492.9 029056.3  43 * 70 ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100005 1    68*****    14* 4 ** **00000000 ****1***** LC 014492.9 029056.3  43 * 73 ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100006 1    74*****    16* 4 ** **00000000 ********** LC 014492.9 029056.3  43 * 70 ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100007 1    58*****    10* 1 ** **00000000 ********** LC 014492.9 029056.3  43 **** ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100008 1    55*****     9* 1 ** **00000000 ********** LC 014492.9 029056.3  43 **** ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100009 1    75*****    16* 5 ** **00000000 ********** LC 014492.9 029056.3  43 * 54 ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100010 2    68   48 ****** 4 ** 1400000000 ******1*** LC 014492.9 029056.3  43 **** ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100011 2    64   44 ****** 4 ** 2400000000 1*1******* LC 014492.9 029056.3  43 **** ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100012 2    73   49 ****** 4 ** 1400000000 ********** LC 014492.9 029056.3  43 **** ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100013 2    72   47 ****** 4 ** 1100000000 *1*1****** LC 014492.9 029056.3  43 **** ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100014 2    68   47 ****** 4 ** 1400000000 ********** LC 014492.9 029056.3  43 **** ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100015 2    72   48 ****** 4 ** 1400000000 11*****11* LC 014492.9 029056.3  43 **** ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100016 2    60   40 ****** 4 ** 2400000000 *1***1***1 LC 014492.9 029056.3  43 **** ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100017 2    69   47 ****** 4 ** 1400000000 ********** LC 014492.9 029056.3  43 **** ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100018 2    69   58 ****** 4 ** 2400000000 ***1****** LC 014492.9 029056.3  43 **** ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100019 2    62   40 ****** 4 ** 2400000000 ********** LC 014492.9 029056.3  43 **** ****       A. HEBERT/C. ALBERT   ***** *                
 27081994 19    3 0100020 2    64   43 ****** 4 ** 2400000000 **1******* LC 014492.9 029056.3  43 **** ****       A. HEBERT/C. ALBERT   ***** *                
