 21071994 12    3 0040001 1   117*****    30* 3 ** **00000000 ********1* LC 014854.1 030130.8  46 * 75 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040002 1   111*****    27* 4 ** **00000000 ******1*** LC 014854.1 030130.8  46 * 68 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040003 1    87*****    20* 5 ** **00000000 *******1** LC 014854.1 030130.8  46 * 67 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040004 1   126*****    33* 1 ** **00000000 ********** LC 014854.1 030130.8  46 * 43 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040005 1   107*****    28* 3 ** **00000000 ********** LC 014854.1 030130.8  46 * 85 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040006 1   106*****    25* 3 ** **00000000 ********1* LC 014854.1 030130.8  46 * 88 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040007 1   102*****    23* 3 ** **00000000 *********1 LC 014854.1 030130.8  46 * 87 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040008 1    92*****    21* 4 ** **00000000 ********** LC 014854.1 030130.8  46 * 80 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040009 1   113*****    29* 3 ** **00000000 ********** LC 014854.1 030130.8  46 * 81 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040010 1   104*****    24* 3 ** **00000000 ********** LC 014854.1 030130.8  46 * 93 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040011 1   104*****    25* 3 ** **00000000 ********** LC 014854.1 030130.8  46 * 82 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040012 1   128*****    33* 3 ** **00000000 **1******* LC 014854.1 030130.8  46 * 81 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040013 1   109*****    26* 3 ** **00000000 ********** LC 014854.1 030130.8  46 * 82 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040014 1   101*****    19* 3 ** **00000000 ********** LC 014854.1 030130.8  46 * 68 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040015 1   104*****    25* 3 ** **00000000 ********** LC 014854.1 030130.8  46 * 84 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040016 1    86*****    16* 3 ** **00000000 *********1 LC 014854.1 030130.8  46 * 68 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040017 1   118*****    31* 1 ** **00000000 ********** LC 014854.1 030130.8  46 * 50 ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040018 2    74   51 ****** 4 ** 1400000000 ****1***** LC 014854.1 030130.8  46 **** ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040019 2    68   47 ****** 4 ** 1400000000 *1***1**** LC 014854.1 030130.8  46 **** ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040020 2    60   41 ****** 4 ** 1400000000 ********** LC 014854.1 030130.8  46 **** ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040021 2    62   43 ****** 4 ** 1400000000 ********** LC 014854.1 030130.8  46 **** ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040022 2    68   47 ****** 4 ** 2400000000 ********** LC 014854.1 030130.8  46 **** ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040023 2    64   46 ****** 4 ** 1400000000 ********** LC 014854.1 030130.8  46 **** ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040024 2    64   45 ****** 4 ** 1400000000 ******1*** LC 014854.1 030130.8  46 **** ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040025 2    71   51 ****** 4 ** 1400000000 ********** LC 014854.1 030130.8  46 **** ****       C. ALBERT/A. HEBERT   ***** *                
 21071994 12    3 0040026 2    72   50 ****** 4 ** 1400000000 ********** LC 014854.1 030130.8  46 **** ****       C. ALBERT/A. HEBERT   ***** *                
