 31071994 12    3 0070001 1   108*****    28* 4 ** **00000000 ********** LC 015092.2 030709.3  53 * 85 ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070041 2    64   45 ****** 4 ** 1400000000 **1******* LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070042 2    65   45 ****** 4 ** 2400000000 *********1 LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070043 2    62   42 ****** 4 ** 1400000000 ****1*1*** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070044 2    60   44 ****** 4 ** 2400000000 ********** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070045 2    68   45 ****** 4 ** 1400000000 ********** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070046 2    62   42 ****** 4 ** 2400000000 *****1***1 LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070047 2    61   42 ****** 4 ** 1400000000 ********** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070048 2    59   41 ****** 4 ** 1400000000 ********** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070049 2    58   40 ****** 4 ** 1400000000 ********** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070050 2    64   46 ****** 4 ** 2400000000 ********** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070051 2    61   42 ****** 4 ** 2400000000 ********** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070052 2    62   43 ****** 4 ** 1400000000 ********** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070053 2    69   48 ****** 4 ** 1400000000 ********** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070054 2    68   48 ****** 4 ** 1400000000 ********1* LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070055 2    69   44 ****** 4 ** 1400000000 ********** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070056 2    63   45 ****** 4 ** 1400000000 ********** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070057 2    62   45 ****** 4 ** 2400000000 ***1****** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070058 2    62   44 ****** 4 ** 1400000000 ********** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070059 2    66   48 ****** 4 ** 2400000000 ********** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070060 2    65   46 ****** 4 ** 2400000000 **1***1**1 LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070061 2    63   44 ****** 4 ** 2400000000 ********** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070062 2    67   45 ****** 4 ** 2400000000 ********** LC 015092.2 030709.3  53 **** ****       C. ALBERT/A. HEBERT   ***** *                
 31071994 12    3 0070063 1    66*****    14* 5 ** **00000000 ********** LC 015092.2 030709.3  53 * 55 ****       C. ALBERT/A. HEBERT   ***** *                
