 23081994 19    3 0050001 1    97*****    23* 5 ** **00000000 *1**1**111 LC 014505.3 029167.1  38 * 60 ****       C. ALBERT/A. HEBERT   ***** *                
 23081994 19    3 0050002 1    61*****    13* 1 ** **00000000 ********** LC 014505.3 029167.1  38 * 59 ****       C. ALBERT/A. HEBERT   ***** *                
 23081994 19    3 0050003 1    79*****    18* 4 ** **00000000 *******1*1 LC 014505.3 029167.1  38 * 69 ****       C. ALBERT/A. HEBERT   ***** *                
 23081994 19    3 0050004 1   125*****    36* 5 ** **00000000 ********** LC 014505.3 029167.1  38 * 65 ****       C. ALBERT/A. HEBERT   ***** *                
 23081994 19    3 0050005 1   127*****    32* 4 ** **00000000 ********** LC 014505.3 029167.1  38 * 79 ****       C. ALBERT/A. HEBERT   ***** *                
 23081994 19    3 0050006 1    95*****    23* 4 ** **00000000 *1**1***** LC 014505.3 029167.1  38 * 78 ****       C. ALBERT/A. HEBERT   ***** *                
 23081994 19    3 0050007 1    75*****    15* 4 ** **00000000 ********** LC 014505.3 029167.1  38 * 70 ****       C. ALBERT/A. HEBERT   ***** *                
 23081994 19    3 0050008 1   114*****    31* 4 ** **00000000 *****1**** LC 014505.3 029167.1  38 * 70 ****       C. ALBERT/A. HEBERT   ***** *                
 23081994 19    3 0050009 1   123*****    30* 4 ** **00000000 ********1* LC 014505.3 029167.1  38 * 84 ****       C. ALBERT/A. HEBERT   ***** *                
 23081994 19    3 0050010 2    68   46 ****** 4 ** 1400000000 *****1**** LC 014505.3 029167.1  38 **** ****       C. ALBERT/A. HEBERT   ***** *                
 23081994 19    3 0050011 2    67   50 ****** 4 ** 1400000000 *1******** LC 014505.3 029167.1  38 **** ****       C. ALBERT/A. HEBERT   ***** *                
 23081994 19    3 0050012 2    67   47 ****** 4 ** 1400000000 ***1**1*** LC 014505.3 029167.1  38 **** ****       C. ALBERT/A. HEBERT   ***** *                
 23081994 19    3 0050013 2    76   51 ****** 4 ** 1400000000 *1******** LC 014505.3 029167.1  38 **** ****       C. ALBERT/A. HEBERT   ***** *                
 23081994 19    3 0050014 2    76   53 ****** 4 ** 1200000000 *11*****1* LC 014505.3 029167.1  38 **** ****       C. ALBERT/A. HEBERT   ***** *                
