 16071994 PE    3 0050001 1   111*****    24* 1 ** **00000000 ********** LC 014684.9 029937.6  36 * 54 ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050002 1    76*****    16* 5 ** **00000000 *********1 LC 014684.9 029937.6  36 * 55 ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050003 2    75   53 ****** 4 ** 2400000000 *****11*** LC 014684.9 029937.6  36 **** ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050004 2    57   36 ****** 4 ** 2400000000 ********** LC 014684.9 029937.6  36 **** ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050005 2    68   46 ****** 4 ** 2400000000 ********** LC 014684.9 029937.6  36 **** ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050006 2    69   50 ****** 4 ** 1400000000 ******1*** LC 014684.9 029937.6  36 **** ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050007 2    61   40 ****** 4 ** 1400000000 ***1**1*** LC 014684.9 029937.6  36 **** ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050008 2    66   47 ****** 4 ** 2400000000 ********** LC 014684.9 029937.6  36 **** ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050009 2    63   42 ****** 4 ** 2400000000 ********** LC 014684.9 029937.6  36 **** ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050010 2    62   42 ****** 4 ** 2400000000 ******1*** LC 014684.9 029937.6  36 **** ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050011 2    63   44 ****** 3 ** 2400000000 *1******1* LC 014684.9 029937.6  36 **** ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050012 2    63   42 ****** 3 ** 1400000000 *******1*1 LC 014684.9 029937.6  36 **** ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050013 2    61   42 ****** 3 ** 2400000000 ********** LC 014684.9 029937.6  36 **** ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050014 2    56   40 ****** 3 ** 2400000000 *********2 LC 014684.9 029937.6  36 **** ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050015 2    68   47 ****** 3 ** 1400000000 ********** LC 014684.9 029937.6  36 **** ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050016 2    63   45 ****** 3 ** 1400000000 ********** LC 014684.9 029937.6  36 **** ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050017 2    62   41 ****** 3 ** 2400000000 ******1*** LC 014684.9 029937.6  36 **** ****       C. ALBERT/A. HEBERT   ***** *                
 16071994 PE    3 0050018 2    64   45 ****** 3 ** 2400000000 ********** LC 014684.9 029937.6  36 **** ****       C. ALBERT/A. HEBERT   ***** *                
