 16072003 12    3 0030017 2 28.0512.74 ****** 1  1 **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030018 2 27.8811.50 ****** 1  1 **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030019 2 35.0015.21 ****** 1  1 **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030020 2 51.1324.98 ****** 1  1 **00000000 ********11 LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030021 2 46.7023.28 ****** 1  2 **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030022 2 33.0915.06 ****** 1  1 **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030023 2 29.2712.99 ****** 1  1 **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030024 2 27.9113.09 ****** 1  1 **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030025 2 23.72 8.41 ****** 1  1 **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030026 2 21.71 7.72 ****** 1  1 **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030027 2 33.3013.62 ****** 1  1 **00000000 ********22 LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030028 2 23.26 9.28 ****** 1  1 **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030029 1 14.60*****  1.66* 1 ** **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030030 1 24.02*****  3.79* 1 ** **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030031 1 29.00*****  4.32* 1 ** **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030032 1 23.67*****  3.94* 1 ** **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030033 1 27.23*****  4.27* 1 ** **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030034 1 23.84*****  3.33* 1 ** **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030035 1 24.51*****  4.19* 1 ** **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
 16072003 12    3 0030036 1 26.71*****  4.34* 1 ** **00000000 ********** LL 04831639 06315959  72 **** ****       C. ALBERT\ S. ALBERT  ***** *                
