 15092003 12    3 0030033 1 26.38*****  3.74* 1 ** **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030034 1 32.01*****  4.40* 1 ** **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030035 1 24.96*****  3.54* 1 ** **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030036 1 23.83*****  3.58* 1 ** **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030037 1 29.50*****  4.00* 1 ** **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030038 1 21.30*****  3.05* 1 ** **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030039 1 30.63*****  4.50* 1 ** **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030040 1 37.98*****  5.80* 1 ** **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030041 1 26.45*****  4.01* 1 ** **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030042 1 18.07*****  2.42* 1 ** **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030043 1 20.34*****  2.91* 1 ** **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030044 1 17.74*****  2.40* 1 ** **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030045 1 18.81*****  2.14* 1 ** **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030046 1 20.20*****  2.78* 1 ** **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030047 1 16.71*****  2.64* 1 ** **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030048 2 36.4916.53 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030049 2 35.0416.07 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030050 2 39.4218.21 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
