 26042005 19    3 0040037 1 36.49*****  5.04* 1 ** **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040038 1 41.16*****  6.00* 1 ** **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040039 1 39.03*****  5.57* 1 ** **00000000 *****2**** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040040 1 36.66*****  5.38* 1 ** **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040041 1 35.65*****  5.06* 1 ** **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040042 1 23.64*****  3.31* 1 ** **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040043 1 29.25*****  4.18* 1 ** **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040044 1 23.90*****  3.21* 1 ** **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040045 1 25.94*****  4.30* 1 ** **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040046 1 46.71*****  7.21* 1 ** **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040047 1 36.04*****  5.52* 1 ** **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040048 1 38.02*****  5.89* 1 ** **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040049 1 32.47*****  4.42* 1 ** **00000000 ******1*** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040050 1 18.57*****  2.64* 1 ** **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040051 1 34.89*****  5.22* 1 ** **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040052 1 13.88*****  2.33* 1 ** **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040053 2 52.7025.93 ****** 1  2 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040054 2 40.3118.16 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040055 2 37.2916.59 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040056 2 57.5829.39 ****** 1  2 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040057 2 58.2229.34 ****** 1  2 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040058 2 49.8623.15 ****** 1  2 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040059 2 51.2724.97 ****** 1  2 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040060 2 36.9916.80 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040061 2 39.8618.23 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040062 2 40.4718.03 ****** 1  1 **00000000 ***1****** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040063 2 50.6125.78 ****** 1  2 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040064 2 47.6724.73 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040065 2 42.4320.27 ****** 1  1 **00000000 ****1***** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040066 2 43.5321.40 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040067 2 36.5215.97 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040068 2 39.3318.69 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040069 2 39.6817.69 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040070 2 38.0718.32 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040071 2 34.9715.08 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040072 2 40.6219.47 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040073 2 34.7215.15 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040074 2 37.8616.18 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040075 2 46.5423.54 ****** 1  1 **00000000 *2***22*** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040076 2 54.0827.25 ****** 1  2 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040077 2 52.2324.17 ****** 1  2 **00000000 ****2***** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040078 2 39.1318.22 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040079 2 39.2618.27 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040080 2 41.4019.12 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040081 2 35.3516.22 ****** 1  1 **00000000 *****22*** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040082 2 33.6114.39 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040083 2 37.6716.97 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040084 2 29.8712.74 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040085 2 39.3019.25 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040086 2 38.3418.04 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040087 2 38.0818.01 ****** 1  1 **00000000 ***11***** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040088 2 37.7517.66 ****** 1  1 **00000000 **11****** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
