 24072002 12    3 0030001 1 87.88***** 21.29* 2 ** **00000000 1********* LL 00473409 00642239  27 * 68 ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030002 1 82.54***** 14.63* 1 ** **00000000 ********** LL 00473409 00642239  27 * 66 ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030003 1 87.14***** 19.89* 5 ** **00000000 *********1 LL 00473409 00642239  27 * 60 ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030004 1 88.32***** 17.41* 1 ** **00000000 ********** LL 00473409 00642239  27 * 57 ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030005 1 93.42***** 22.23* 2 ** **00000000 ********** LL 00473409 00642239  27 * 70 ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030006 1 93.30***** 17.40* 1 ** **00000000 ********** LL 00473409 00642239  27 * 65 ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030007 1 77.92***** 16.53* 4 ** **00000000 ********** LL 00473409 00642239  27 * 70 ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030008 1 79.38***** 18.26* 5 ** **00000000 ********11 LL 00473409 00642239  27 * 37 ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030009 1 83.58***** 18.89* 4 ** **00000000 ********** LL 00473409 00642239  27 * 70 ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030010 1 81.32***** 14.07* 1 ** **00000000 ********** LL 00473409 00642239  27 * 65 ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030011 1 71.61***** 13.14* 5 ** **00000000 1*1*****1* LL 00473409 00642239  27 * 57 ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030012 1 63.61***** 11.90* 4 ** **00000000 ******1*** LL 00473409 00642239  27 * 52 ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030013 1 59.13***** 13.07* 3M** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030014 1 55.22***** 10.84* 3M** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030015 1 50.99*****  9.40* 3M** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030016 1 38.21*****  5.46* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030017 1 39.17*****  5.84* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030018 1 39.15*****  4.91* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030019 1 36.82*****  5.36* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030020 1 37.07*****  5.46* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030021 1 39.49*****  5.17* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030022 1 38.21*****  5.66* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030023 1 37.43*****  5.30* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030024 1 37.62*****  4.94* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030025 1 39.87*****  6.03* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030026 1 42.89*****  6.14* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030027 1 41.43*****  6.03* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030028 1 26.82*****  3.71* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030029 1 26.84*****  3.69* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030030 1 36.98*****  5.45* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030031 1 27.07*****  3.67* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030032 1 25.45*****  3.35* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030033 1 25.26*****  3.41* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030034 1 22.03*****  2.96* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030035 1 24.82*****  3.30* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030036 1 30.12*****  3.81* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030037 1 34.41*****  4.88* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030038 1 22.56*****  3.14* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030039 1 23.65*****  3.07* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030040 1 25.45*****  3.61* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030041 1 26.11*****  3.69* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030042 1 21.50*****  2.85* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030043 1 18.80*****  2.30* 1 ** **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030044 2 28.1810.11 ****** 1  1 **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030045 2 19.47 6.48 ****** 1  1 **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030046 2 40.0318.55 ****** 1  1 **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030047 2 42.2819.71 ****** 1  1 **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030048 2 40.1618.65 ****** 1  1 **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
 24072002 12    3 0030049 2 29.6212.10 ****** 1  1 **00000000 ********** LL 00473409 00642239  27 **** ****       C.ALBERT/S.ALBERT     ***** *                
