english,french,code,stacac,nafo
Atlantic cod,Morue Atlantique,10,100,101
Greenland/Rock cod,Morue de roche,118,101,NA
Arctic cod,Saida,110,102,NA
Ling cod,Julienne,NA,103,NA
Haddock,Aiglefin,11,110,102
Redfish,Sebaste,23,120,103
Cunner,Tanche-Tautogue,122,121,NA
Atlantic halibut,Flütan Atltantique,30,130,120
American plaice,Plie canadienne,40,140,112
Yellowtail flounder,Limande ê queue jaune,42,141,116
Witch flounder/Greysole,Plie grise,41,142,114
Winter flounder,Plie rouge,43,143,122
Greenland halibut/Turbot,Fletan du Groenland,31,144,118
Windowpane,Turbot de sable,143,145,NA
Flounder unspecified,Plies non-identifiües,49,149,129
Skate,Raie,211,160,479
Dogfish,Aiguillat,274,161,459
Black dogfish,Aiguillat noir,221,162,NA
Butterfish/Dollarfish,Stromate,701,166,NA
Pollock,Goberge,16,170,106
White hake,Merluche blanche,12,171,186
Silver hake,Merluche argentüe,14,172,104
Cusk,Brosme,15,173,144
Wolffish,Loup de mer,59,174,188
Tomcod,Poulamon,17,175,138
Lumpfish,Lompe,501,176,154
Monkfish,Baudroie,400,177,NA
Sandlance,Lan_on d'Amürique,610,178,172
Roundnose grenadier,Grenadier de roche,414,179,168
Red hake,Merluche rouge,13,180,105
Sculpin,Chaboisseau,309,181,NA
Roughhead grenadier,Grenadier berglax,411,182,NA
Oceanpout,Loquette d'Amürique,640,183,NA
Chimaera,Chim_re,242,184,NA
Wrymouth,Terrassier,630,185,NA
Snakeblenny,Lompünie serpent,NA,186,NA
Northern catfish,Barbue de rivi_re,NA,187,NA
Blue hake,Hoki,NA,188,NA
Tilefish,TILE,NA,190,NA
Striped wolffish,Loup Atlantique,50,192,NA
Hagfish,Myxine,241,197,NA
Scalefish,Poisson ecailles,NA,198,NA
Groundfish Unsp.,Poisson de fond non-specifie,NA,199,199
Atlantic herring,Hareng Atlantique,60,200,202
Herring / Mackerel,Hareng / Maquereau,NA,202,NA
Menhaden,Alose tyran,164,210,NA
Anchovy,Anchois,NA,215,NA
Atlantic Mackerel,Maquereau,70,250,204
Swordfish,Espadon,72,251,264
Albacore tuna,Germon Atlantique,190,252,272
Bigeye tuna,Thon ventru,192,253,278
Bluefin tuna,Thon rouge,71,254,280
Skipjack tuna,Bonite ê ventre rayü,172,255,282
Yellowfin tuna,Albacore ê nageoires jaunes,191,256,284
Tuna restricted,Thon restreint,NA,257,NA
Tuna unspecified,Thon non-spücifiü,NA,259,289
Billfish,Balaou,NA,260,NA
Blue marlin,Makaire bleu,33,261,NA
White marlin,Makaire blanc,32,262,NA
Mahi mahi (dolphin),MAHI -MAHI (CORYPH?NE),NA,263,NA
Escolar,,NA,270,NA
Pelagic unspecified,Poisson pülagique non-spücifiü,NA,299,299
Alewife/Gaspareau,Gaspareau,62,350,302
Argentine,Grande argentine,160,351,312
Eel,Anguille,440,352,308
Salmon,Saumon,65,354,318
Atlantic shad,Alose savoureuse,61,355,310
Atlantic smelt,êperlan Atlantique,63,357,NA
Striped bass,Bar rayü,24,358,420
Sturgeon,Esturgeon,272,359,422
Capelin,Capelan,64,360,340
Arctic char,Omble chevalier,76,361,342
Trout,Truite,273,363,432
Silverside,Capucette,770,364,320
White perch,Baret,120,365,NA
Pickerel,Brochet,NA,366,NA
SUCKERS (MULLET ETC),Meuniers,NA,367,370
Whitefish,Cisco,67,368,NA
SHARK PORBEAGLE/MACKEREL,MARA?CHE/MAQUEREAU,230,369,NA
SHARK GREENLAND,REQUIN DU GROENLAND,237,370,NA
SHARK BASKING,REQUIN-P?LERIN,233,371,NA
SHARK BLUE,REQUIN BLEU,231,372,NA
SHARK MAKO,REQUIN-TAUPE BLEU,238,375,NA
Hammerhead shark,Requin marteau,236,376,NA
Shark unspecified,Requin non-spücifiü,592,379,469
Baracudina,Lussion,565,385,NA
Rainbow trout,Truite arc-en-ciel,69,388,NA
Netdevil anglerfish,Beaudroie commune,NA,394,NA
Other finfish unspecified,Poissons osseux non-spücifiüs,NA,399,499
Species at risk,Esp_ce en püril,NA,400,NA
Bar clam,MACTRE DE L'ATLANTIQUE,4317,600,NA
Softshell clam,MYES COMESTIBLES,4318,601,NA
Quahaug,Palourde Amüricaine,4311,602,NA
Razor clam,Couteau,4315,603,NA
Propellor clam,Pitot,NA,606,NA
Ocean quahaug,Quahog nordique,4304,607,NA
Stimpson surf clam,Mactre de Stimpson,4355,608,NA
Clams unspecified,Coques non-spücifiües,4310,609,NA
Mussels,Moules,4330,610,NA
American oysters,Huitres,4326,611,NA
Sea scallop,Pütoncle,4321,612,NA
Illex squid,Calmar Illex,NA,613,NA
Periwinkles,Bigorneau,4250,614,NA
Whelks,Buccin,4210,615,NA
Cockle,Coque,4340,616,NA
Iceland scallop,Pütoncle d'Islande,4322,617,NA
Scallop unspecified,Pütoncle non-spücifiüe,4320,618,NA
Sea cucumber,Concombre de mer,6600,619,NA
Moonsnail,Natice,4221,620,NA
Scallop roe,Rave de petoncle,NA,622,NA
Sea scallop meat with roe,CORAIL ET CHAIR DE P?TONCLE,NA,623,NA
Squid unspecified,Calmar,4514,626,NA
Red squid; Lolligo,Calmar rouge / Lolligo,NA,627,NA
Sea urchin,Oursin commun,6400,650,NA
Mollusk unspecified,Mollusques non-spücifiües,4000,699,NA
American lobster,Homard Atlantique,2550,700,NA
Toad crab,Crabe hyas,2520,701,NA
Northern shrimp,Crevette nordique,2211,702,NA
Jonah crab,Crabe nordique,2511,703,NA
Rock crab,Crabe commun,2513,704,NA
Snow crab,Crabe des neiges,2526,705,NA
Red crab,Crabe rouge,2532,706,NA
Crab unspecified,Crabe non-identifiü,2507,707,NA
Stone crab,Crabe royal,2523,708,NA
Spiny crab,Crabe üpineux,2525,709,NA
Porcupine crab,Araignü de mer,2528,710,NA
Green crab,Crabe vert,2531,711,NA
SHRIMP PANDALUS MONTAGUI,CREVETTE ?SOPE,NA,712,NA
SHRIMP PINK GLASS,CREVETTE BLANCHE,NA,713,NA
Shrimp unspecified,CREVETTE NON SP?CIFI?,NA,720,NA
Hard-shell clam,Palourdes,NA,741,NA
OFFSHORE/MULTI CRABS (LIC ONLY),Crabes,NA,742,NA
JONAH/ROCK,Crabe Jonah/Roche,NA,743,NA
CRUSTACEANS UNSPECIFIED,CRUSTAC?S NON SP?CIFI?S,NA,799,NA
SEAL SKINS/HARP/WHITE COAT (NO.),PEAUX DE PHOQUE (NO.) PHOQUE DU GRO?NLAND BLANC,NA,800,NA
SEAL SKINS/HARP/RAG.JACKET (NO.),PEAUX DE PHOQUE (NO.) PHOQUE DU GRO?NLAND GUENI,NA,801,NA
SEAL SKINS/HARP/BEATER (NO.),PEAUX DE PHOQUE (NO.) PHOQUE DU GRO?NLAND BRASS,NA,802,NA
SEAL SKINS/HARP/BEDLAMER (NO.),PEAUX DE PHOQUE (NO.) PHOQUE DU GRO?NLAND JUV?N,NA,803,NA
SEAL SKINS/HARP/OLD (NO.),PEAUX DE PHOQUE (NO.) PHOQUE DU GRO?NLAND COEUR,NA,804,NA
SEAL SKINS/HARP/UNSPECIFIED (NO.),PEAUX DE PHOQUE (NO.) PHOQUE DU GRO?NLAND NON-S,NA,805,NA
SEAL SKINS/HOOD/YOUNG (NO.),PEAUX DE PHOQUE PHOQUE ? CAPUCHON JEUNE,NA,806,NA
SEAL SKINS/HOOD/OLD (NO.),PEAUX DE PHOQUE PHOQUE ? CAPUCHON ADULTE,NA,807,NA
SEAL SKINS HOOD UNSPECIFIED (NO.),PEAUX DE PHOQUE PHOQUE ? CAPUCHON NON-SP?CIFI?,NA,809,NA
SEAL SQUARE FLIPPER,PHOQUE BARBU,NA,810,NA
SEAL SKINS/HARBOUR (NO.),PEAUX DE PHOQUE PHOQUE COMMUN,NA,811,NA
SEAL SKINS/GREY (NO.),PEAUX DE PHOQUE PHOQUE GRIS,NA,812,NA
SEAL SKINS/RINGED/JAR (NO.),<SEAL SKINS/RINGED/JAR (NO.)>,NA,813,NA
SEAL SKINS/BEARDED (NO.),<SEAL SKINS/BEARDED (NO.)>,NA,814,NA
SEAL SKINS/GREENLAND (NO.),<SEAL SKINS/GREENLAND (NO.)>,NA,815,NA
SEAL SKINS/UNSPECIFIED (NO.),PEAUX DE PHOQUE (NO.) NON-SP?CIFI?,NA,825,NA
SEAL WHOLE (NO.),PEAUX DE PHOQUE (NO.) ENTIER,NA,845,NA
SEAL PENIS (NO.),PHOQUE (NO.) PORNIS,NA,846,NA
SEAL FLIPPERS (NO.),<SEAL FLIPPERS (NO.)>,NA,847,NA
SEAL DADDLES,NAGEOIRES  POSTERIEURES DE PHOQUE,NA,848,NA
SEAL HEARTS,COEURS DE PHOQUE,NA,860,NA
SEAL LIVERS,FOIES DE PHOQUE,NA,861,NA
SEAL SHOULDERS,?PAULES DE PHOQUE,NA,862,NA
SEAL OIL,HUILE DE PHOQUE,NA,866,NA
SEAL PRODUCTS UNSPECIFIED,PRODUITS DE PHOQUE NON-SP?CIFI?,NA,870,NA
PORPOISE HARBOUR,MARSOUIN COMMUN,NA,875,NA
DOLPHINWHITE-BEAKED,DAUPHIN A NEZ BLANC,NA,876,NA
Fin whale,RORQUAL COMMUN,NA,885,NA
Sei whale,RORQUAL BOREAL,NA,886,NA
Sperm whale,Cachalot,NA,887,NA
WHALES OTHER BALEEN,BALEINES AUTRES ESPECES,NA,888,NA
Minke whale,Petit rorqual,NA,889,NA
Pothead whale,CETACES GLOBICEPHALE NOIR,NA,890,NA
Dulse,Algue rouge,NA,900,NA
Irish moss,Mousse d'Irlande,9332,901,NA
Kelp,Laminaire,9300,902,NA
Fundy moss,Gigartina,NA,903,NA
WIREWEED/HORSETAIL,,NA,904,NA
Moss unspecified,Mousse non-spücifiüe,NA,905,NA
Rockweed,Ascophylle,NA,906,NA
Marine plant,Plante marine,NA,907,NA
Nori moss,Porphyre,NA,908,NA
Herring scales,êcailles de hareng,NA,921,NA
Roe,_ufs,NA,922,NA
Caviar,Caviar,NA,927,NA
Lumpfish roe,_ufs de lompe,NA,928,NA
Sea urchin roe,_ufs d'oursin commun,NA,930,NA
Herring roe,_ufs de hareng,NA,931,NA
Cod roe,ROGUES DE MORUE,NA,933,NA
SEALS/HOOD/JAR,PHOQUE A CAPUCHON BARBU,NA,937,NA
Bait worms,Vers d'app_t,NA,940,NA
Cod livers,Foies de morue,NA,941,NA
Cod livers preserved,FOIES DE MORUE EN CONSERVE,NA,942,NA
Shark livers,FOIES DE REQUIN,NA,943,NA
Livers unspecified,FOIES NON SPECIFIES,NA,944,NA
Shark tail,Queue de requin,NA,950,NA
CLAMS STIMPSON SURF MANTLE,<CLAMS STIMPSON SURF MANTLE>,NA,951,NA
TONGUE SOUNDS AND CHEEKS,LANGUES NOUES JOUES,NA,952,NA
Squid tentacles,TENTACULES D?ENCORNET,NA,954,NA
Fish fins unspecified,NAGEOIRES DE POISSON NON SP?CIFI?S,NA,956,NA
Shark fins,Ailerons de requin,NA,957,NA
Mackerel head,T_te de maquereau,NA,960,NA
Cod liver oil,Huile de foie de morue,NA,961,NA
Liver oil unspecified,Huile de foie non-spücifiües,NA,962,NA
Items unspecified,Produits non-spücifiües,NA,999,NA
