 06092006 12    3 0010043 1 36.37*****  5.25* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010044 1 50.72*****  7.84* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010045 1 46.63*****  6.79* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010046 1 44.15*****  6.41* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010047 1 38.25*****  5.85* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010048 1 37.97*****  5.41* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010049 1 37.18*****  5.33* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010050 1 37.90*****  5.27* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010051 1 46.98*****  6.82* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010052 1 49.57*****  8.30* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010053 1 44.08*****  6.47* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010054 1 36.25*****  5.31* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010055 1 43.46*****  5.81* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010056 1 36.92*****  5.37* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010057 1 33.74*****  4.75* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010058 1 32.85*****  4.78* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010059 1 34.89*****  4.63* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010060 1 31.71*****  4.73* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010061 1 32.23*****  4.59* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010062 1 34.71*****  4.68* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010063 1 41.03*****  6.13* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010064 1 33.05*****  4.74* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010065 1 23.71*****  3.12* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010066 1 25.63*****  3.54* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010067 1 20.29*****  2.81* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010068 1 27.90*****  3.92* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010069 1 23.90*****  3.18* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010070 1 22.80*****  2.96* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010071 1 25.57*****  3.57* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010072 1 22.89*****  3.09* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010073 1 20.48*****  2.91* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
