 09082010 12    3 0070024 1 52.87*****  8.47* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070025 1 47.10*****  7.52* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070026 1 45.72*****  6.93* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070027 1 53.42*****  9.98* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070028 1 42.43*****  6.39* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070029 1 46.40*****  7.36* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070030 1 46.28*****  7.32* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070031 1 43.24*****  7.02* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070032 1 42.93*****  6.86* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070033 1 44.25*****  7.45* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070034 1 42.65*****  6.93* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070035 1 43.58*****  6.77* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070036 1 42.85*****  6.99* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070037 1 46.52*****  7.50* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070038 1 40.98*****  6.57* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070039 1 43.77*****  7.18* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070040 1 46.52*****  7.53* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070041 1 52.39*****  8.45* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070042 1 52.52*****  8.86* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070043 1 47.48*****  7.47* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070044 1 46.36*****  7.22* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070045 1 38.12*****  5.89* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070046 1 39.56*****  5.99* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070047 1 36.47*****  5.50* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070048 1 38.54*****  5.96* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070049 1 35.00*****  4.76* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070050 1 34.34*****  5.34* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070051 1 37.05*****  5.89* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070052 1 36.01*****  5.39* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070053 1 34.37*****  5.21* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070054 1 33.41*****  5.33* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070055 1 45.83*****  7.65* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070056 1 43.51*****  7.10* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070057 1 45.08*****  7.08* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070058 1 44.92*****  7.03* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070059 1 43.27*****  6.75* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070060 1 42.12*****  6.86* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070061 1 34.25*****  5.26* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070062 1 37.40*****  4.98* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070063 1 30.70*****  4.60* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070064 1 27.86*****  3.81* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070065 1 30.04*****  4.25* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070066 1 26.94*****  4.11* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070067 1 32.39*****  4.87* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070068 1 33.04*****  5.04* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070069 1 47.35*****  3.15* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070070 1 48.52*****  7.89* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
