 06082010 E     3 0090001 1 72.89***** 15.27* 3 ** **00000000 *********1 LL 04831572 06307097 117 * 58 ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090002 1 58.89***** 11.77* 3 ** **00000000 *********1 LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090003 1 67.38*****  9.62* 1 ** **00000000 ********** LL 04831572 06307097 117 * 37 ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090004 1 54.29***** 10.77* 3 ** **00000000 ********** LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090005 1 53.42***** 10.35* 3M** **00000000 ********** LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090006 1 57.83*****  9.25* 1 ** **00000000 ********** LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090007 1 40.22*****  5.93* 1 ** **00000000 ********** LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090008 1 55.61*****  9.94* 3M** **00000000 ********** LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090009 1 44.32*****  6.65* 1 ** **00000000 ********** LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090010 1 39.36*****  5.96* 1 ** **00000000 ********** LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090011 1 38.88*****  5.86* 1 ** **00000000 ********** LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090012 1 39.15*****  6.02* 1 ** **00000000 ********** LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090013 1 32.22*****  4.94* 1 ** **00000000 ********** LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090014 1 34.99*****  5.30* 1 ** **00000000 ********** LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090015 1 33.69*****  5.09* 1 ** **00000000 ********** LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090016 1 34.07*****  4.70* 1 ** **00000000 ********** LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090017 1 30.21*****  4.34* 1 ** **00000000 ********** LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090018 1 45.35*****  7.04* 1 ** **00000000 ********** LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
 06082010 E     3 0090019 1 35.75*****  5.26* 1 ** **00000000 ********** LL 04831572 06307097 117 **** ****       M OUELLET & S ALBERT  ***** *                
