 24072010 12    3 0130001 1 86.95***** 15.09* 1 ** **00000000 ********** LL 04729210 06400877  23 * 58 ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0130002 1 69.07***** 11.04* 1 ** **00000000 ********** LL 04729210 06400877  23 * 58 ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0130003 1 57.18*****  8.62* 1 ** **00000000 ********** LL 04729210 06400877  23 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0130004 1 52.31*****  7.34* 1 ** **00000000 ********** LL 04729210 06400877  23 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0130005 1 56.69*****  8.39* 1 ** **00000000 ********** LL 04729210 06400877  23 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0130006 1 57.43*****  8.18* 1 ** **00000000 ********** LL 04729210 06400877  23 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0130007 1 37.54*****  5.61* 1 ** **00000000 ********** LL 04729210 06400877  23 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0130008 2 26.35 9.15 ****** 1  1 **00000000 ********** LL 04729210 06400877  23 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0130009 2 59.5229.08 ****** 1  3 **00000000 ********** LL 04729210 06400877  23 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0130010 2 63.6033.60 ****** 1  3 **00000000 ********** LL 04729210 06400877  23 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0130011 1 30.24*****  4.23* 1 ** **00000000 ********** LL 04729210 06400877  23 **** ****       S. ALBERT/M. OUELLET  ***** *               
