 24072010 12    3 0050024 1 50.30*****  8.47* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050025 1 38.54*****  5.87* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050026 1 61.58*****  9.38* 1 ** **00000000 ********** LL 04717337 06413907  26 * 56 ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050027 1 47.88*****  6.88* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050028 1 55.53*****  8.72* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050029 1 50.28*****  7.34* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050030 1 54.68*****  8.30* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050031 1 52.51*****  7.69* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050032 1 40.35*****  5.86* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050033 1 55.25*****  9.38* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050034 1 60.54*****  9.68* 1 ** **00000000 ********** LL 04717337 06413907  26 * 45 ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050035 1 49.18*****  7.70* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050036 1 55.86*****  8.43* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050037 1 44.54*****  6.60* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050038 1 47.58*****  7.17* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050039 1 46.33*****  7.35* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050040 1 44.54*****  6.96* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050041 1 56.40*****  9.39* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050042 1 40.61*****  5.94* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050043 1136.79***** 35.60* 1 ** **00000000 ********** LL 04717337 06413907  26 * 38 ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050044 1 83.67***** 15.67* 1 ** **00000000 ********** LL 04717337 06413907  26 * 51 ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050045 1 57.40*****  9.35* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050046 1 52.41*****  8.45* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050047 1 55.25*****  8.33* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050048 1 57.25*****  8.87* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050049 1 49.30*****  7.80* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050050 1 50.52*****  8.28* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050051 1 57.70*****  8.70* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050052 1 54.53*****  8.37* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050053 1 56.62*****  8.87* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050054 1 53.70*****  8.20* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050055 1 52.27*****  7.32* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050056 1 50.30*****  7.39* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
