"depth.m.","date","temperature"
3,2023-05-19,5.12
4,2023-05-19,5.09
5,2023-05-19,5.05
6,2023-05-19,5.03
7,2023-05-19,4.98
8,2023-05-19,4.86
9,2023-05-19,4.66
10,2023-05-19,4.59
11,2023-05-19,4.24
12,2023-05-19,3.82
13,2023-05-19,3.71
14,2023-05-19,3.7
15,2023-05-19,3.69
16,2023-05-19,3.69
17,2023-05-19,3.69
18,2023-05-19,3.69
19,2023-05-19,3.69
20,2023-05-19,3.68
21,2023-05-19,3.66
22,2023-05-19,3.65
23,2023-05-19,3.77
24,2023-05-19,3.9
25,2023-05-19,3.81
26,2023-05-19,3.71
27,2023-05-19,3.65
28,2023-05-19,3.59
29,2023-05-19,3.56
30,2023-05-19,3.07
31,2023-05-19,2.74
32,2023-05-19,2.41
33,2023-05-19,2.2
34,2023-05-19,1.99
35,2023-05-19,2.06
36,2023-05-19,1.89
37,2023-05-19,1.71
38,2023-05-19,1.54
39,2023-05-19,1.33
40,2023-05-19,1.15
41,2023-05-19,1.21
42,2023-05-19,1.44
43,2023-05-19,1.46
44,2023-05-19,1.34
45,2023-05-19,1.03
46,2023-05-19,0.56
47,2023-05-19,0.37
48,2023-05-19,0.27
49,2023-05-19,0.21
50,2023-05-19,0.12
51,2023-05-19,0
52,2023-05-19,-0.07
53,2023-05-19,-0.14
54,2023-05-19,-0.07
55,2023-05-19,0.01
56,2023-05-19,0.14
57,2023-05-19,0.12
58,2023-05-19,0.16
59,2023-05-19,0.25
60,2023-05-19,0.23
61,2023-05-19,0.19
62,2023-05-19,0.16
63,2023-05-19,0.15
64,2023-05-19,0.13
65,2023-05-19,0.11
66,2023-05-19,0.15
67,2023-05-19,-0.03
68,2023-05-19,0
69,2023-05-19,-0.04
70,2023-05-19,-0.04
71,2023-05-19,-0.04
72,2023-05-19,-0.04
73,2023-05-19,-0.04
74,2023-05-19,-0.03
75,2023-05-19,-0.03
76,2023-05-19,-0.03
77,2023-05-19,-0.03
78,2023-05-19,-0.02
79,2023-05-19,-0.02
80,2023-05-19,-0.02
81,2023-05-19,-0.02
82,2023-05-19,-0.02
1,2023-07-06,17.14
2,2023-07-06,17.16
3,2023-07-06,17.14
4,2023-07-06,16.64
5,2023-07-06,15.26
6,2023-07-06,13.78
7,2023-07-06,13.2
8,2023-07-06,12.52
9,2023-07-06,11.48
10,2023-07-06,11.14
11,2023-07-06,10.01
12,2023-07-06,9.68
13,2023-07-06,9.38
14,2023-07-06,9.2
15,2023-07-06,8.98
16,2023-07-06,8.87
17,2023-07-06,8.78
18,2023-07-06,8.65
19,2023-07-06,8.59
20,2023-07-06,8.5
21,2023-07-06,8.43
22,2023-07-06,8.29
23,2023-07-06,8.13
24,2023-07-06,7.99
25,2023-07-06,7.84
26,2023-07-06,7.58
27,2023-07-06,6.79
28,2023-07-06,6.67
29,2023-07-06,6.75
30,2023-07-06,6.41
31,2023-07-06,5.93
32,2023-07-06,5.69
33,2023-07-06,5.47
34,2023-07-06,5.4
35,2023-07-06,5.34
36,2023-07-06,5.26
37,2023-07-06,5.5
38,2023-07-06,5.63
39,2023-07-06,5.26
40,2023-07-06,4.82
41,2023-07-06,4.66
42,2023-07-06,4.52
43,2023-07-06,4.43
44,2023-07-06,4.52
45,2023-07-06,4.73
46,2023-07-06,4.53
47,2023-07-06,3.97
48,2023-07-06,2.88
49,2023-07-06,2.5
50,2023-07-06,2.35
51,2023-07-06,2.16
52,2023-07-06,2
53,2023-07-06,2.39
54,2023-07-06,2.47
55,2023-07-06,2.11
56,2023-07-06,1.5
57,2023-07-06,1.26
58,2023-07-06,1.1
59,2023-07-06,0.98
60,2023-07-06,0.89
61,2023-07-06,0.9
62,2023-07-06,0.96
63,2023-07-06,0.96
64,2023-07-06,0.95
65,2023-07-06,0.98
66,2023-07-06,0.94
67,2023-07-06,0.93
68,2023-07-06,0.94
69,2023-07-06,0.95
70,2023-07-06,0.95
71,2023-07-06,0.95
72,2023-07-06,0.96
73,2023-07-06,0.96
74,2023-07-06,0.96
75,2023-07-06,0.96
76,2023-07-06,0.96
77,2023-07-06,0.96
78,2023-07-06,0.96
79,2023-07-06,0.96
80,2023-07-06,0.96
81,2023-07-06,0.96
82,2023-07-06,0.96
2,2023-07-10,19.49
3,2023-07-10,19.47
4,2023-07-10,19.2
5,2023-07-10,17.71
6,2023-07-10,15.74
7,2023-07-10,13.62
8,2023-07-10,11.75
9,2023-07-10,10.86
10,2023-07-10,10.26
11,2023-07-10,9.56
12,2023-07-10,8.84
13,2023-07-10,8.49
14,2023-07-10,8.27
15,2023-07-10,8.01
16,2023-07-10,7.77
17,2023-07-10,7.52
18,2023-07-10,7.52
19,2023-07-10,7.66
20,2023-07-10,7.59
21,2023-07-10,7.46
22,2023-07-10,7.44
23,2023-07-10,7.38
24,2023-07-10,7.55
25,2023-07-10,7.44
26,2023-07-10,7.15
27,2023-07-10,6.66
28,2023-07-10,6.27
29,2023-07-10,5.89
30,2023-07-10,5.66
31,2023-07-10,5.16
32,2023-07-10,4.75
33,2023-07-10,4.71
34,2023-07-10,4.45
35,2023-07-10,4.06
36,2023-07-10,3.72
37,2023-07-10,3.4
38,2023-07-10,3.26
39,2023-07-10,3.15
40,2023-07-10,2.73
41,2023-07-10,2.18
42,2023-07-10,2.32
43,2023-07-10,2.29
44,2023-07-10,1.77
45,2023-07-10,1.59
46,2023-07-10,1.55
47,2023-07-10,1.48
48,2023-07-10,1.53
49,2023-07-10,1.34
50,2023-07-10,1.3
51,2023-07-10,1.16
52,2023-07-10,0.82
53,2023-07-10,0.72
54,2023-07-10,0.8
55,2023-07-10,0.97
56,2023-07-10,1.01
57,2023-07-10,0.99
58,2023-07-10,1.03
59,2023-07-10,1.07
60,2023-07-10,1.11
61,2023-07-10,1.09
62,2023-07-10,1.01
63,2023-07-10,0.95
64,2023-07-10,0.93
65,2023-07-10,0.91
66,2023-07-10,0.93
67,2023-07-10,0.95
68,2023-07-10,0.96
69,2023-07-10,0.97
70,2023-07-10,1.02
71,2023-07-10,1.03
72,2023-07-10,1.03
73,2023-07-10,1.05
74,2023-07-10,1.06
75,2023-07-10,1.07
76,2023-07-10,1.05
77,2023-07-10,1.05
78,2023-07-10,1.05
79,2023-07-10,1.05
80,2023-07-10,1.07
81,2023-07-10,1.09
82,2023-07-10,1.07
83,2023-07-10,1.07
2,2023-07-13,18.24
3,2023-07-13,18.23
4,2023-07-13,18.19
5,2023-07-13,18.05
6,2023-07-13,17.73
7,2023-07-13,17.41
8,2023-07-13,16.96
9,2023-07-13,16.41
10,2023-07-13,15.99
11,2023-07-13,15.31
12,2023-07-13,13.98
13,2023-07-13,11.79
14,2023-07-13,10.22
15,2023-07-13,9.41
16,2023-07-13,9.2
17,2023-07-13,8.9
18,2023-07-13,8.66
19,2023-07-13,8.3
20,2023-07-13,7.84
21,2023-07-13,7.29
22,2023-07-13,6.82
23,2023-07-13,6.65
24,2023-07-13,6.55
25,2023-07-13,6.77
26,2023-07-13,6.95
27,2023-07-13,7.03
28,2023-07-13,6.97
29,2023-07-13,7.05
30,2023-07-13,6.99
31,2023-07-13,6.8
32,2023-07-13,6.67
33,2023-07-13,6.56
34,2023-07-13,6.42
35,2023-07-13,6.32
36,2023-07-13,6.1
37,2023-07-13,5.98
38,2023-07-13,5.87
39,2023-07-13,5.84
40,2023-07-13,5.76
41,2023-07-13,5.64
42,2023-07-13,5.5
43,2023-07-13,5.24
44,2023-07-13,4.88
45,2023-07-13,4.32
46,2023-07-13,3.96
47,2023-07-13,3.52
48,2023-07-13,2.89
49,2023-07-13,2.33
50,2023-07-13,2.07
51,2023-07-13,1.74
52,2023-07-13,1.56
53,2023-07-13,1.51
54,2023-07-13,1.44
55,2023-07-13,1.31
56,2023-07-13,1.3
57,2023-07-13,1.3
58,2023-07-13,1.27
59,2023-07-13,1.21
60,2023-07-13,1.16
61,2023-07-13,1.11
62,2023-07-13,1.07
63,2023-07-13,1.03
64,2023-07-13,0.98
65,2023-07-13,0.96
66,2023-07-13,1
67,2023-07-13,1.04
68,2023-07-13,0.99
69,2023-07-13,1.01
70,2023-07-13,1.01
71,2023-07-13,1.01
72,2023-07-13,0.98
73,2023-07-13,0.99
74,2023-07-13,0.98
75,2023-07-13,1
76,2023-07-13,1.01
77,2023-07-13,1.03
78,2023-07-13,1.04
79,2023-07-13,1.03
80,2023-07-13,1.05
81,2023-07-13,1.05
82,2023-07-13,1.02
2,2023-07-14,18.18
3,2023-07-14,18.18
4,2023-07-14,18.14
5,2023-07-14,16.91
6,2023-07-14,15.83
7,2023-07-14,15.6
8,2023-07-14,15.1
9,2023-07-14,15.05
10,2023-07-14,14.48
11,2023-07-14,13.38
12,2023-07-14,12.57
13,2023-07-14,11.47
14,2023-07-14,10.88
15,2023-07-14,10.08
16,2023-07-14,8.8
17,2023-07-14,8.24
18,2023-07-14,7.9
19,2023-07-14,7.57
20,2023-07-14,7.46
21,2023-07-14,7.48
22,2023-07-14,7.52
23,2023-07-14,7.65
24,2023-07-14,7.72
25,2023-07-14,7.83
26,2023-07-14,7.63
