"depth.m.","date","temperature"
2,2022-05-20,6.23
3,2022-05-20,6.16
4,2022-05-20,6.1
5,2022-05-20,6.03
6,2022-05-20,5.86
7,2022-05-20,5.4
8,2022-05-20,4.8
9,2022-05-20,4.1
10,2022-05-20,3.28
11,2022-05-20,2.96
12,2022-05-20,2.82
13,2022-05-20,2.71
14,2022-05-20,2.49
15,2022-05-20,2.23
16,2022-05-20,1.76
17,2022-05-20,1.54
18,2022-05-20,1.41
19,2022-05-20,1.31
20,2022-05-20,1.24
21,2022-05-20,1.16
22,2022-05-20,1.1
23,2022-05-20,1.01
24,2022-05-20,0.97
25,2022-05-20,0.94
26,2022-05-20,0.9
27,2022-05-20,0.88
28,2022-05-20,0.84
29,2022-05-20,0.81
30,2022-05-20,0.77
31,2022-05-20,0.68
32,2022-05-20,0.61
33,2022-05-20,0.57
34,2022-05-20,0.56
35,2022-05-20,0.48
36,2022-05-20,0.43
37,2022-05-20,0.39
38,2022-05-20,0.3
39,2022-05-20,0.15
40,2022-05-20,0.07
41,2022-05-20,-0.03
42,2022-05-20,-0.12
43,2022-05-20,-0.24
44,2022-05-20,-0.35
45,2022-05-20,-0.44
46,2022-05-20,-0.48
47,2022-05-20,-0.55
48,2022-05-20,-0.63
49,2022-05-20,-0.68
50,2022-05-20,-0.75
51,2022-05-20,-0.82
52,2022-05-20,-0.9
53,2022-05-20,-0.97
54,2022-05-20,-1.04
55,2022-05-20,-1.07
56,2022-05-20,-1.09
57,2022-05-20,-1.1
58,2022-05-20,-1.09
59,2022-05-20,-1.08
60,2022-05-20,-1.08
61,2022-05-20,-1.06
62,2022-05-20,-1.03
63,2022-05-20,-1.02
64,2022-05-20,-0.98
65,2022-05-20,-0.93
66,2022-05-20,-0.89
67,2022-05-20,-0.78
68,2022-05-20,-0.68
69,2022-05-20,-0.55
70,2022-05-20,-0.39
71,2022-05-20,-0.24
72,2022-05-20,-0.17
73,2022-05-20,0.05
74,2022-05-20,0.32
75,2022-05-20,0.44
76,2022-05-20,0.51
2,2022-05-22,6.2
3,2022-05-22,6.18
4,2022-05-22,6.15
5,2022-05-22,6.11
6,2022-05-22,6.12
7,2022-05-22,6.14
8,2022-05-22,6.14
9,2022-05-22,6.07
10,2022-05-22,6.02
11,2022-05-22,5.99
12,2022-05-22,5.26
13,2022-05-22,4.34
14,2022-05-22,3.03
15,2022-05-22,1.85
16,2022-05-22,1.43
17,2022-05-22,1.36
18,2022-05-22,1.19
19,2022-05-22,1.14
20,2022-05-22,1.01
21,2022-05-22,0.93
22,2022-05-22,0.89
23,2022-05-22,0.88
24,2022-05-22,0.82
25,2022-05-22,0.77
26,2022-05-22,0.74
27,2022-05-22,0.74
28,2022-05-22,0.73
29,2022-05-22,0.89
30,2022-05-22,0.94
31,2022-05-22,0.83
32,2022-05-22,0.52
33,2022-05-22,0.46
34,2022-05-22,0.33
35,2022-05-22,0.19
36,2022-05-22,0.21
37,2022-05-22,0.27
38,2022-05-22,0.23
39,2022-05-22,0.27
40,2022-05-22,0.25
41,2022-05-22,0
42,2022-05-22,-0.05
43,2022-05-22,-0.06
44,2022-05-22,-0.14
45,2022-05-22,-0.14
46,2022-05-22,-0.15
47,2022-05-22,-0.2
48,2022-05-22,-0.39
49,2022-05-22,-0.57
50,2022-05-22,-0.6
51,2022-05-22,-0.72
52,2022-05-22,-0.89
53,2022-05-22,-0.99
54,2022-05-22,-1.01
55,2022-05-22,-0.97
56,2022-05-22,-0.94
57,2022-05-22,-0.92
58,2022-05-22,-0.93
59,2022-05-22,-0.91
60,2022-05-22,-0.87
61,2022-05-22,-0.74
62,2022-05-22,-0.58
63,2022-05-22,-0.41
64,2022-05-22,-0.31
65,2022-05-22,-0.09
66,2022-05-22,-0.05
67,2022-05-22,-0.02
68,2022-05-22,0.04
69,2022-05-22,0.16
70,2022-05-22,0.19
71,2022-05-22,0.22
72,2022-05-22,0.25
73,2022-05-22,0.31
74,2022-05-22,0.38
75,2022-05-22,0.49
76,2022-05-22,0.54
3,2022-05-23,6.64
4,2022-05-23,6.62
5,2022-05-23,6.6
6,2022-05-23,6.57
7,2022-05-23,6.51
8,2022-05-23,5.92
9,2022-05-23,4.37
10,2022-05-23,3.4
11,2022-05-23,2.42
12,2022-05-23,1.84
13,2022-05-23,1.62
14,2022-05-23,1.64
15,2022-05-23,1.59
16,2022-05-23,1.34
17,2022-05-23,1.29
18,2022-05-23,1.22
19,2022-05-23,1.09
20,2022-05-23,1.04
21,2022-05-23,1.01
22,2022-05-23,1
23,2022-05-23,0.99
24,2022-05-23,0.94
25,2022-05-23,0.87
26,2022-05-23,0.8
27,2022-05-23,0.77
28,2022-05-23,0.7
29,2022-05-23,0.59
30,2022-05-23,0.51
31,2022-05-23,0.51
32,2022-05-23,0.57
33,2022-05-23,0.63
34,2022-05-23,0.53
35,2022-05-23,0.43
36,2022-05-23,0.34
37,2022-05-23,0.06
38,2022-05-23,0.01
39,2022-05-23,0.14
40,2022-05-23,0.15
41,2022-05-23,0.01
42,2022-05-23,0.01
43,2022-05-23,-0.03
44,2022-05-23,-0.09
45,2022-05-23,-0.28
46,2022-05-23,-0.42
47,2022-05-23,-0.51
48,2022-05-23,-0.54
49,2022-05-23,-0.65
