"depth.m.","date","temperature"
3,2019-06-14,10.96
4,2019-06-14,10.3
5,2019-06-14,9.07
6,2019-06-14,8.03
7,2019-06-14,7.72
8,2019-06-14,7.85
9,2019-06-14,7.62
10,2019-06-14,7.48
11,2019-06-14,5.63
12,2019-06-14,3.99
13,2019-06-14,2.69
14,2019-06-14,2.39
15,2019-06-14,2.27
16,2019-06-14,2.21
17,2019-06-14,2.01
18,2019-06-14,1.87
19,2019-06-14,1.79
20,2019-06-14,1.54
21,2019-06-14,1.49
22,2019-06-14,1.46
23,2019-06-14,1.42
24,2019-06-14,1.37
25,2019-06-14,1.31
26,2019-06-14,1.25
27,2019-06-14,1.22
28,2019-06-14,1.18
29,2019-06-14,1.07
30,2019-06-14,1.03
31,2019-06-14,1.04
32,2019-06-14,1.12
33,2019-06-14,1.18
34,2019-06-14,1.22
35,2019-06-14,1.4
36,2019-06-14,1.17
37,2019-06-14,0.62
38,2019-06-14,0.38
39,2019-06-14,0.27
40,2019-06-14,0.24
41,2019-06-14,0.58
42,2019-06-14,0.99
43,2019-06-14,0.78
44,2019-06-14,0.51
45,2019-06-14,0.49
46,2019-06-14,0.61
47,2019-06-14,0.65
48,2019-06-14,0.49
49,2019-06-14,0.29
50,2019-06-14,0.17
51,2019-06-14,0.18
52,2019-06-14,0.34
53,2019-06-14,0.48
54,2019-06-14,0.43
55,2019-06-14,0.38
56,2019-06-14,0.2
57,2019-06-14,0.14
58,2019-06-14,-0.01
59,2019-06-14,-0.1
60,2019-06-14,-0.15
61,2019-06-14,-0.17
62,2019-06-14,-0.19
63,2019-06-14,-0.2
64,2019-06-14,-0.2
65,2019-06-14,-0.2
66,2019-06-14,-0.2
67,2019-06-14,-0.18
68,2019-06-14,-0.14
69,2019-06-14,-0.11
70,2019-06-14,-0.01
71,2019-06-14,0.07
72,2019-06-14,0.11
73,2019-06-14,0.12
74,2019-06-14,0.13
75,2019-06-14,0.13
76,2019-06-14,0.13
77,2019-06-14,0.14
78,2019-06-14,0.14
79,2019-06-14,0.14
2,2019-06-15,9.36
3,2019-06-15,9.19
4,2019-06-15,8.9
5,2019-06-15,8.7
6,2019-06-15,8.74
7,2019-06-15,8.82
8,2019-06-15,9.04
9,2019-06-15,9.29
10,2019-06-15,9.81
11,2019-06-15,9.88
12,2019-06-15,8.89
13,2019-06-15,7.16
14,2019-06-15,5.95
15,2019-06-15,5.14
16,2019-06-15,4.49
17,2019-06-15,4.01
18,2019-06-15,3.51
19,2019-06-15,2.85
20,2019-06-15,2.35
21,2019-06-15,1.41
22,2019-06-15,1.1
23,2019-06-15,0.95
24,2019-06-15,0.84
25,2019-06-15,0.68
26,2019-06-15,0.61
27,2019-06-15,0.56
28,2019-06-15,0.48
29,2019-06-15,0.41
30,2019-06-15,0.41
31,2019-06-15,0.43
32,2019-06-15,0.42
33,2019-06-15,0.36
34,2019-06-15,0.39
35,2019-06-15,0.36
36,2019-06-15,0.41
37,2019-06-15,0.49
38,2019-06-15,0.5
39,2019-06-15,0.54
40,2019-06-15,0.53
41,2019-06-15,0.47
42,2019-06-15,0.4
43,2019-06-15,0.45
44,2019-06-15,0.53
45,2019-06-15,0.58
46,2019-06-15,0.6
47,2019-06-15,0.56
48,2019-06-15,0.5
49,2019-06-15,0.39
50,2019-06-15,0.37
51,2019-06-15,0.32
52,2019-06-15,0.32
53,2019-06-15,0.31
54,2019-06-15,0.26
55,2019-06-15,0.27
56,2019-06-15,0.29
57,2019-06-15,0.29
58,2019-06-15,0.24
59,2019-06-15,0.21
60,2019-06-15,0.2
61,2019-06-15,0.17
62,2019-06-15,0.16
63,2019-06-15,0.16
64,2019-06-15,0.17
65,2019-06-15,0.19
66,2019-06-15,0.2
67,2019-06-15,0.21
68,2019-06-15,0.19
69,2019-06-15,0.11
70,2019-06-15,0.08
71,2019-06-15,0.04
72,2019-06-15,0.02
73,2019-06-15,-0.01
74,2019-06-15,-0.02
75,2019-06-15,-0.02
76,2019-06-15,-0.02
77,2019-06-15,-0.02
78,2019-06-15,-0.01
79,2019-06-15,0.01
2,2019-06-16,9.84
3,2019-06-16,9.89
4,2019-06-16,9.86
5,2019-06-16,9.83
6,2019-06-16,9.8
7,2019-06-16,9.75
8,2019-06-16,9.61
9,2019-06-16,9.3
10,2019-06-16,8.86
11,2019-06-16,8.92
12,2019-06-16,9.01
13,2019-06-16,8.48
14,2019-06-16,6.85
15,2019-06-16,5.78
16,2019-06-16,5.12
17,2019-06-16,4.7
18,2019-06-16,4.04
19,2019-06-16,3.62
20,2019-06-16,3.32
21,2019-06-16,2.48
22,2019-06-16,2.03
23,2019-06-16,1.74
