"depth.m.","date","temperature"
1,2016-05-25,10.02
2,2016-05-25,9.92
3,2016-05-25,9.83
4,2016-05-25,9.5
5,2016-05-25,8.12
6,2016-05-25,7.01
7,2016-05-25,5.83
8,2016-05-25,5
9,2016-05-25,4.76
10,2016-05-25,4.35
11,2016-05-25,3.91
12,2016-05-25,3.87
13,2016-05-25,3.34
14,2016-05-25,2.65
15,2016-05-25,2.55
16,2016-05-25,2.45
17,2016-05-25,2.45
18,2016-05-25,2.26
19,2016-05-25,1.92
20,2016-05-25,1.75
21,2016-05-25,1.56
22,2016-05-25,1.12
23,2016-05-25,0.81
24,2016-05-25,0.58
25,2016-05-25,0.46
26,2016-05-25,0.52
27,2016-05-25,0.5
28,2016-05-25,0.27
29,2016-05-25,0.08
30,2016-05-25,-0.06
31,2016-05-25,-0.35
32,2016-05-25,-0.52
33,2016-05-25,-0.59
34,2016-05-25,-0.65
35,2016-05-25,-0.71
36,2016-05-25,-0.76
37,2016-05-25,-0.71
38,2016-05-25,-0.48
39,2016-05-25,-0.41
40,2016-05-25,-0.43
41,2016-05-25,-0.43
42,2016-05-25,-0.41
43,2016-05-25,-0.42
44,2016-05-25,-0.55
45,2016-05-25,-0.6
46,2016-05-25,-0.64
47,2016-05-25,-0.6
48,2016-05-25,-0.51
49,2016-05-25,-0.28
50,2016-05-25,-0.35
51,2016-05-25,-0.31
52,2016-05-25,-0.28
53,2016-05-25,-0.33
54,2016-05-25,-0.36
55,2016-05-25,-0.39
56,2016-05-25,-0.36
57,2016-05-25,-0.33
58,2016-05-25,-0.33
59,2016-05-25,-0.32
60,2016-05-25,-0.31
61,2016-05-25,-0.3
62,2016-05-25,-0.33
63,2016-05-25,-0.33
64,2016-05-25,-0.35
65,2016-05-25,-0.35
66,2016-05-25,-0.31
67,2016-05-25,-0.11
68,2016-05-25,-0.06
69,2016-05-25,0.01
70,2016-05-25,0.13
71,2016-05-25,0.24
72,2016-05-25,0.28
2,2016-05-27,7.3
3,2016-05-27,7.3
4,2016-05-27,7.31
5,2016-05-27,7.32
6,2016-05-27,7.32
7,2016-05-27,7.32
8,2016-05-27,7.31
9,2016-05-27,7.29
10,2016-05-27,7.28
