"depth.m.","date","temperature"
2,2017-06-16,11.29
3,2017-06-16,11
4,2017-06-16,10.52
5,2017-06-16,10.33
6,2017-06-16,10.04
7,2017-06-16,9.82
8,2017-06-16,9.48
9,2017-06-16,9.21
10,2017-06-16,8.52
11,2017-06-16,7.83
12,2017-06-16,7.16
13,2017-06-16,6.86
14,2017-06-16,6.63
15,2017-06-16,6.11
16,2017-06-16,5.27
17,2017-06-16,4.81
18,2017-06-16,4.42
19,2017-06-16,4.06
20,2017-06-16,3.79
21,2017-06-16,3.48
22,2017-06-16,3.25
23,2017-06-16,3.05
24,2017-06-16,2.84
25,2017-06-16,2.72
26,2017-06-16,2.61
27,2017-06-16,2.48
28,2017-06-16,2.15
29,2017-06-16,2.04
30,2017-06-16,1.97
31,2017-06-16,1.96
32,2017-06-16,1.9
33,2017-06-16,1.82
34,2017-06-16,1.72
35,2017-06-16,1.62
36,2017-06-16,1.52
37,2017-06-16,1.26
38,2017-06-16,0.76
39,2017-06-16,0.56
40,2017-06-16,0.15
41,2017-06-16,0.04
42,2017-06-16,-0.15
43,2017-06-16,-0.14
44,2017-06-16,-0.26
45,2017-06-16,-0.54
46,2017-06-16,-0.63
47,2017-06-16,-0.5
48,2017-06-16,-0.4
49,2017-06-16,-0.34
50,2017-06-16,-0.4
51,2017-06-16,-0.57
52,2017-06-16,-0.56
53,2017-06-16,-0.48
54,2017-06-16,-0.57
55,2017-06-16,-0.57
56,2017-06-16,-0.6
57,2017-06-16,-0.59
2,2017-06-17,11.14
3,2017-06-17,10.89
4,2017-06-17,10.7
5,2017-06-17,10.47
6,2017-06-17,10.26
7,2017-06-17,9.98
8,2017-06-17,9.41
9,2017-06-17,9.09
10,2017-06-17,8.55
11,2017-06-17,8.04
12,2017-06-17,7.65
13,2017-06-17,7.51
14,2017-06-17,7.1
15,2017-06-17,6.67
16,2017-06-17,6.26
17,2017-06-17,5.65
18,2017-06-17,4.66
19,2017-06-17,4.1
20,2017-06-17,3.79
21,2017-06-17,3.58
22,2017-06-17,3.21
23,2017-06-17,3.04
24,2017-06-17,2.94
25,2017-06-17,2.84
26,2017-06-17,2.68
27,2017-06-17,2.53
28,2017-06-17,2.45
29,2017-06-17,2.35
30,2017-06-17,2.28
31,2017-06-17,2.12
32,2017-06-17,2
33,2017-06-17,1.91
34,2017-06-17,1.86
35,2017-06-17,1.8
36,2017-06-17,1.72
37,2017-06-17,1.65
38,2017-06-17,1.55
39,2017-06-17,1.46
40,2017-06-17,1.37
41,2017-06-17,1.28
42,2017-06-17,1.08
43,2017-06-17,0.6
44,2017-06-17,0.27
45,2017-06-17,0.19
46,2017-06-17,0.17
47,2017-06-17,-0.12
48,2017-06-17,-0.12
49,2017-06-17,-0.19
50,2017-06-17,-0.26
51,2017-06-17,-0.39
52,2017-06-17,-0.44
53,2017-06-17,-0.53
54,2017-06-17,-0.52
55,2017-06-17,-0.56
56,2017-06-17,-0.59
57,2017-06-17,-0.57
1,2017-06-18,12.29
2,2017-06-18,11.95
3,2017-06-18,11.17
4,2017-06-18,10.67
5,2017-06-18,10.44
6,2017-06-18,10.27
7,2017-06-18,10.13
8,2017-06-18,9.92
9,2017-06-18,10.22
10,2017-06-18,10.1
11,2017-06-18,9.73
12,2017-06-18,9.45
13,2017-06-18,9.26
14,2017-06-18,9.09
15,2017-06-18,8.91
16,2017-06-18,8.68
17,2017-06-18,7.97
18,2017-06-18,7.37
19,2017-06-18,6.76
20,2017-06-18,5.64
21,2017-06-18,4.81
22,2017-06-18,4.2
23,2017-06-18,3.91
24,2017-06-18,3.65
25,2017-06-18,3.3
26,2017-06-18,2.88
27,2017-06-18,2.7
28,2017-06-18,2.52
29,2017-06-18,2.44
30,2017-06-18,2.3
31,2017-06-18,2.17
32,2017-06-18,2.01
33,2017-06-18,1.93
34,2017-06-18,1.68
35,2017-06-18,1.39
36,2017-06-18,1.21
37,2017-06-18,1.05
38,2017-06-18,0.87
39,2017-06-18,0.84
40,2017-06-18,0.69
41,2017-06-18,0.49
42,2017-06-18,0.32
43,2017-06-18,0.27
44,2017-06-18,0.21
45,2017-06-18,0.11
46,2017-06-18,0.07
47,2017-06-18,0.12
48,2017-06-18,0.2
49,2017-06-18,0.26
50,2017-06-18,0.22
51,2017-06-18,0.16
52,2017-06-18,-0.05
53,2017-06-18,-0.29
54,2017-06-18,-0.34
55,2017-06-18,-0.55
56,2017-06-18,-0.64
57,2017-06-18,-0.65
58,2017-06-18,-0.88
59,2017-06-18,-0.81
60,2017-06-18,-0.7
61,2017-06-18,-0.65
62,2017-06-18,-0.56
63,2017-06-18,-0.54
64,2017-06-18,-0.48
65,2017-06-18,-0.44
66,2017-06-18,-0.4
67,2017-06-18,-0.33
68,2017-06-18,-0.31
2,2017-06-19,12.53
3,2017-06-19,12.57
4,2017-06-19,12.48
5,2017-06-19,12.15
6,2017-06-19,11.28
7,2017-06-19,9.82
8,2017-06-19,8.96
9,2017-06-19,8.81
10,2017-06-19,8.63
11,2017-06-19,8.47
12,2017-06-19,8.2
13,2017-06-19,8.17
14,2017-06-19,7.94
15,2017-06-19,7.49
16,2017-06-19,7.25
17,2017-06-19,7.31
18,2017-06-19,7.24
19,2017-06-19,6.84
20,2017-06-19,6.17
21,2017-06-19,5.61
22,2017-06-19,4.87
23,2017-06-19,4.36
24,2017-06-19,3.89
25,2017-06-19,3.38
26,2017-06-19,3.19
27,2017-06-19,2.94
28,2017-06-19,2.85
29,2017-06-19,2.85
30,2017-06-19,2.77
31,2017-06-19,2.61
32,2017-06-19,2.35
33,2017-06-19,2.22
34,2017-06-19,2.15
35,2017-06-19,2.1
36,2017-06-19,1.97
37,2017-06-19,1.65
38,2017-06-19,1.38
39,2017-06-19,1.41
40,2017-06-19,1.33
41,2017-06-19,1.23
42,2017-06-19,1.1
43,2017-06-19,0.92
44,2017-06-19,0.82
45,2017-06-19,0.77
46,2017-06-19,0.73
47,2017-06-19,0.67
48,2017-06-19,0.64
49,2017-06-19,0.63
50,2017-06-19,0.59
51,2017-06-19,0.36
52,2017-06-19,0.2
53,2017-06-19,0.07
54,2017-06-19,-0.01
55,2017-06-19,-0.07
56,2017-06-19,-0.24
57,2017-06-19,-0.35
