"depth.m.","date","temperature"
2,2021-05-20,5.11
3,2021-05-20,5.43
4,2021-05-20,5.48
5,2021-05-20,5.53
6,2021-05-20,5.55
7,2021-05-20,5.54
8,2021-05-20,5.5
9,2021-05-20,5.47
10,2021-05-20,5.38
11,2021-05-20,5.34
12,2021-05-20,5.43
13,2021-05-20,5.43
14,2021-05-20,5.41
15,2021-05-20,5.4
16,2021-05-20,5.32
17,2021-05-20,5.14
18,2021-05-20,5.08
19,2021-05-20,5.09
20,2021-05-20,5.18
21,2021-05-20,5.19
22,2021-05-20,5.12
23,2021-05-20,4.98
24,2021-05-20,4.71
25,2021-05-20,4.69
26,2021-05-20,4.6
27,2021-05-20,4.6
28,2021-05-20,4.52
29,2021-05-20,4.39
30,2021-05-20,4.15
31,2021-05-20,3.87
32,2021-05-20,3.68
33,2021-05-20,3.45
34,2021-05-20,3.27
35,2021-05-20,3.07
36,2021-05-20,2.98
37,2021-05-20,2.92
38,2021-05-20,2.83
39,2021-05-20,2.77
40,2021-05-20,2.67
41,2021-05-20,2.54
42,2021-05-20,2.34
43,2021-05-20,2.11
44,2021-05-20,1.92
45,2021-05-20,1.73
46,2021-05-20,1.59
47,2021-05-20,1.47
48,2021-05-20,1.36
49,2021-05-20,1.27
50,2021-05-20,1.21
51,2021-05-20,1.15
52,2021-05-20,1.11
53,2021-05-20,1.1
54,2021-05-20,1.05
55,2021-05-20,1
56,2021-05-20,0.95
57,2021-05-20,0.93
58,2021-05-20,0.88
59,2021-05-20,0.81
60,2021-05-20,0.71
61,2021-05-20,0.7
62,2021-05-20,0.67
63,2021-05-20,0.61
64,2021-05-20,0.58
65,2021-05-20,0.56
66,2021-05-20,0.54
67,2021-05-20,0.51
68,2021-05-20,0.51
69,2021-05-20,0.54
70,2021-05-20,0.55
71,2021-05-20,0.58
72,2021-05-20,0.62
73,2021-05-20,0.7
74,2021-05-20,0.83
75,2021-05-20,0.91
76,2021-05-20,0.94
77,2021-05-20,0.97
78,2021-05-20,0.99
79,2021-05-20,1
80,2021-05-20,1
3,2021-05-21,6.46
4,2021-05-21,6.42
5,2021-05-21,6.31
6,2021-05-21,6.18
7,2021-05-21,6.01
8,2021-05-21,5.81
9,2021-05-21,5.52
10,2021-05-21,5.02
11,2021-05-21,4.7
12,2021-05-21,4.6
13,2021-05-21,4.74
14,2021-05-21,4.75
15,2021-05-21,4.89
16,2021-05-21,4.79
17,2021-05-21,4.56
18,2021-05-21,4.68
19,2021-05-21,4.92
20,2021-05-21,4.85
21,2021-05-21,4.9
22,2021-05-21,5
23,2021-05-21,5.02
24,2021-05-21,5.05
25,2021-05-21,5.26
26,2021-05-21,5.22
27,2021-05-21,5.02
28,2021-05-21,4.66
29,2021-05-21,4.5
30,2021-05-21,4.22
31,2021-05-21,3.87
32,2021-05-21,3.72
33,2021-05-21,3.66
34,2021-05-21,3.56
35,2021-05-21,3.48
36,2021-05-21,3.36
37,2021-05-21,3.2
38,2021-05-21,3.18
39,2021-05-21,3.01
40,2021-05-21,2.92
41,2021-05-21,2.83
42,2021-05-21,2.67
43,2021-05-21,2.44
44,2021-05-21,2.26
45,2021-05-21,2.04
46,2021-05-21,1.83
47,2021-05-21,1.68
48,2021-05-21,1.54
49,2021-05-21,1.48
50,2021-05-21,1.39
51,2021-05-21,1.34
52,2021-05-21,1.29
53,2021-05-21,1.21
54,2021-05-21,1.19
55,2021-05-21,1.11
56,2021-05-21,1.01
57,2021-05-21,0.89
58,2021-05-21,0.81
59,2021-05-21,0.76
60,2021-05-21,0.72
61,2021-05-21,0.67
62,2021-05-21,0.6
63,2021-05-21,0.53
64,2021-05-21,0.5
65,2021-05-21,0.51
66,2021-05-21,0.47
67,2021-05-21,0.49
68,2021-05-21,0.52
69,2021-05-21,0.58
70,2021-05-21,0.6
71,2021-05-21,0.61
72,2021-05-21,0.65
73,2021-05-21,0.69
74,2021-05-21,0.75
75,2021-05-21,0.85
76,2021-05-21,0.88
77,2021-05-21,0.92
78,2021-05-21,0.96
79,2021-05-21,0.98
80,2021-05-21,0.99
3,2021-05-23,6.73
4,2021-05-23,6.73
5,2021-05-23,6.72
6,2021-05-23,6.72
7,2021-05-23,6.71
8,2021-05-23,6.65
9,2021-05-23,6.4
10,2021-05-23,6.12
11,2021-05-23,6
12,2021-05-23,5.8
13,2021-05-23,5.6
14,2021-05-23,5.46
15,2021-05-23,5.26
16,2021-05-23,5.07
17,2021-05-23,4.92
18,2021-05-23,4.8
19,2021-05-23,4.53
20,2021-05-23,4.5
21,2021-05-23,4.46
22,2021-05-23,4.82
23,2021-05-23,5.31
24,2021-05-23,5.3
25,2021-05-23,5.23
26,2021-05-23,5.16
27,2021-05-23,5.03
28,2021-05-23,4.82
29,2021-05-23,4.79
30,2021-05-23,4.74
31,2021-05-23,4.48
32,2021-05-23,4.23
33,2021-05-23,3.92
34,2021-05-23,3.85
35,2021-05-23,3.78
36,2021-05-23,3.5
37,2021-05-23,3.34
38,2021-05-23,3.34
39,2021-05-23,3.23
40,2021-05-23,3.09
41,2021-05-23,2.9
42,2021-05-23,2.78
43,2021-05-23,2.47
44,2021-05-23,1.97
45,2021-05-23,1.62
46,2021-05-23,1.49
47,2021-05-23,1.46
48,2021-05-23,1.37
49,2021-05-23,1.47
50,2021-05-23,1.26
51,2021-05-23,1.15
52,2021-05-23,0.89
53,2021-05-23,0.85
54,2021-05-23,0.86
55,2021-05-23,0.84
56,2021-05-23,0.86
57,2021-05-23,0.9
58,2021-05-23,0.88
59,2021-05-23,0.88
60,2021-05-23,0.8
61,2021-05-23,0.84
62,2021-05-23,0.83
63,2021-05-23,0.84
64,2021-05-23,0.85
65,2021-05-23,0.81
66,2021-05-23,0.83
67,2021-05-23,0.85
68,2021-05-23,0.86
69,2021-05-23,0.88
70,2021-05-23,0.94
71,2021-05-23,0.98
72,2021-05-23,1.04
73,2021-05-23,1.1
74,2021-05-23,1.11
75,2021-05-23,1.11
76,2021-05-23,1.11
