"depth.m.","date","temperature"
3,2018-05-25,5.07
4,2018-05-25,5.09
5,2018-05-25,5.16
6,2018-05-25,5.17
7,2018-05-25,5.16
8,2018-05-25,5.11
9,2018-05-25,5.01
10,2018-05-25,4.97
11,2018-05-25,4.96
12,2018-05-25,4.96
13,2018-05-25,4.96
14,2018-05-25,4.96
15,2018-05-25,4.95
16,2018-05-25,4.95
17,2018-05-25,4.4
18,2018-05-25,4.02
19,2018-05-25,3.87
20,2018-05-25,3.72
21,2018-05-25,3.58
22,2018-05-25,3.42
23,2018-05-25,3.37
24,2018-05-25,3.32
25,2018-05-25,3.22
26,2018-05-25,3.14
27,2018-05-25,3
28,2018-05-25,2.64
29,2018-05-25,2.41
30,2018-05-25,2.25
31,2018-05-25,1.96
32,2018-05-25,1.47
33,2018-05-25,1.28
34,2018-05-25,1.1
35,2018-05-25,0.95
36,2018-05-25,0.77
37,2018-05-25,0.53
38,2018-05-25,0.48
39,2018-05-25,0.4
40,2018-05-25,0.15
41,2018-05-25,-0.22
42,2018-05-25,-0.32
43,2018-05-25,-0.43
44,2018-05-25,-0.51
45,2018-05-25,-0.59
46,2018-05-25,-0.61
47,2018-05-25,-0.62
48,2018-05-25,-0.68
49,2018-05-25,-0.67
50,2018-05-25,-0.69
51,2018-05-25,-0.72
52,2018-05-25,-0.76
53,2018-05-25,-0.79
2,2018-05-26,5.28
3,2018-05-26,5.24
4,2018-05-26,5.2
5,2018-05-26,5.13
6,2018-05-26,5.09
7,2018-05-26,5.07
8,2018-05-26,5.04
9,2018-05-26,5
10,2018-05-26,4.97
11,2018-05-26,4.9
12,2018-05-26,4.75
13,2018-05-26,4.57
14,2018-05-26,4.35
15,2018-05-26,4.21
16,2018-05-26,4.03
17,2018-05-26,3.94
18,2018-05-26,3.87
19,2018-05-26,3.79
20,2018-05-26,3.69
21,2018-05-26,3.58
22,2018-05-26,3.42
23,2018-05-26,3.35
24,2018-05-26,3.25
25,2018-05-26,3.08
26,2018-05-26,2.79
27,2018-05-26,2.71
28,2018-05-26,2.63
29,2018-05-26,2.38
30,2018-05-26,2.1
31,2018-05-26,1.84
32,2018-05-26,1.55
33,2018-05-26,1.37
34,2018-05-26,1.26
35,2018-05-26,1.09
36,2018-05-26,0.9
37,2018-05-26,0.79
38,2018-05-26,0.61
39,2018-05-26,0.41
40,2018-05-26,0.16
41,2018-05-26,0
42,2018-05-26,-0.14
43,2018-05-26,-0.23
44,2018-05-26,-0.33
45,2018-05-26,-0.46
46,2018-05-26,-0.5
47,2018-05-26,-0.57
48,2018-05-26,-0.6
49,2018-05-26,-0.63
50,2018-05-26,-0.66
51,2018-05-26,-0.69
52,2018-05-26,-0.73
53,2018-05-26,-0.76
