"depth.m.","date","temperature"
78,2020-06-10,0.41
2,2020-06-12,9.46
3,2020-06-12,9.32
4,2020-06-12,9.11
5,2020-06-12,8.94
6,2020-06-12,8.89
7,2020-06-12,8.88
8,2020-06-12,8.87
9,2020-06-12,8.85
10,2020-06-12,8.28
11,2020-06-12,6.64
12,2020-06-12,6.09
13,2020-06-12,5.61
14,2020-06-12,5.48
15,2020-06-12,5.37
16,2020-06-12,5.18
17,2020-06-12,5.2
18,2020-06-12,5.22
19,2020-06-12,5.19
20,2020-06-12,5.15
21,2020-06-12,5.1
22,2020-06-12,5.03
23,2020-06-12,4.98
24,2020-06-12,4.95
25,2020-06-12,4.91
26,2020-06-12,4.9
27,2020-06-12,4.71
28,2020-06-12,3.71
29,2020-06-12,3.22
30,2020-06-12,3.47
31,2020-06-12,3.4
32,2020-06-12,3.02
33,2020-06-12,2.98
34,2020-06-12,2.89
35,2020-06-12,2.72
36,2020-06-12,2.71
37,2020-06-12,2.64
38,2020-06-12,2.54
39,2020-06-12,2.47
40,2020-06-12,2.4
41,2020-06-12,2.32
42,2020-06-12,2.29
43,2020-06-12,2.05
44,2020-06-12,1.25
45,2020-06-12,0.76
46,2020-06-12,0.45
47,2020-06-12,0.36
48,2020-06-12,-0.02
49,2020-06-12,-0.4
50,2020-06-12,-0.41
51,2020-06-12,-0.18
52,2020-06-12,-0.17
53,2020-06-12,-0.18
54,2020-06-12,-0.13
55,2020-06-12,-0.03
56,2020-06-12,-0.02
57,2020-06-12,0
58,2020-06-12,0.02
59,2020-06-12,0.13
60,2020-06-12,0.28
61,2020-06-12,0.33
62,2020-06-12,0.34
63,2020-06-12,0.33
64,2020-06-12,0.32
65,2020-06-12,0.3
66,2020-06-12,0.34
67,2020-06-12,0.39
68,2020-06-12,0.43
69,2020-06-12,0.44
70,2020-06-12,0.44
71,2020-06-12,0.44
72,2020-06-12,0.44
73,2020-06-12,0.44
74,2020-06-12,0.44
75,2020-06-12,0.44
76,2020-06-12,0.44
77,2020-06-12,0.44
78,2020-06-12,0.44
3,2020-06-13,9.55
4,2020-06-13,9.48
5,2020-06-13,9.44
6,2020-06-13,9.36
7,2020-06-13,9.23
8,2020-06-13,9.21
9,2020-06-13,9.19
10,2020-06-13,9.17
11,2020-06-13,9.17
12,2020-06-13,9.06
13,2020-06-13,8.26
14,2020-06-13,7.41
15,2020-06-13,7
16,2020-06-13,6.26
