 10062005 19    3 0020001 1116.98***** 28.61* 2 ** **00000000 ********** LL 04712080 06042487  59 * 64 ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020002 1 58.70*****  9.55* 1 ** **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020003 1 54.55*****  9.35* 1 ** **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020004 1 53.49*****  8.75* 1 ** **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020005 1 47.45*****  6.93* 1 ** **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020006 1 46.15*****  7.18* 1 ** **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020007 1 45.15*****  6.77* 1 ** **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020008 1 37.73*****  5.88* 1 ** **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020009 1 36.84*****  6.04* 1 ** **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020010 1 40.47*****  6.45* 1 ** **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020011 1 39.88*****  5.88* 1 ** **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020012 1 40.58*****  5.98* 1 ** **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020013 1 44.55*****  7.16* 1 ** **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020014 1 46.88*****  6.97* 1 ** **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020015 2 51.3523.46 ****** 1  2 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020016 2 52.4225.73 ****** 1  2 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020017 2 50.4522.85 ****** 1  2 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020018 2 49.7422.80 ****** 1  2 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020019 2 50.5924.83 ****** 1  2 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020020 2 50.3723.79 ****** 1  3 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020021 2 51.4625.27 ****** 1  3 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020022 2 43.8219.51 ****** 1  2 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020023 2 45.4319.88 ****** 1  2 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020024 2 40.4517.87 ****** 1  1 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020025 2 40.5217.73 ****** 1  1 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020026 2 46.3522.18 ****** 1  1 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020027 2 42.6719.55 ****** 1  1 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020028 2 39.2518.30 ****** 1  1 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020029 2 39.8417.45 ****** 1  1 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020030 2 42.3219.16 ****** 1  1 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020031 2 40.9218.54 ****** 1  1 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020032 2 41.7318.85 ****** 1  1 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020033 2 38.1316.24 ****** 1  1 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020034 2 42.1018.45 ****** 1  1 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                
 10062005 19    3 0020035 2 43.6620.71 ****** 1  1 **00000000 ********** LL 04712080 06042487  59 **** ****       C. ALBERT / M. HEBERT ***** *                              
