 23062004 19    3 0060055 2 54.2328.62 ****** 1  3 **00000000 ********** LL 04654761 06048009  55 **** ****       C. ALBERT/S. ALBERT   ***** *                
 23062004 19    3 0060056 2 52.1526.02 ****** 1  3 **00000000 ********** LL 04654761 06048009  55 **** ****       C. ALBERT/S. ALBERT   ***** *                
 23062004 19    3 0060057 2 52.7026.27 ****** 1  3 **00000000 ********** LL 04654761 06048009  55 **** ****       C. ALBERT/S. ALBERT   ***** *                
 23062004 19    3 0060058 2 54.3428.43 ****** 1  3 **00000000 ********** LL 04654761 06048009  55 **** ****       C. ALBERT/S. ALBERT   ***** *                
 23062004 19    3 0060059 2 54.4927.46 ****** 1  3 **00000000 ********2* LL 04654761 06048009  55 **** ****       C. ALBERT/S. ALBERT   ***** *                
 23062004 19    3 0060060 2 43.6220.16 ****** 1  1 **00000000 ********** LL 04654761 06048009  55 **** ****       C. ALBERT/S. ALBERT   ***** *                
 23062004 19    3 0060061 2 54.8125.74 ****** 1  3 **00000000 ********** LL 04654761 06048009  55 **** ****       C. ALBERT/S. ALBERT   ***** *                
 23062004 19    3 0060062 2 50.0224.47 ****** 1  3 **00000000 ********** LL 04654761 06048009  55 **** ****       C. ALBERT/S. ALBERT   ***** *                
 23062004 19    3 0060063 2 51.2326.29 ****** 1  3 **00000000 ********** LL 04654761 06048009  55 **** ****       C. ALBERT/S. ALBERT   ***** *                
 23062004 19    3 0060064 2 48.7224.49 ****** 1  3 **00000000 ********** LL 04654761 06048009  55 **** ****       C. ALBERT/S. ALBERT   ***** *                
 23062004 19    3 0060065 2 50.5224.91 ****** 1  3 **00000000 ********** LL 04654761 06048009  55 **** ****       C. ALBERT/S. ALBERT   ***** *                
 23062004 19    3 0060066 2 46.3122.26 ****** 1  3 **00000000 ********** LL 04654761 06048009  55 **** ****       C. ALBERT/S. ALBERT   ***** *                
 23062004 19    3 0060067 2 42.6120.09 ****** 1  1 **00000000 ********** LL 04654761 06048009  55 **** ****       C. ALBERT/S. ALBERT   ***** *                
 23062004 19    3 0060068 2 37.0217.90 ****** 1  1 **00000000 ********** LL 04654761 06048009  55 **** ****       C. ALBERT/S. ALBERT   ***** *                
 23062004 19    3 0060069 2 32.7213.77 ****** 1  1 **00000000 ********** LL 04654761 06048009  55 **** ****       C. ALBERT/S. ALBERT   ***** *                
