C1200,C1224,C1510,C1600,C1810,C1823,C1827,C1930,C2893,C3100,C3200,C3700,C4200,C8113,C8200,C8300,C8324,C8500,C9200,C9300,C9302,C9303,C9304,C9400,C9630,class_data,DATE,GPnum,GPnum_wt_year,Location,P1200,P1224,P1510,P1600,P1810,P1823,P1827,P1930,P2893,P3100,P3200,P3700,P4200,P8113,P8200,P8300,P8324,P8500,P9200,P9300,P9302,P9303,P9304,P9400,P9630,TCseapen,TCsponge,TCsponge2,timestamp,TPseapen,TPsponge,TPsponge2,TRAWLNUM,TWseapen,TWsponge,TWsponge2,W1200,W1224,W1510,W1600,W1810,W1823,W1827,W1930,W2893,W3100,W3200,W3700,W4200,W8113,W8200,W8300,W8324,W8500,W9200,W9300,W9302,W9303,W9304,W9400,W9630
,,,,,,,,,,,,,,,,,2,,,,,,,,,2021-07-24,GP257F,G21_GP257F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-07-24 20:05:49,,,,14,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-07-25,GP211F,G21_GP211F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2021-07-25 05:33:11,,,,1,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,
,,2,,,,,,,,,,,,,1,,1,,,,,,,,,2021-07-25,GP199F,G21_GP199F,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,2021-07-25 06:11:24,,,,2,,,,,,0.05,,,,,,,,,,,,,0.08,,0.28,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-07-25,GP219F,G21_GP219F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-07-25 07:33:44,,,,3,,,,,,,,,,,,,,,,,,,,,3.23,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-25,GP212F,G21_GP212F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-25 08:57:54,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,66,,,,,,,,,,3,9,3,,,,,,,,,2021-08-02,GP268F,G21_GP268F,,,,,,1,1,,,,,,,,,,1,1,1,,,,,,,,,1,,2021-08-02 04:20:37,,1,,1,,0.02,,,,,,0.32,8.31,,,,,,,,,,0.26,0.56,3.05,,,,,,,
,,,,,8,,,,,,,,,,1,,1,,,,,,,,,2021-08-02,GP259F,G21_GP259F,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,2021-08-02 06:17:07,,,,2,,,,,,,,,0.86,,,,,,,,,,0.09,,0.21,,,,,,,
,,1,,,28,,,,,,,,,,,,,,,,,,,,,2021-08-02,GP263F,G21_GP263F,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 07:30:24,,,,3,,,,,,0.32,,,2.84,,,,,,,,,,,,,,,,,,,
,,,,,91,,,,,,,,,,,,,,,,,,,,,2021-08-02,GP245F,G21_GP245F,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 08:40:11,,,,4,,,,,,,,,10.65,,,,,,,,,,,,,,,,,,,
,,1,,2,6,,,,,,,,,,,,1,,,,,,,,,2021-08-02,GP248F,G21_GP248F,,,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,2021-08-02 09:43:55,,,,5,,,,,,0.16,,0.05,0.79,,,,,,,,,,,,2.56,,,,,,,
,,,,,608,,,,,,,,,1,,,1,,,,,,,,,2021-08-02,GP265F,G21_GP265F,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,2021-08-02 10:49:18,,,,6,,,,,,,,,43.04,,,,,,,,,0.01,,,0.67,,,,,,,
,,,,,28,,,,,,,,,,,,3,,,,,,,,,2021-08-02,GP240F,G21_GP240F,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2021-08-02 12:16:08,,,,7,,,,,,,,,2.05,,,,,,,,,,,,3.26,,,,,,,
,,,,,28,,,,,,,,,,,,,,,,,,,,,2021-08-02,GP226F,G21_GP226F,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,2021-08-02 13:29:44,,1,,8,,0.41,,,,,,,3.16,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,1,,,,,,,,,2021-08-02,GP233F,G21_GP233F,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-02 14:55:57,,,,9,,,,,,0.53,,,,,,,,,,,,,,,1.31,,,,,,,
,,1,,,,,,,,,,,,,1,,1,,,,,,,,,2021-08-02,GP220F,G21_GP220F,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,2021-08-02 16:14:29,,,,10,,,,,,0.17,,,,,,,,,,,,,0.06,,0.96,,,,,,,
,,,,,133,,,,,,,,,,,,,,,,,,,,,2021-08-02,GP234F,G21_GP234F,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 17:28:55,,,,11,,,,,,,,,8.02,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02,GP214F,G21_GP214F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-02 19:03:06,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-03,GP214A1,G21_GP214A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-03 05:26:02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-08-03,GP214A2,G21_GP214A2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-03 06:54:53,,,,2,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,
,,,,,5,,,,,,,,,,,,1,,,,,,,,,2021-08-03,GP192F,G21_GP192F,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2021-08-03 07:15:57,,,,3,,,,,,,,,0.61,,,,,,,,,,,,0.51,,,,,,,
,,,,,3,,,,,,,,,,,,1,,,,,,,,,2021-08-03,GP189F,G21_GP189F,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2021-08-03 08:42:02,,,,4,,,,,,,,,0.28,,,,,,,,,,,,0.31,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-03,GP197F,G21_GP197F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-03 09:44:04,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-03,GP197A1,G21_GP197A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-03 10:27:05,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,1,,,,,,,,,2021-08-03,GP197A2,G21_GP197A2,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-03 11:32:32,,,,7,,,,,,0.22,,,,,,,,,,,,,,,0.16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-03,GP202F,G21_GP202F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-03 13:18:40,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-08-03,GP202A1,G21_GP202A1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-03 14:18:09,,,,9,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,
,,7,,,,2,,,,,,,,,,,1,,,,,,,,,2021-08-03,GP206F,G21_GP206F,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,2021-08-03 15:12:18,,,,10,,,,,,1.96,,,,0.16,,,,,,,,,,,2.88,,,,,,,
,,,,,,,,,1,,,,,,,,1,,,,,,,,,2021-08-03,GP198F,G21_GP198F,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,2021-08-03 16:22:42,,1,,11,,0.04,,,,,,,,,,,0.01,,,,,,,,0.7,,,,,,,
,,,,,,,,,,,,,,,,1,1,,,,,,,,,2021-08-03,GP191F,G21_GP191F,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2021-08-03 17:43:29,,,,12,,,,,,,,,,,,,,,,,,,,0.31,1.51,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-03,GP179F,G21_GP179F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-03 19:10:45,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,1,,,,,,,,,2021-08-04,GP176F,G21_GP176F,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-04 05:30:40,,,,1,,,,,,0.27,,,,,,,,,,,,,,,1.01,,,,,,,
,,1,,,,,,,,,,,,,,1,1,,,,,,,,,2021-08-04,GP158F,G21_GP158F,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,2021-08-04 06:29:53,,,,2,,,,,,0.53,,,,,,,,,,,,,,0.16,0.38,,,,,,,
,,1,,,,,,,,,,,,,,,3,,,,,,,,,2021-08-04,GP149F,G21_GP149F,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-04 08:01:59,,,,3,,,,,,0.02,,,,,,,,,,,,,,,2.02,,,,,,,
,,1,,,,,,,,,,,,,,,1,,,,,,,,,2021-08-04,GP127F,G21_GP127F,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-04 09:01:26,,,,4,,,,,,0.5,,,,,,,,,,,,,,,1.08,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-04,GP123F,G21_GP123F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-04 10:28:19,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-04,GP147F,G21_GP147F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-04 11:44:09,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-08-04,GP159F,G21_GP159F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-04 12:44:10,,,,7,,,,,,,,,,,,,,,,,,,,,1.58,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-04,GP184F,G21_GP184F,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2021-08-04 14:07:35,,1,,8,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,5,1,,,,,,,,,,2021-08-04,GP174F,G21_GP174F,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,,2021-08-04 14:59:21,,1,,9,,0.15,,,,,,,0.27,,,,,,,,,,0.25,0.01,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-04,GP170F,G21_GP170F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2021-08-04 16:43:00,,,,10,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,
,,,,,,,,,,,,,,,1,,1,,,,,,,,,2021-08-04,GP162F,G21_GP162F,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,2021-08-04 17:40:39,,,,11,,,,,,,,,,,,,,,,,,,0.05,,0.93,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-04,GP154F,G21_GP154F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-04 18:42:06,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-05,GP154A1,G21_GP154A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-05 05:05:06,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,1,,,,,,,,,2021-08-05,GP154A2,G21_GP154A2,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2021-08-05 06:01:38,,,,2,,,,,,,,,0.26,,,,,,,,,,,,0.9,,,,,,,
,,,,,,,,,,,,,,,,,2,,,,,,,,,2021-08-05,GP133F,G21_GP133F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-05 07:32:05,,,,3,,,,,,,,,,,,,,,,,,,,,2.36,,,,,,,
,,,,,,,,,,,,,,,,,3,,,,,,,,,2021-08-05,GP141F,G21_GP141F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-05 08:54:12,,,,4,,,,,,,,,,,,,,,,,,,,,2.17,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-05,GP128F,G21_GP128F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-05 09:39:18,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,1,,,,,,,,,2021-08-05,GP128A1,G21_GP128A1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-05 10:37:47,,,,6,,,,,,0.19,,,,,,,,,,,,,,,0.78,,,,,,,
,,6,,,,,,,,,,,,,,,2,,,,,,,,,2021-08-06,GP099F,G21_GP099F,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-06 05:17:50,,,,1,,,,,,0.1,,,,,,,,,,,,,,,2.24,,,,,,,
,,,,,,,,,,,,,,,,1,,,,,,,,,,2021-08-06,GP094F,G21_GP094F,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,2021-08-06 06:30:23,,1,,2,,0.45,,,,,,,,,,,,,,,,,,0.05,,,,,,,,
,,,,,,,,,,1,,,,,,,1,,,,,,,,,2021-08-06,GP077F,G21_GP077F,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,2021-08-06 07:45:25,,,,3,,,,,,,,,,,,,,0.12,,,,,,,0.97,,,,,,,
,,8,,,,,,,,,,,,,,,1,,,,,,,,,2021-08-06,GP084F,G21_GP084F,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-06 09:19:06,,,,4,,,,,,0.24,,,,,,,,,,,,,,,0.72,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-06,GP113F,G21_GP113F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-06 09:57:08,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-06,GP113A1,G21_GP113A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-06 10:52:05,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-06,GP113A2,G21_GP113A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-06 12:09:46,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-06,GP106F,G21_GP106F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-06 13:21:18,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-06,GP106A1,G21_GP106A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-06 14:32:29,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-06,GP106A2,G21_GP106A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-06 16:12:59,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-08-06,GP125F,G21_GP125F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-06 17:14:26,,,,11,,,,,,,,,,,,,,,,,,,,,1.32,,,,,,,
,,,,,,2,,,,,,,,,16,,,,,,,,,,,2021-08-06,GP150F,G21_GP150F,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,2021-08-06 19:03:54,,1,,12,,0.58,,,,,,,,0.13,,,,,,,,,1.12,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,2021-08-07,GP124F,G21_GP124F,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-07 04:50:38,,,,1,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-07,GP105F,G21_GP105F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-07 06:31:12,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-07,GP105A1,G21_GP105A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-07 07:13:18,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,1,,,,,,,,,2021-08-07,GP105A2,G21_GP105A2,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-07 08:40:56,,,,4,,,,,,,0.03,,,,,,,,,,,,,,0.86,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-07,GP080F,G21_GP080F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-07 10:28:12,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,,,,,,,,,,,2021-08-07,GP080A1,G21_GP080A1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,2021-08-07 11:22:36,,1,,6,,0.4,,,,,,,,,,,,,,,,,0.48,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-07,GP088F,G21_GP088F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-07 12:47:59,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-07,GP088A1,G21_GP088A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-07 13:51:20,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,1,,,,,,,,,1,,,,,,,,,,,2021-08-07,GP088A2,G21_GP088A2,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,2021-08-07 17:07:01,,,,9,,,,,,,,,0.08,0.03,,,,,,,,,0.08,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,2021-08-07,GP068F,G21_GP068F,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-07 17:25:10,,,,10,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-08-07,GP076F,G21_GP076F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-07 18:43:38,,,,11,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-08-07,GP061F,G21_GP061F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-07 19:51:43,,,,12,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,
,,,,,4,,,,,,,,,,,,,,,,,,,,,2021-08-08,GP049F,G21_GP049F,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2021-08-08 05:18:34,,,,1,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-08-08,GP036F,G21_GP036F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,2021-08-08 06:29:19,,1,,2,,0.08,,,,,,,,,,,,,,,,,,,0.29,,,,,,,
,,,,,,,,,,9,,,,,,,1,,,,,,,,,2021-08-08,GP026F,G21_GP026F,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,2,,2021-08-08 08:38:09,,1,,3,,0.2,,,,,,,,,,,,0.55,,,,,,,0.48,,,,,,,
,,,,,,,,,,,,,,,3,4,1,,,,,,,,,2021-08-08,GP024F,G21_GP024F,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,1,,2021-08-08 09:53:53,,1,,4,,0.22,,,,,,,,,,,,,,,,,0.28,0.46,0.36,,,,,,,
,,,,,,,,,,,,,,,,1,1,,,,,,,,,2021-08-08,GP016F,G21_GP016F,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,3,,2021-08-08 11:05:05,,1,,5,,1.45,,,,,,,,,,,,,,,,,,0.08,0.47,,,,,,,
,,,,,,,,,1,,,,,,,,1,,,,,,,,,2021-08-08,GP019F,G21_GP019F,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,2021-08-08 13:01:07,,,,6,,,,,,,,,,,,,0.01,,,,,,,,0.72,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-08,GP023F,G21_GP023F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-08 14:32:56,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3,,,,,,,,,,,2021-08-08,GP025F,G21_GP025F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2021-08-08 15:24:08,,,,8,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-08-08,GP044F,G21_GP044F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,2021-08-08 16:41:29,,1,,9,,0.55,,,,,,,,,,,,,,,,,,,1.15,,,,,,,
,,,,,,,,,,,,,,,,,2,,,,,,,,,2021-08-08,GP046F,G21_GP046F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-08 18:03:21,,,,10,,,,,,,,,,,,,,,,,,,,,2.28,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-08,GP067F,G21_GP067F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-08 19:16:41,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09,GP048F,G21_GP048F,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09 05:45:47,,,,1,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-09,GP066F,G21_GP066F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2021-08-09 06:25:16,,,,2,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09,GP050F,G21_GP050F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09 07:22:45,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,,,,2021-08-09,GP050A1,G21_GP050A1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,2021-08-09 08:54:34,,1,,4,,0.23,,,,,,,0.22,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09,GP047F,G21_GP047F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09 10:10:15,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,,,,,,,,,2021-08-09,GP032F,G21_GP032F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-09 11:34:22,,,,6,,,,,,,,,,,,,,,,,,,,,1.94,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-08-09,GP028F,G21_GP028F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-09 13:27:43,,,,7,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09,GP018F,G21_GP018F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09 14:16:34,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09,GP022F,G21_GP022F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09 15:24:33,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09,GP022A1,G21_GP022A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09 16:38:54,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09,GP031F,G21_GP031F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09 18:57:58,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10,GP030F,G21_GP030F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10 06:05:34,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,,,,,,,,,2021-08-10,GP040F,G21_GP040F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-08-10 06:33:14,,,,2,,,,,,,,,,,,,,,,,,,,,2.05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10,GP042F,G21_GP042F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10 07:27:52,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10,GP041F,G21_GP041F,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2021-08-10 08:40:48,,1,,4,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10,GP052F,G21_GP052F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10 09:54:12,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,,,,,,,,,2021-08-10,GP051F,G21_GP051F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,2021-08-10 12:03:49,,1,,6,,0.05,,,,,,,,,,,,,,,,,,,4.75,,,,,,,
,,,,,,,,,,,,,,,,1,1,,,,,,,,,2021-08-10,GP069F,G21_GP069F,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,2021-08-10 13:43:32,,1,,7,,0.02,,,,,,,,,,,,,,,,,,0.04,0.52,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10,GP062F,G21_GP062F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10 14:55:34,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,,1,,,,,,,,,2021-08-10,GP045F,G21_GP045F,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,2021-08-10 16:14:56,,1,,9,,0.08,,,,,,,,,,,,,,,,,0.04,,0.16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10,GP039F,G21_GP039F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10 18:03:41,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10,GP039A1,G21_GP039A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10 18:54:01,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,,,,,,,,,,,,,,,,,,,,,2021-08-11,GP053F,G21_GP053F,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,2021-08-11 05:35:03,,1,,1,,0.19,,,,,,,0.19,,,,,,,,,,,,,,,,,,,
