C1200,C1224,C1510,C1600,C1810,C1823,C1827,C1930,C2893,C3100,C3200,C3700,C4200,C8113,C8200,C8300,C8324,C8500,C9200,C9300,C9302,C9303,C9304,C9400,C9630,class_data,DATE,GPnum,GPnum_wt_year,Location,P1200,P1224,P1510,P1600,P1810,P1823,P1827,P1930,P2893,P3100,P3200,P3700,P4200,P8113,P8200,P8300,P8324,P8500,P9200,P9300,P9302,P9303,P9304,P9400,P9630,TCseapen,TCsponge,TCsponge2,timestamp,TPseapen,TPsponge,TPsponge2,TRAWLNUM,TWseapen,TWsponge,TWsponge2,W1200,W1224,W1510,W1600,W1810,W1823,W1827,W1930,W2893,W3100,W3200,W3700,W4200,W8113,W8200,W8300,W8324,W8500,W9200,W9300,W9302,W9303,W9304,W9400,W9630
,,,,,,,,,,,,,,,,2,2,,,,,,,,,2021-07-17,GP335F,G21_GP335F,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2021-07-17 17:43:25,,,,11,,,,,,,,,,,,,,,,,,,,0.02,1.71,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-17,GP344F,G21_GP344F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-17 18:39:07,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,,1,,,,,,,,,2021-07-17,GP341F,G21_GP341F,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,2021-07-17 19:55:04,,,,13,,,,,,,,,,,,,,,,,,,0.1,,0.32,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-07-18,GP331F,G21_GP331F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-07-18 05:00:32,,,,1,,,,,,,,,,,,,,,,,,,,,1.43,,,,,,,
,,,,,,,,,,,,,,,,,3,,,,,,,,,2021-07-18,GP326F,G21_GP326F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-07-18 05:47:53,,,,2,,,,,,,,,,,,,,,,,,,,,3.65,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-18,GP315F,G21_GP315F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-18 06:36:29,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17,,,,,,,,,,,,1,,,,,,,,,2021-07-18,GP315A1,G21_GP315A1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,3,,2021-07-18 07:41:01,,1,,4,,0.26,,,,,,,2.05,,,,,,,,,,,,1.16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-18,GP324F,G21_GP324F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-18 08:44:38,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-18,GP324Fr,G21_GP324FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-18 09:34:45,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-07-18,GP324A1,G21_GP324A1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-07-18 10:16:09,,,,7,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,
,,,,,,,,,,,,,,,2,,,,,,,,,,,2021-07-18,GP320F,G21_GP320F,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,2021-07-18 11:12:52,1,,,8,5.89,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,
,,,,,,,,,,,,,,,618,,,,,,,,,,,2021-07-18,GP312F,G21_GP312F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2021-07-18 13:43:16,,,,9,,,,,,,,,,,,,,,,,,,7.88,,,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-07-18,GP313F,G21_GP313F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-07-18 15:29:55,,,,10,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-18,GP300F,G21_GP300F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-18 16:47:48,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-18,GP300A1,G21_GP300A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-18 18:32:26,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,42,,,,,,,,,,,,,,,,,,,,,2021-07-19,GP303F,G21_GP303F,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2021-07-19 05:08:59,,,,1,,,,,,,,,2.19,,,,,,,,,,,,,,,,,,,
,,,,,18,,,,,,,,,,,,,,,,,,,,,2021-07-19,GP287F,G21_GP287F,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,2021-07-19 05:51:53,,1,,2,,0.17,,,,,,,0.68,,,,,,,,,,,,,,,,,,,
,,,,,4,,,,,,,,,,,,1,,,,,,,,,2021-07-19,GP290F,G21_GP290F,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2021-07-19 06:37:00,,,,3,,,,,,,,,0.78,,,,,,,,,,,,0.74,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19,GP295F,G21_GP295F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19 07:29:14,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,,,,,,,,,,,2021-07-19,GP316F,G21_GP316F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2021-07-19 08:14:35,,,,5,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,
,,,,,,,,,,,,,,,22,,,,,,,,,,,2021-07-19,GP293F,G21_GP293F,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,2021-07-19 10:10:11,1,,,6,0.11,,,,,,,,,,,,,,,,,,1.76,,,,,,,,,
,,,,,,,,,,1,,,,,22,,,,,,,,,,,2021-07-19,GP282F,G21_GP282F,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,2021-07-19 11:46:59,,,,7,,,,,,,,,,,,,,0.01,,,,,2.38,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19,GP273F,G21_GP273F,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2021-07-19 13:52:51,,1,,8,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,19,,,,,,,,,,,2021-07-19,GP260F,G21_GP260F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,7,,2021-07-19 15:20:44,,1,,9,,2.12,,,,,,,,,,,,,,,,,3.9,,,,,,,,,
,,,,,,,,,,,,,,,18,,,,,,,,,,,2021-07-19,GP269F,G21_GP269F,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,2021-07-19 17:53:04,1,,,10,2.4,,,,,,,,,,,,,,,,,,1.54,,,,,,,,,
,,,,,,,,,,,,,,,20,,,,,,,,,,,2021-07-19,GP251F,G21_GP251F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,2021-07-19 19:13:21,,1,,11,,0.89,,,,,,,,,,,,,,,,,6.27,,,,,,,,,
,,,,,,,,,,,,,,,1634,,,,,,,,,,,2021-07-20,GP250F,G21_GP250F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2021-07-20 05:34:21,,,,1,,,,,,,,,,,,,,,,,,,122.87,,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-07-20,GP235F,G21_GP235F,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,2021-07-20 06:43:28,1,1,,2,5.41,0.42,,,,,,,,,,,,,,,,,0.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-20,GP237F,G21_GP237F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-20 09:05:01,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-20,GP237A1,G21_GP237A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-20 10:09:29,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-20,GP237A2,G21_GP237A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-20 11:48:32,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-20,GP237A3,G21_GP237A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-20 13:41:57,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-20,GP207F,G21_GP207F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-20 15:16:25,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,,,,,,,,,,,,1,,,,,,,,,2021-07-20,GP207A1,G21_GP207A1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,2021-07-20 16:23:37,,1,,8,,4.15,,,,,,,1.16,,,,,,,,,,,,0.43,,,,,,,
,,,,,,,,,,,,,,,2,,,,,,,,,,,2021-07-20,GP208F,G21_GP208F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2021-07-20 17:32:45,,,,9,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,
,,,,,,,,,,,,,,,3,,,,,,,,,,,2021-07-21,GP156F,G21_GP156F,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,2021-07-21 05:21:28,1,,,1,2.04,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,
,,,,,,,,,,,,,,,102,,,,,,,,,,,2021-07-21,GP134F,G21_GP134F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,2021-07-21 06:49:43,,1,,2,,0.14,,,,,,,,,,,,,,,,,12.18,,,,,,,,,
,,,,,,,,,,,,,,,95,,,,,,,,,,,2021-07-21,GP139F,G21_GP139F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2021-07-21 09:36:14,,,,3,,,,,,,,,,,,,,,,,,,13.02,,,,,,,,,
,,,,,,,,,,,,,,,29,,,,,,,,,,,2021-07-21,GP121F,G21_GP121F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2021-07-21 10:56:50,,,,4,,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,
,,,,,,,,,,,,,,,13,,,,,,,,,,,2021-07-21,GP142F,G21_GP142F,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,4,,2021-07-21 12:57:36,1,1,,5,1.19,0.48,,,,,,,,,,,,,,,,,1.38,,,,,,,,,
,,,,,,,,,,,,,,,106,,,,,,,,,,,2021-07-21,GP122F,G21_GP122F,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,2021-07-21 15:30:23,1,1,,6,17.87,0.2,,,,,,,,,,,,,,,,,11.8,,,,,,,,,
,,,,,,,,,,,,,,,147,,,,,,,,,,,2021-07-21,GP109F,G21_GP109F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2021-07-21 17:09:12,,,,7,,,,,,,,,,,,,,,,,,,18.45,,,,,,,,,
,,,,,,,,,,,,,,,19,,,,,,,,,,,2021-07-21,GP120F,G21_GP120F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2021-07-21 18:52:38,,,,8,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,
,8,,,,,,,,,,,,,,17,,,,,,,,,,,2021-07-22,GP098F,G21_GP098F,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,2021-07-22 06:24:47,1,,,1,0.64,,,,0.06,,,,,,,,,,,,,,0.92,,,,,,,,,
,18,,,,,,,,,,,,,,216,,1,,,,,,,,,2021-07-22,GP081F,G21_GP081F,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,2021-07-22 06:56:42,,,,2,,,,,0.08,,,,,,,,,,,,,,19.26,,0.45,,,,,,,
,,,,,,,,,,,,,,,24,,,,,,,,,,,2021-07-22,GP085F,G21_GP085F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2021-07-22 08:37:59,,,,3,,,,,,,,,,,,,,,,,,,3.28,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-22,GP072F,G21_GP072F,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2021-07-22 10:32:53,,1,,4,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-22,GP078F,G21_GP078F,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2021-07-22 11:43:46,,1,,5,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
