dataentrybox Measure,Datetime,GPnum,Measurement,Measurement comment,Measurement transformed,Measurementnum,One hundred message,Species
,2021-07-17 15:13:19,GP334F,188.7mm,,188.7,1,,301
,2021-07-17 15:13:24,GP334F,212.6mm,,212.6,2,,301
,2021-07-17 15:13:32,GP334F,163.8mm,,163.8,3,,301
,2021-07-17 15:13:47,GP334F,181.9mm,,181.9,1,,42
,2021-07-17 15:14:05,GP334F,280.4mm,,280.4,1,,10
,2021-07-17 15:14:09,GP334F,234.5mm,,234.5,2,,10
,2021-07-17 15:14:13,GP334F,162.6mm,,162.6,3,,10
,2021-07-17 15:14:15,GP334F,233.6mm,,233.6,4,,10
,2021-07-17 15:14:18,GP334F,191.3mm,,191.3,5,,10
,2021-07-17 15:14:32,GP334F,328.1mm,,328.1,1,,40
,2021-07-18 08:35:28,GP315A1,306.4mm,,306.4,1,,10
,2021-07-18 08:36:12,GP315A1,255.5mm,,255.5,1,,40
,2021-07-18 08:36:29,GP315A1,189.9mm,,189.9,1,,302
,2021-07-18 08:36:34,GP315A1,131.1mm,,131.1,2,,302
,2021-07-18 11:01:39,GP324A1,114.0mm,,114.0,1,,40
,2021-07-18 11:01:45,GP324A1,157.1mm,,157.1,2,,40
,2021-07-18 11:01:50,GP324A1,160.7mm,,160.7,3,,40
,2021-07-18 11:01:54,GP324A1,288.9mm,,288.9,4,,40
,2021-07-18 11:01:56,GP324A1,123.6mm,,123.6,5,,40
,2021-07-18 11:01:59,GP324A1,203.7mm,,203.7,6,,40
,2021-07-18 11:02:02,GP324A1,150.4mm,,150.4,7,,40
,2021-07-18 11:02:05,GP324A1,200.8mm,,200.8,8,,40
,2021-07-18 11:02:07,GP324A1,130.7mm,,130.7,9,,40
,2021-07-18 11:02:14,GP324A1,105.6mm,,105.6,10,,40
,2021-07-18 11:02:17,GP324A1,163.5mm,,163.5,11,,40
,2021-07-18 11:02:20,GP324A1,123.3mm,,123.3,12,,40
,2021-07-18 11:02:23,GP324A1,179.9mm,,179.9,13,,40
